Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,31.889999,31.99,31.639999,31.799999,1303400,30.891476
2013-03-01,29.879999,32.080002,29.610001,32.040001,683700,31.12462
2013-02-01,27.52,30.459999,27.280001,30.00,978700,29.142902
2013-01-02,25.799999,27.629999,25.309999,27.34,698900,26.558899
2012-12-03,26.940001,26.940001,24.879999,25.459999,608200,24.650562
2012-11-01,25.610001,26.969999,25.450001,26.84,941000,25.986689
2012-10-01,26.049999,27.309999,24.940001,25.549999,1082200,24.650902
2012-09-04,26.190001,26.91,25.549999,26.07,629000,25.152603
2012-08-01,25.280001,26.35,24.709999,26.24,635300,25.31662
2012-07-02,27.41,28.17,24.91,25.24,997200,24.270702
2012-06-01,25.290001,27.32,24.76,27.27,916700,26.222744
2012-05-01,27.00,27.32,25.01,25.60,960300,24.616879
2012-04-02,23.690001,27.26,23.42,26.969999,1191300,25.853128
2012-03-01,23.719999,24.50,23.24,23.780001,688200,22.795233
2012-02-01,23.110001,25.00,22.959999,23.629999,1127200,22.651443
2012-01-03,22.92,23.42,21.85,22.780001,842500,21.836645
2011-12-01,20.809999,22.73,20.700001,22.629999,968600,21.613173
2011-11-01,21.60,22.219999,19.549999,20.860001,923700,19.922705
2011-10-03,17.75,23.309999,16.77,22.08,1894900,21.087885
2011-09-01,21.16,21.25,17.190001,17.799999,1297200,16.936371
2011-08-01,22.01,22.01,18.190001,21.01,1547100,19.990627
2011-07-01,25.66,26.10,21.540001,21.809999,1409600,20.669586
2011-06-01,26.370001,26.370001,24.92,25.66,741600,24.318275
2011-05-02,25.790001,26.450001,25.08,26.389999,604200,25.010105
2011-04-01,26.00,27.07,24.84,25.85,784100,24.422525
2011-03-01,26.17,26.23,24.629999,25.799999,754800,24.375284
2011-02-01,24.85,26.60,24.360001,26.139999,702600,24.69651
2011-01-03,24.129999,25.10,23.559999,24.76,676200,23.392715
2010-12-01,23.15,24.389999,23.049999,23.940001,525400,22.544741
2010-11-01,22.290001,23.219999,22.129999,22.870001,546800,21.537102
2010-10-01,20.33,22.549999,19.879999,22.290001,662300,20.915567
2010-09-01,19.209999,20.50,19.09,20.190001,600600,18.945057
2010-08-02,20.200001,20.530001,18.85,19.040001,556900,17.865967
2010-07-01,19.17,20.35,18.870001,20.02,895300,18.712349
2010-06-01,19.450001,20.450001,18.65,19.139999,950200,17.889828
2010-05-03,20.10,20.23,8.04,19.60,1252300,18.319782
2010-04-01,17.93,20.309999,17.65,20.139999,1010700,18.751604
2010-03-01,16.799999,18.10,16.73,17.92,609900,16.684647
2010-02-01,17.60,18.01,16.32,16.780001,1166400,15.623235
2010-01-04,18.049999,18.10,17.49,17.60,937500,16.314083
2009-12-01,17.940001,18.49,17.10,17.969999,735600,16.657049
2009-11-02,18.389999,18.83,17.48,17.85,638400,16.545816
2009-10-01,19.15,19.809999,18.17,18.370001,811200,16.955524
2009-09-01,19.360001,19.950001,18.629999,19.16,645200,17.684692
2009-08-03,19.41,20.00,19.040001,19.870001,619700,18.340025
2009-07-01,19.969999,20.00,18.33,19.18,794000,17.635824
2009-06-01,19.40,20.299999,19.190001,19.93,829600,18.325441
2009-05-01,19.360001,19.51,17.950001,19.280001,1237300,17.727774
2009-04-01,18.639999,19.860001,17.57,19.459999,1481500,17.822462
2009-03-02,16.540001,19.00,14.95,18.91,1284400,17.318745
2009-02-02,18.91,20.200001,16.00,16.870001,1140400,15.450409
2009-01-02,20.93,21.50,18.50,19.129999,1105000,17.451544
2008-12-01,19.040001,21.889999,18.10,20.90,968500,19.066244
2008-11-03,20.99,21.85,17.540001,19.90,1060400,18.153984
2008-10-01,21.48,22.049999,16.27,20.52,1036400,18.651167
2008-09-02,20.540001,27.41,19.90,21.620001,1399300,19.650986
2008-08-01,17.98,20.34,17.15,20.32,667200,18.469381
2008-07-01,17.18,19.24,16.309999,17.57,1223800,15.90555
2008-06-02,19.379999,20.190001,17.33,17.389999,1082000,15.742602
2008-05-01,19.290001,19.90,18.48,19.469999,822100,17.625559
2008-04-01,17.469999,19.629999,16.629999,19.200001,779900,17.317966
2008-03-03,17.799999,18.59,16.99,17.379999,734900,15.676366
2008-02-01,22.50,23.459999,17.65,17.83,1022400,16.082256
2008-01-02,23.360001,23.719999,20.59,22.51,624900,20.24225
2007-12-03,24.42,25.120001,23.309999,23.50,461500,21.132513
2007-11-01,24.870001,25.200001,23.10,24.60,568500,22.121695
2007-10-01,26.299999,27.75,23.35,25.190001,675700,22.588291
2007-09-04,26.860001,27.379999,25.85,26.299999,434600,23.583645
2007-08-01,25.58,29.15,25.00,26.92,801200,24.13961
2007-07-02,25.25,26.540001,24.65,25.700001,721900,22.990965
2007-06-01,26.09,26.09,25.030001,25.139999,664200,22.489992
2007-05-01,25.57,26.639999,25.16,26.059999,710200,23.313015
2007-04-02,27.09,28.59,25.690001,25.75,859800,22.983358
2007-03-01,27.879999,28.26,26.700001,27.049999,586900,24.143682
2007-02-01,28.34,29.02,27.889999,28.15,480900,25.125496
