Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,28.43,28.60,28.27,28.309999,265400,24.735096
2013-03-01,28.98,29.940001,27.860001,28.469999,405500,24.874893
2013-02-01,30.35,30.690001,28.450001,29.059999,893900,25.390388
2013-01-02,28.860001,30.57,27.780001,30.200001,453100,26.386435
2012-12-03,26.92,28.76,26.299999,28.49,476900,24.892366
2012-11-01,27.48,28.049999,26.00,26.93,494900,23.52936
2012-10-01,72.529991,77.300003,27.00,27.190001,506300,23.756529
2012-09-04,73.640007,75.839996,69.519997,73.23999,634800,24.612103
2012-08-01,75.369995,77.859985,72.360001,74.290009,398800,24.964956
2012-07-02,76.959999,80.979988,74.600006,75.159988,375200,25.257313
2012-06-01,73.579994,79.169998,70.800003,77.490005,443200,26.040308
2012-05-01,81.499985,84.070015,70.979996,74.439995,527800,25.01536
2012-04-02,86.129982,88.090004,80.119987,81.809982,438400,27.492023
2012-03-01,81.830002,88.220001,78.68,86.090004,474300,27.900152
2012-02-01,81.490005,83.879997,77.079987,81.009995,983800,26.253815
2012-01-03,76.869987,85.600006,74.529984,81.499985,672400,26.412613
2011-12-01,66.999992,75.839996,64.599983,75.699982,1353100,24.532942
2011-11-01,77.07,80.569992,62.07999,66.709991,1009400,21.619455
2011-10-03,74.050003,82.979988,65.530006,81.679985,821800,26.470949
2011-09-01,91.580002,93.320007,69.270004,73.480003,767600,23.813486
2011-08-01,94.739998,94.739998,74.869987,90.360001,480000,29.283979
2011-07-01,93.320007,96.819992,90.299995,92.979996,356200,30.13307
2011-06-01,91.190002,93.820015,87.359993,93.809998,322100,30.402056
2011-05-02,91.769989,92.82,87.18,90.090004,327300,29.196476
2011-04-01,86.749985,92.770004,85.319984,91.589989,487400,29.682594
2011-03-01,82.549995,87.149994,75.230011,86.749985,526800,27.092787
2011-02-01,85.509987,87.520004,80.220009,83.150002,585700,25.968481
2011-01-03,93.929985,94.23999,81.299995,84.879982,593300,26.50877
2010-12-01,93.519997,97.79998,90.269997,93.470001,363100,29.191507
2010-11-01,93.069984,97.50,90.499992,91.580002,376500,28.601246
2010-10-01,96.490005,97.939995,89.349983,92.639999,442100,28.932293
2010-09-01,86.80999,99.98999,86.419991,96.550011,461100,30.153423
2010-08-02,84.389992,87.630005,81.139992,86.32,465700,26.9585
2010-07-01,66.999992,84.699989,66.25,83.009987,431800,25.924755
2010-06-01,61.789989,71.029991,59.160011,67.090012,474100,20.952803
2010-05-03,65.890007,66.980003,56.719986,62.070004,518900,19.385012
2010-04-01,68.310005,72.030006,64.209984,65.890007,333000,20.578032
2010-03-01,62.889992,70.449989,61.700001,68.219994,416800,20.460377
2010-02-01,62.510006,66.639999,59.630009,64.07,519300,19.215721
2010-01-04,68.510002,70.720001,61.769993,61.829998,656500,18.543905
2009-12-01,61.89999,65.110008,58.229988,64.779984,408600,19.428658
2009-11-02,53.009995,63.91,52.829994,60.800011,551300,18.234993
2009-10-01,57.26001,57.429996,52.480011,52.639984,618100,15.787658
2009-09-01,51.040001,58.820004,47.449997,57.540001,641300,17.257257
2009-08-03,50.00,52.790009,49.649986,51.170002,375600,15.346785
2009-07-01,45.279987,51.230007,44.459999,49.109993,585600,14.728951
2009-06-01,42.080009,46.769997,40.939987,46.689991,730000,14.00315
2009-05-01,35.990005,42.130009,35.489998,41.649998,862400,12.491567
2009-04-01,33.960003,37.91,33.500011,35.409996,722800,10.620081
2009-03-02,34.499996,39.00,30.560009,34.350002,791600,9.717811
2009-02-02,34.820004,38.889992,33.93,34.930012,952600,9.881898
2009-01-02,34.839996,39.400009,32.669987,35.379993,816100,10.009201
