Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,15.27,15.27,15.20,15.20,24000,13.074594
2013-03-01,16.09,16.16,14.66,15.19,18600,13.065992
2013-02-01,15.43,16.129999,15.33,15.84,18100,13.559505
2013-01-02,15.03,15.70,14.99,15.34,26600,13.069039
2012-12-03,16.290001,16.42,14.50,14.84,36400,12.582543
2012-11-01,16.01,16.49,15.38,16.280001,20700,13.73973
2012-10-01,15.97,16.26,15.27,16.01,22200,13.51186
2012-09-04,14.95,15.94,14.78,15.84,33500,13.304645
2012-08-01,15.17,15.26,14.41,15.00,37900,12.536857
2012-07-02,14.53,15.17,14.53,15.17,14800,12.615072
2012-06-01,14.42,14.78,14.21,14.60,13000,12.080407
2012-05-01,14.45,14.55,14.26,14.42,11800,11.871449
2012-04-02,14.26,14.53,14.10,14.41,14500,11.802672
2012-03-01,14.34,14.59,13.13,14.19,27700,11.562376
2012-02-01,14.45,14.67,13.76,14.30,24500,11.59246
2012-01-03,13.77,14.49,13.63,14.47,12400,11.670033
2011-12-01,13.60,13.84,13.55,13.68,14800,10.974078
2011-11-01,13.15,13.70,13.15,13.50,15600,10.771483
2011-10-03,13.19,13.63,12.71,13.45,13000,10.672458
2011-09-01,13.34,13.58,12.71,13.15,17100,10.375106
2011-08-01,12.30,13.07,11.85,13.00,12600,10.200159
2011-07-01,12.46,12.82,12.13,12.22,17200,9.53093
2011-06-01,12.39,12.67,12.10,12.48,14400,9.677044
2011-05-02,11.87,12.33,11.87,12.33,14600,9.503166
2011-04-01,12.02,12.03,11.63,11.88,12000,9.100706
2011-03-01,11.80,12.10,11.70,11.84,14200,9.013281
2011-02-01,11.89,11.95,11.47,11.78,16000,8.912027
2011-01-03,12.23,12.51,11.18,11.83,23400,8.89344
2010-12-01,13.06,13.06,11.49,12.32,33800,9.203577
2010-11-01,13.65,13.65,11.57,12.68,52300,9.411732
2010-10-01,13.84,13.94,13.21,13.47,10000,9.943026
2010-09-01,13.78,13.88,13.16,13.78,13700,10.117969
2010-08-02,13.27,13.80,13.02,13.72,13600,10.020314
2010-07-01,13.32,13.40,12.81,13.08,17900,9.500381
2010-06-01,12.88,13.64,12.69,13.24,15300,9.563046
2010-05-03,13.07,13.08,11.76,12.84,15700,9.221733
2010-04-01,12.64,13.06,12.52,12.95,10100,9.24765
2010-03-01,12.43,12.83,12.31,12.45,15500,8.839211
2010-02-01,12.11,12.38,11.96,12.22,12700,8.626204
2010-01-04,11.91,12.20,11.88,12.12,14100,8.506563
2009-12-01,12.20,12.20,11.60,11.89,18400,8.296455
2009-11-02,11.91,12.00,11.40,11.69,31000,8.108349
2009-10-01,12.43,12.79,11.31,11.83,21000,8.156446
2009-09-01,12.00,12.50,11.55,12.43,15500,8.52055
2009-08-03,11.36,11.82,11.14,11.66,8100,7.947278
2009-07-01,10.79,11.34,10.45,11.16,12100,7.560145
2009-06-01,10.57,11.07,10.34,10.60,15600,7.134327
2009-05-01,10.20,10.99,10.13,10.56,11000,7.060908
2009-04-01,9.42,10.19,9.23,10.13,14000,6.732516
2009-03-02,9.68,9.70,8.93,9.32,15700,6.153189
2009-02-02,9.89,10.42,8.56,9.56,13900,6.2687
2009-01-02,8.23,9.85,8.23,9.75,24300,6.35403
2008-12-01,8.92,8.92,6.71,8.19,55100,5.302611
2008-11-03,9.20,10.35,8.18,8.79,19600,5.643906
2008-10-01,10.11,10.43,6.25,9.20,33000,5.869493
2008-09-02,12.60,12.69,9.83,10.05,22900,6.356824
2008-08-01,12.72,12.73,12.34,12.54,9900,7.891886
2008-07-01,13.15,13.21,12.27,12.73,15200,7.971339
2008-06-02,14.53,14.54,12.84,13.02,14600,8.112617
2008-05-01,14.92,15.25,14.23,14.50,11600,8.994073
2008-04-01,14.25,15.11,14.22,14.95,8900,9.226585
2008-03-03,13.79,15.27,13.59,14.16,22600,8.694134
2008-02-01,15.23,15.94,13.41,13.59,26500,8.301673
2008-01-02,13.96,15.35,13.96,15.21,21900,9.247116
2007-12-03,15.00,15.69,13.71,13.98,39400,8.456569
2007-11-01,15.72,15.77,14.26,14.82,16300,8.915567
2007-10-01,16.10,16.49,15.54,15.69,10900,9.389174
2007-09-04,15.90,16.190001,15.45,16.00,17700,9.527662
2007-08-01,16.450001,16.540001,13.23,15.93,29700,9.438579
2007-07-02,17.00,17.42,15.80,16.59,16000,9.778119
2007-06-01,16.83,17.40,16.42,16.92,20000,9.923594
2007-05-01,19.299999,19.549999,16.75,16.85,21900,9.831721
2007-04-02,18.50,20.139999,18.40,19.139999,13800,11.119221
2007-03-01,19.40,19.41,18.23,18.41,15600,10.647412
2007-02-01,19.879999,19.879999,19.110001,19.360001,16900,11.145429
2007-01-03,18.75,21.00,18.49,19.790001,23400,11.339958
2006-12-01,19.049999,19.950001,18.450001,18.690001,24700,10.658084
2006-11-01,18.90,19.049999,18.719999,19.01,13400,10.78942
2006-10-02,17.450001,18.99,17.42,18.90,29800,10.674937
2006-09-01,18.969999,19.07,17.049999,17.41,48700,9.784625
2006-08-01,17.90,19.049999,17.77,18.82,13400,10.524745
2006-07-03,17.200001,17.90,17.200001,17.889999,15100,9.954197
2006-06-01,17.60,17.780001,17.00,17.09,17900,9.458877
2006-05-01,17.57,17.879999,17.32,17.49,9600,9.629202
2006-04-03,17.60,18.00,17.15,17.57,15100,9.623361
2006-03-01,17.32,17.959999,16.75,17.58,23000,9.578931
2006-02-01,17.25,17.450001,15.75,17.200001,37900,9.321574
2006-01-03,17.389999,17.59,17.00,17.24,11600,9.290998
2005-12-01,16.75,17.200001,16.440001,17.139999,9500,9.187612
2005-11-01,16.65,16.90,16.299999,16.65,14900,8.875641
2005-10-03,16.84,16.98,16.110001,16.690001,13100,8.847833
2005-09-01,16.43,17.18,16.299999,16.74,20600,8.825538
2005-08-01,16.450001,16.559999,16.09,16.43,20900,8.61539
2005-07-01,16.209999,17.10,15.97,16.34,20600,8.519598
2005-06-01,14.98,16.60,14.86,16.209999,26600,8.404974
2005-05-02,14.78,15.01,14.66,14.94,9100,7.707325
2005-04-01,14.35,15.00,13.95,14.82,12400,7.604286
2005-03-01,14.94,15.20,13.79,14.09,9100,7.188985
2005-02-01,15.40,15.45,14.73,14.89,11400,7.556095
2005-01-03,14.60,15.36,14.55,15.28,11600,7.713487
2004-12-01,14.11,14.60,14.00,14.52,8600,7.290917
2004-11-01,14.77,14.77,13.72,14.07,19600,7.02628
2004-10-01,14.48,14.90,14.18,14.72,7800,7.309099
2004-09-01,14.11,14.52,14.02,14.47,7400,7.145519
2004-08-02,14.07,14.18,13.75,14.10,7200,6.923878
2004-07-01,13.35,14.00,13.32,13.97,9600,6.821741
2004-06-01,13.55,13.79,13.10,13.35,8000,6.481856
2004-05-03,13.56,13.90,12.95,13.49,12100,6.511129
2004-04-01,15.30,15.39,13.45,13.46,19100,6.457424
2004-03-01,15.40,15.47,15.10,15.30,10300,7.300309
2004-02-02,14.98,15.61,14.98,15.33,15500,7.27688
2004-01-02,14.70,15.56,14.59,14.88,10200,7.026921
2003-12-01,14.61,14.69,14.35,14.69,8600,6.900708
2003-11-03,14.45,14.70,14.18,14.61,8000,6.825554
2003-10-01,14.20,14.45,13.97,14.45,8300,6.713871
2003-09-02,13.54,14.42,13.45,14.13,11400,6.529098
2003-08-01,13.99,14.05,13.40,13.48,16200,6.193577
2003-07-01,15.25,15.25,13.80,13.92,11500,6.359261
2003-06-02,14.65,15.14,14.50,15.10,15600,6.86181
2003-05-01,14.00,15.00,13.95,14.58,13800,6.592315
2003-04-01,13.74,14.00,13.51,13.92,9500,6.261321
2003-03-03,13.65,13.85,13.43,13.67,5500,6.115523
