Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,2.95,3.00,2.93,3.00,8600,3.00
2013-03-01,2.89,3.03,2.71,2.97,9400,2.97
2013-02-01,2.54,3.21,2.41,2.91,19800,2.91
2013-01-02,2.56,2.70,2.42,2.53,15400,2.53
2012-12-03,2.68,2.74,2.25,2.33,32300,2.33
2012-11-01,2.69,2.82,2.10,2.75,16800,2.75
2012-10-01,1.98,2.99,1.93,2.67,30700,2.67
2012-09-04,1.90,2.05,1.82,1.99,13600,1.99
2012-08-01,2.02,2.15,1.46,1.97,10000,1.97
2012-07-02,2.30,2.35,1.91,2.01,6300,2.01
2012-06-01,2.34,2.57,1.97,2.25,10100,2.25
2012-05-01,3.49,3.56,2.30,2.34,13200,2.34
2012-04-02,3.89,3.94,3.37,3.51,9200,3.51
2012-03-01,3.55,3.99,2.91,3.89,22600,3.89
2012-02-01,4.06,4.29,3.49,3.51,18800,3.51
2012-01-03,4.11,4.32,3.80,3.96,15000,3.96
2011-12-01,4.75,5.19,3.91,3.97,21700,3.97
2011-11-01,5.66,6.38,4.40,4.72,18000,4.438293
2011-10-03,5.65,6.28,4.70,5.90,26700,5.547866
2011-09-01,6.75,6.98,4.53,5.79,70700,5.444431
2011-08-01,8.25,8.25,6.20,6.88,22400,6.469376
2011-07-01,8.18,8.63,7.89,8.48,11800,7.973881
2011-06-01,8.85,9.05,7.57,8.10,15100,7.616561
2011-05-02,10.10,10.19,7.85,8.86,21300,8.331202
2011-04-01,9.78,10.59,9.60,10.19,15600,9.581821
2011-03-01,9.27,10.75,9.02,9.71,30100,9.13047
2011-02-01,9.00,9.75,8.40,9.18,21800,8.632103
2011-01-03,9.21,10.03,8.90,9.00,22100,8.462846
2010-12-01,8.19,9.34,8.00,8.91,17200,8.378217
2010-11-01,9.35,9.60,8.00,8.11,21900,7.625964
2010-10-01,10.46,10.74,9.05,9.27,47000,8.716732
2010-09-01,10.97,15.39,10.53,14.10,67000,10.177043
2010-08-02,11.25,11.75,9.65,10.95,1200,7.903448
2010-07-01,10.31,11.59,10.30,10.88,1300,7.852924
2010-06-01,11.85,11.95,10.01,10.21,3200,7.369334
2010-05-03,13.09,13.09,10.55,11.55,1600,8.336514
2010-04-01,13.21,13.63,12.10,12.84,2300,9.267605
2010-03-01,11.16,15.12,11.06,13.20,3000,9.527444
2010-02-01,10.47,11.96,10.22,11.35,6300,8.192159
2010-01-04,10.08,12.91,10.02,10.32,3700,7.146927
2009-12-01,11.20,12.72,9.22,9.81,3500,6.793736
2009-11-02,10.47,11.26,9.55,11.15,3000,7.721728
2009-10-01,9.45,10.80,9.40,10.07,3200,6.973794
2009-09-01,9.45,9.85,8.51,9.62,2600,6.662155
2009-08-03,9.07,9.74,8.43,9.28,2800,6.426694
2009-07-01,8.50,9.40,7.49,8.80,2000,6.094279
2009-06-01,7.65,9.77,7.55,8.30,3500,5.748013
2009-05-01,6.90,8.97,6.75,7.75,3300,5.367121
2009-04-01,5.90,7.00,5.67,6.90,2100,4.778469
2009-03-02,6.25,6.33,4.99,5.80,3700,4.016684
2009-02-02,6.50,7.33,6.12,6.23,1900,4.314473
2009-01-02,6.24,7.74,6.01,7.10,2200,4.916975
2008-12-01,7.50,8.13,5.52,5.85,3700,4.051311
2008-11-03,7.67,8.46,6.85,7.55,2600,5.228614
2008-10-01,9.72,9.90,6.50,7.20,5800,4.986228
2008-09-02,10.25,10.98,9.32,9.80,6000,6.786811
2008-08-01,11.30,11.50,9.75,9.95,3000,6.284687
2008-07-01,11.00,12.45,10.26,11.42,2000,7.213179
