Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,0.22,0.22,0.22,0.22,000,2.20
2013-03-01,0.17,0.22,0.11,0.22,1300,2.20
2013-02-01,0.15,0.19,0.12,0.17,500,1.70
2013-01-01,0.075,0.17,0.075,0.15,400,1.50
2012-12-03,0.12,0.14,0.075,0.075,2200,0.75
2012-11-01,0.09,0.15,0.09,0.12,600,1.20
2012-10-01,0.15,0.15,0.09,0.09,000,0.90
2012-09-03,0.20,0.20,0.135,0.15,300,1.50
2012-08-01,0.16,0.20,0.15,0.20,400,2.00
2012-07-02,0.18,0.18,0.17,0.17,100,1.70
2012-06-01,0.22,0.25,0.18,0.18,300,1.80
2012-05-01,0.23,0.24,0.165,0.18,400,1.80
2012-04-02,0.28,0.28,0.18,0.23,2200,2.30
2012-03-01,0.31,0.315,0.24,0.25,500,2.50
2012-02-01,0.35,0.36,0.28,0.285,900,2.85
2012-01-02,0.43,0.43,0.34,0.35,900,3.50
2011-12-01,0.44,0.51,0.35,0.43,700,4.30
2011-11-17,0.44,0.44,0.44,0.44,000,4.40
2011-07-04,0.55,0.55,0.40,0.44,1100,4.40
2011-06-07,0.57,0.57,0.53,0.57,900,5.70
2011-05-02,0.69,0.69,0.455,0.54,1300,5.40
2011-04-04,0.35,0.70,0.35,0.70,2500,7.00
2011-03-07,0.33,0.35,0.255,0.35,200,3.50
2011-02-03,0.36,0.40,0.36,0.36,700,3.60
2011-01-04,0.385,0.385,0.315,0.36,700,3.60
2010-12-02,0.32,0.39,0.32,0.39,900,3.90
2010-11-02,0.33,0.34,0.295,0.34,1000,3.40
2010-10-04,0.245,0.395,0.245,0.29,400,2.90
2010-09-08,0.25,0.255,0.245,0.245,1100,2.45
2010-08-17,0.22,0.25,0.22,0.25,1200,2.50
2010-07-13,0.21,0.21,0.21,0.21,800,2.10
2010-06-14,0.23,0.23,0.165,0.21,800,2.10
2010-05-06,0.265,0.265,0.20,0.20,1400,2.00
2010-03-02,0.245,0.25,0.245,0.245,800,2.45
2010-02-02,0.30,0.30,0.26,0.26,900,2.60
2010-01-04,0.32,0.35,0.265,0.30,500,3.00
2009-12-15,0.26,0.26,0.26,0.26,1700,2.60
2009-11-04,0.34,0.35,0.25,0.30,1400,3.00
2009-10-01,0.32,0.32,0.25,0.25,500,2.50
2009-09-01,0.12,0.30,0.12,0.30,400,3.00
2009-08-03,0.145,0.145,0.12,0.12,300,1.20
2009-07-01,0.155,0.24,0.145,0.145,000,1.45
2009-06-01,0.125,0.16,0.125,0.155,100,1.55
2009-05-01,0.125,0.125,0.125,0.125,000,1.25
2009-04-01,0.15,0.15,0.125,0.125,000,1.25
2009-03-02,0.25,0.25,0.15,0.15,000,1.50
2009-02-02,0.15,0.25,0.12,0.25,100,2.50
2009-01-01,0.05,0.15,0.05,0.15,100,1.50
2008-12-01,0.05,0.05,0.05,0.05,000,0.50
2008-11-03,0.15,0.20,0.065,0.065,000,0.65
2008-10-01,0.245,0.245,0.15,0.15,100,1.50
2008-09-01,0.32,0.395,0.23,0.245,200,2.45
2008-08-01,0.11,0.32,0.11,0.32,100,3.20
2008-07-01,0.11,0.11,0.11,0.11,000,1.10
2008-06-02,0.11,0.11,0.11,0.11,000,1.10
2008-05-01,0.11,0.11,0.11,0.11,000,1.10
2008-04-01,0.16,0.16,0.11,0.11,100,1.10
2008-03-03,0.30,0.30,0.155,0.16,000,1.60
2008-02-01,0.30,0.30,0.30,0.30,000,3.00
2008-01-01,0.175,0.175,0.16,0.16,100,1.60
2007-12-03,0.23,0.23,0.17,0.175,000,1.75
2007-11-01,0.35,0.35,0.22,0.23,000,2.30
2007-10-01,0.305,0.305,0.305,0.305,000,3.05
2007-09-03,0.305,0.305,0.305,0.305,000,3.05
2007-08-01,0.305,0.305,0.305,0.305,000,3.05
2007-07-02,0.37,0.42,0.305,0.305,000,3.05
2007-06-01,0.45,0.45,0.28,0.37,000,3.70
2007-05-01,0.45,0.45,0.45,0.45,000,4.50
2007-04-02,0.44,0.44,0.44,0.44,000,4.40
2007-03-01,0.315,0.44,0.31,0.44,100,4.40
2007-02-01,0.385,0.385,0.315,0.315,000,3.15
2007-01-01,0.20,0.45,0.20,0.385,000,3.85
2006-12-01,0.31,0.31,0.20,0.20,100,2.00
2006-11-01,0.35,0.35,0.31,0.31,100,3.10
2006-10-02,0.345,0.35,0.345,0.35,000,3.50
2006-09-01,0.405,0.405,0.32,0.345,000,3.45
2006-08-01,0.32,0.405,0.32,0.405,100,4.05
2006-07-04,0.35,0.375,0.32,0.32,000,3.20
2006-06-01,0.425,0.425,0.345,0.35,100,3.50
2006-05-05,0.60,0.60,0.35,0.425,400,4.25
