Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,12.26,12.31,12.25,12.28,30000,10.583661
2013-03-01,12.77,12.88,11.76,12.28,49300,10.583661
2013-02-01,13.21,13.27,12.69,12.69,33500,10.883121
2013-01-02,12.76,13.50,12.66,13.13,46800,11.206974
2012-12-03,13.44,13.44,12.34,12.59,65600,10.695512
2012-11-01,13.06,13.51,12.79,13.44,43200,11.363734
2012-10-01,13.19,13.26,12.72,13.05,41000,10.982197
2012-09-04,13.16,13.36,12.85,13.18,39200,11.038658
2012-08-01,13.19,13.59,12.87,13.12,53000,10.933255
2012-07-02,12.65,13.20,12.47,13.20,53100,10.945458
2012-06-01,12.28,12.73,12.11,12.61,45700,10.401976
2012-05-01,12.30,12.46,12.00,12.28,39500,10.077116
2012-04-02,12.40,12.55,12.23,12.29,34300,10.031857
2012-03-01,12.25,12.40,11.25,12.39,50900,10.059698
2012-02-01,12.69,12.89,12.06,12.27,59700,9.909157
2012-01-03,11.67,12.68,11.57,12.65,59500,10.162833
2011-12-01,11.54,11.80,11.44,11.67,41500,9.324088
2011-11-01,11.00,11.53,10.89,11.48,70300,9.120796
2011-10-03,11.17,11.56,10.64,11.00,44700,8.687984
2011-09-01,10.84,11.42,10.72,11.12,36400,8.731193
2011-08-01,10.44,11.00,9.86,10.76,32100,8.39992
2011-07-01,10.46,10.88,10.35,10.40,37100,8.069935
2011-06-01,10.50,10.63,10.23,10.47,28900,8.076905
2011-05-02,10.25,10.64,10.22,10.50,21500,8.051074
2011-04-01,10.31,10.31,9.97,10.20,20200,7.774384
2011-03-01,10.03,10.42,10.00,10.23,28300,7.74909
2011-02-01,9.82,10.00,9.76,9.99,34700,7.521142
2011-01-03,10.10,10.14,9.15,9.77,58200,7.310282
2010-12-01,10.78,10.78,9.55,10.08,67500,7.49495
2010-11-01,11.53,11.53,9.86,10.60,55100,7.831741
2010-10-01,11.68,11.70,11.33,11.47,30500,8.428787
2010-09-01,12.05,12.05,11.36,11.63,36400,8.501462
2010-08-02,11.39,12.09,11.15,11.96,40400,8.697873
2010-07-01,10.86,11.48,10.78,11.29,44200,8.168368
2010-06-01,10.87,10.91,10.70,10.82,29600,7.785814
2010-05-03,10.85,10.91,10.51,10.81,34600,7.735643
2010-04-01,10.62,10.97,10.46,10.77,25500,7.664281
2010-03-01,10.38,10.60,10.26,10.50,28600,7.429845
2010-02-01,10.29,10.44,10.16,10.32,42000,7.260668
2010-01-04,10.18,10.49,10.11,10.20,33800,7.13456
2009-12-01,10.20,10.27,9.79,10.22,56300,7.106867
2009-11-02,10.19,10.19,9.73,9.92,33500,6.8564
2009-10-01,10.38,10.72,9.65,9.88,49600,6.789344
2009-09-01,10.26,10.45,9.68,10.33,37500,7.058408
2009-08-03,9.44,9.72,9.09,9.70,27900,6.58991
2009-07-01,8.82,9.25,8.74,9.25,20000,6.247423
2009-06-01,9.42,9.42,8.70,8.85,24600,5.941059
2009-05-01,8.86,9.84,8.73,9.39,26800,6.265632
2009-04-01,8.08,8.93,8.08,8.81,28300,5.843088
2009-03-02,8.13,8.33,7.66,8.09,24200,5.330302
2009-02-02,8.19,8.59,7.25,8.08,29000,5.286696
2009-01-02,6.81,8.57,6.81,8.13,34100,5.285272
2008-12-01,7.40,7.50,5.42,6.80,52800,4.390063
2008-11-03,8.38,8.80,6.55,7.37,35200,4.716316
2008-10-01,9.00,9.57,6.15,8.40,68800,5.338812
2008-09-02,10.99,11.14,8.65,8.84,41000,5.5791
2008-08-01,11.06,11.11,10.57,10.98,25400,6.895047
2008-07-01,11.16,11.49,10.79,11.02,26800,6.885152
2008-06-02,11.89,11.99,10.95,11.13,37700,6.920446
2008-05-01,11.72,12.04,11.53,11.82,35400,7.31475
2008-04-01,11.25,12.15,11.25,11.63,37300,7.163509
2008-03-03,10.92,11.53,10.78,11.29,58200,6.921506
2008-02-01,12.15,12.46,10.80,10.85,66900,6.619723
2008-01-02,11.77,12.54,11.72,12.22,59800,7.422667
2007-12-03,11.70,12.10,11.38,11.74,130300,7.099753
2007-11-01,12.14,12.14,11.14,11.65,77100,7.012291
2007-10-01,12.36,12.46,11.98,12.14,57300,7.272613
2007-09-04,12.25,13.07,12.12,12.35,55900,7.365758
2007-08-01,12.75,12.80,11.40,12.25,52500,7.275087
2007-07-02,13.00,13.17,12.63,12.74,46400,7.531869
2007-06-01,13.74,13.74,12.80,13.02,52600,7.664938
2007-05-01,13.75,14.04,13.55,13.71,65400,8.037232
2007-04-02,13.94,14.05,13.49,13.79,51200,8.052417
2007-03-01,15.04,15.05,13.71,13.94,64400,8.10747
2007-02-01,14.87,15.05,14.72,15.01,35400,8.695776
2007-01-03,14.91,15.00,14.67,14.87,40700,8.574856
2006-12-01,14.90,15.30,14.71,14.96,41400,8.586671
2006-11-01,14.67,14.98,14.35,14.98,43600,8.558756
2006-10-02,14.75,14.92,14.42,14.70,30300,8.359676
2006-09-01,14.22,14.90,14.00,14.76,46400,8.354558
2006-08-01,13.85,14.49,13.85,14.24,34200,8.021413
2006-07-03,12.94,13.98,12.87,13.93,41300,7.808955
2006-06-01,13.74,14.05,12.91,12.96,44000,7.227777
2006-05-01,14.60,14.99,13.44,13.74,19900,7.624328
2006-04-03,15.00,15.20,14.51,14.60,38000,8.062777
2006-03-01,15.00,15.01,15.00,15.01,90600,8.250707
2006-02-27,15.00,15.01,15.00,15.01,44200,8.250707
