Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,17.33,19.24,17.33,18.940001,1363200,18.70598
2013-03-01,14.25,18.540001,13.94,17.360001,572000,17.145502
2013-02-01,14.25,15.64,12.66,14.29,406500,14.030169
2013-01-02,16.15,18.540001,13.40,14.01,646400,13.75526
2012-12-03,16.35,19.690001,14.01,15.55,486600,15.26726
2012-11-01,22.99,23.370001,15.04,16.120001,523600,15.826896
2012-10-01,26.25,28.67,22.58,22.84,497100,22.424707
2012-09-04,42.25,43.509998,24.32,25.99,870000,25.517431
2012-08-01,34.34,46.150002,33.02,42.32,320100,41.388706
2012-07-02,34.599998,37.580002,31.25,34.279999,129300,33.525635
2012-06-01,72.260002,74.349998,33.93,34.560001,255300,33.799477
2012-05-01,88.480003,89.610001,72.00,74.720001,276000,36.537857
2012-04-02,74.93,90.00,71.489998,87.970001,170300,43.017067
2012-03-01,63.93,80.709999,63.93,74.830002,121900,36.591648
2012-02-01,63.00,66.470001,60.09,63.799999,77300,31.138197
2012-01-03,57.549999,65.190002,55.669998,62.950001,91200,30.723347
2011-12-01,65.559998,71.160004,53.50,56.799999,191600,27.721781
2011-11-01,53.919998,65.849998,53.060001,65.82,168000,32.124077
2011-10-03,54.959999,59.740002,51.240002,55.830002,180400,26.610128
2011-09-01,57.299999,70.00,52.959999,55.450001,237800,26.382643
2011-08-01,64.510002,65.910004,50.82,56.919998,170700,27.082056
2011-07-01,50.200001,67.419998,49.759998,63.259998,190800,30.098574
2011-06-01,45.650002,50.98,35.189999,50.349998,127600,23.956104
2011-05-02,47.060001,47.060001,42.360001,45.580002,58100,21.686581
2011-04-01,32.75,47.32,32.310001,47.139999,90000,22.428814
2011-03-01,34.389999,34.93,30.280001,32.490002,48600,15.425382
2011-02-01,33.919998,35.380001,33.25,34.369999,56400,16.317955
2011-01-03,34.880001,38.00,33.23,33.619999,72400,15.961874
2010-12-01,45.540001,45.689999,34.400002,34.48,84600,16.37018
2010-11-01,40.279999,46.279999,39.119999,44.580002,42800,21.16539
2010-10-01,41.599998,47.25,38.439999,40.119999,74600,18.621868
2010-09-01,38.959999,44.369999,37.330002,41.240002,107600,19.095541
2010-08-02,40.310001,42.709999,35.419998,38.119999,102400,17.650873
2010-07-01,34.02,42.029999,32.349998,39.549999,137000,18.313013
2010-06-01,49.599998,51.060001,33.209999,34.07,339400,15.775583
2010-05-03,58.189999,59.93,46.459999,49.639999,166500,22.985029
2010-04-01,31.41,59.889999,30.74,57.639999,271100,26.689306
2010-03-01,28.959999,34.740002,28.959999,31.25,78100,14.445314
2010-02-01,28.389999,29.690001,25.91,28.84,80200,13.331291
2010-01-04,34.200001,34.349998,28.09,28.09,149000,12.984604
2009-12-01,32.639999,36.509998,28.76,33.720001,201500,15.075686
2009-11-02,35.580002,39.450001,32.279999,32.529999,70900,14.543653
2009-10-01,38.610001,41.16,33.349998,35.43,116800,15.840199
2009-09-01,45.240002,47.139999,37.419998,38.73,144800,17.264362
2009-08-03,42.580002,49.080002,41.240002,45.50,102300,20.282171
2009-07-01,33.150002,45.630001,31.42,42.43,145700,18.913683
