Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,21.049999,21.18,20.700001,20.809999,234200,18.557869
2013-03-01,19.639999,21.690001,19.59,20.93,132800,18.664883
2013-02-01,19.049999,20.07,18.92,19.73,74100,17.338573
2013-01-02,17.90,19.18,17.84,18.99,73100,16.688267
2012-12-03,17.41,17.889999,16.40,17.60,71900,15.466746
2012-11-01,18.049999,18.309999,15.35,17.35,71900,14.986626
2012-10-01,18.379999,18.690001,17.52,18.030001,59700,15.573998
2012-09-04,17.299999,18.370001,17.15,18.35,88500,15.850409
2012-08-01,16.49,17.23,16.110001,17.17,60100,14.585893
2012-07-02,16.52,16.879999,15.98,16.42,50100,13.948769
2012-06-01,15.71,16.540001,15.07,16.43,65900,13.957264
2012-05-01,17.190001,17.290001,15.51,15.94,43000,13.335921
2012-04-02,17.219999,17.50,16.450001,17.139999,47000,14.33988
2012-03-01,16.34,17.459999,15.86,17.25,69200,14.431911
2012-02-01,15.80,16.639999,15.51,16.33,51700,13.481572
2012-01-03,14.02,16.030001,13.67,15.65,94100,12.920184
2011-12-01,13.54,14.12,13.07,13.70,107600,11.310321
2011-11-01,13.90,14.46,12.71,13.54,62900,11.021511
2011-10-03,12.43,14.69,11.41,14.29,97600,11.632009
2011-09-01,14.12,14.18,12.06,12.47,87800,10.150535
2011-08-01,15.95,16.00,12.51,14.05,103900,11.25383
2011-07-01,16.52,16.700001,15.47,15.70,60700,12.575454
2011-06-01,16.799999,16.82,15.36,16.43,71100,13.160172
2011-05-02,17.120001,17.309999,16.360001,16.84,57300,13.285778
2011-04-01,17.450001,17.709999,16.809999,17.120001,49700,13.506682
2011-03-01,17.540001,17.690001,16.27,17.33,70900,13.672359
2011-02-01,17.559999,18.18,17.08,17.60,68500,13.694571
2011-01-03,17.35,18.120001,16.98,17.540001,87200,13.647885
2010-12-01,15.30,17.25,15.30,17.219999,88500,13.398892
2010-11-01,15.12,16.120001,14.74,15.20,81400,11.675055
2010-10-01,15.02,15.48,14.76,15.02,118600,11.536798
2010-09-01,14.17,15.14,14.17,14.81,74300,11.375498
2010-08-02,15.50,15.79,13.85,13.96,64800,10.559287
2010-07-01,14.40,15.86,14.00,15.36,86500,11.618241
2010-06-01,15.71,15.94,14.34,14.34,60200,10.846718
2010-05-03,17.52,17.58,14.67,15.95,95400,11.86304
2010-04-01,16.950001,18.00,16.76,17.459999,88000,12.986124
2010-03-01,14.92,16.90,14.83,16.809999,106900,12.502677
2010-02-01,14.84,15.01,14.01,14.87,71900,10.909328
2010-01-04,14.17,15.32,14.17,14.83,118100,10.879983
2009-12-01,13.72,14.42,13.52,14.10,81300,10.344421
2009-11-02,13.34,13.80,13.06,13.65,75600,9.990786
2009-10-01,14.13,14.53,13.26,13.29,101200,9.727293
2009-09-01,13.89,14.46,13.22,14.13,82500,10.342111
2009-08-03,13.20,14.64,13.20,13.97,90200,10.179389
2009-07-01,12.05,13.09,11.38,13.04,88200,9.501735
2009-06-01,12.66,12.93,11.62,12.02,79900,8.758501
2009-05-01,11.97,13.53,11.74,12.49,124100,9.064713
