Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,21.200001,21.200001,20.459999,20.530001,10315000,19.7691
2013-03-01,21.26,22.690001,20.07,21.15,7627900,20.366119
2013-02-01,25.370001,25.48,20.93,21.559999,7564600,20.760923
2013-01-02,27.610001,27.74,24.139999,25.15,7599800,24.134493
2012-12-03,25.40,28.75,24.34,26.610001,6123900,25.535543
2012-11-01,28.10,29.84,23.799999,25.110001,7532800,24.096109
2012-10-01,22.60,29.709999,21.639999,27.90,10938200,26.773455
2012-09-04,21.299999,26.040001,20.16,22.290001,9043600,21.325548
2012-08-01,21.07,24.549999,19.91,21.629999,7820600,20.694103
2012-07-02,24.41,26.60,18.780001,20.879999,11139500,19.976555
2012-06-01,22.440001,25.77,20.67,24.52,8577100,23.357788
2012-05-01,31.18,31.969999,22.75,23.360001,8850300,22.252769
2012-04-02,29.00,31.41,27.110001,31.110001,8519000,29.54845
2012-03-01,35.110001,35.509998,28.18,28.959999,9359800,27.506367
2012-02-01,34.540001,38.959999,34.150002,34.880001,5235600,33.129215
2012-01-03,34.740002,38.93,34.00,34.09,6980500,32.308117
2011-12-01,39.02,39.740002,31.209999,33.110001,4879800,31.379343
2011-11-01,41.02,44.650002,32.720001,39.23,6641500,37.179451
2011-10-03,32.990002,47.810001,30.60,43.369999,7060100,41.022495
2011-09-01,48.98,49.560001,33.84,33.880001,7062500,32.046165
2011-08-01,58.41,58.779999,41.200001,48.799999,7555100,46.158585
2011-07-01,59.02,61.849998,56.200001,57.470001,4593100,54.27771
2011-06-01,61.209999,61.98,52.439999,58.91,5805100,55.637722
2011-05-02,67.379997,68.300003,56.09,61.360001,6357300,57.951633
2011-04-01,73.00,73.949997,62.00,66.82,5604400,63.020679
2011-03-01,66.230003,73.730003,60.619999,71.959999,6047300,67.868423
2011-02-01,63.720001,66.900002,61.09,65.489998,4211200,61.7663
2011-01-03,64.919998,66.07,57.439999,63.419998,5271100,59.733345
2010-12-01,60.00,64.589996,59.950001,63.98,3286600,60.260796
2010-11-01,53.380001,59.919998,52.75,58.810001,4492600,55.391331
2010-10-01,49.66,53.43,48.759998,52.900002,4693200,49.746326
2010-09-01,43.75,49.939999,43.549999,49.009998,4004000,46.08823
2010-08-02,45.77,49.25,40.790001,42.790001,4358300,40.23904
2010-07-01,39.389999,45.950001,38.080002,45.150002,4753800,42.396507
2010-06-01,38.029999,44.330002,35.509998,39.130001,6834500,36.743641
2010-05-03,46.880001,46.970001,34.889999,38.959999,8154800,36.584007
2010-04-01,46.470001,50.25,44.209999,46.720001,6656000,43.799026
2010-03-01,46.389999,50.419998,43.84,45.700001,6533100,42.842796
2010-02-01,42.419998,47.459999,39.880001,45.970001,6629600,43.095917
2010-01-04,46.41,52.139999,41.630001,42.119999,6299000,39.42067
2009-12-01,45.259998,48.209999,41.139999,45.209999,4545000,42.312641
2009-11-02,40.259998,47.639999,39.189999,44.459999,5804700,41.610706
2009-10-01,37.27,46.580002,34.540001,39.59,5992000,36.988403
2009-09-01,32.549999,41.540001,31.74,37.220001,5962300,34.774143
2009-08-03,33.93,37.240002,32.290001,32.68,5818600,30.532482
2009-07-01,31.08,35.299999,27.190001,33.110001,7684900,30.881645
2009-06-01,34.950001,37.439999,27.76,30.16,6650600,28.130184
2009-05-01,26.530001,34.450001,26.51,33.98,7691600,31.693092
2009-04-01,24.26,30.200001,23.559999,26.389999,7911900,24.613911
2009-03-02,22.77,29.77,20.17,25.040001,9378600,23.30056
2009-02-02,24.00,30.950001,20.50,23.67,9927200,22.025728
2009-01-02,23.530001,29.00,21.959999,25.00,9201600,23.215042
2008-12-01,22.25,28.10,16.65,22.75,7854000,21.125689
2008-11-03,34.240002,37.380001,16.00,23.43,10810800,21.757137
2008-10-01,43.630001,43.990002,24.08,34.509998,17207500,31.989054
2008-09-02,60.43,65.00,39.060001,45.00,13302800,41.712765
2008-08-01,68.550003,69.050003,53.220001,62.950001,8168500,58.351524
2008-07-01,87.809998,88.389999,60.580002,67.650002,10441400,62.64492
2008-06-02,73.75,88.690002,73.410004,88.050003,7551700,81.535629
2008-05-01,60.27,81.099998,57.740002,73.919998,6216800,68.451035
2008-04-01,51.029999,71.279999,49.380001,61.130001,6115000,56.554077
2008-03-03,56.779999,58.25,45.00,51.00,7156900,47.182362
2008-02-01,53.939999,60.59,49.549999,56.619999,5864700,52.381672
2008-01-02,61.889999,63.970001,42.049999,53.860001,6940700,49.771622
2007-12-03,55.59,62.549999,54.220001,61.639999,3296800,56.96106
2007-11-01,52.540001,56.889999,47.889999,55.639999,5715100,51.416504
2007-10-01,47.700001,58.919998,47.52,55.75,4236100,48.176662
2007-09-04,42.50,49.43,42.48,47.869999,3843600,41.367115
2007-08-01,43.09,47.119999,38.419998,42.509998,6459900,36.735241
2007-07-02,48.549999,50.990002,40.630001,42.259998,6347100,36.471794
2007-06-01,54.549999,55.459999,45.110001,48.380001,5665900,41.753563
2007-05-01,47.900002,55.759998,46.700001,54.040001,5119300,46.638332
2007-04-02,40.00,50.049999,39.959999,47.98,6553700,41.408348
2007-03-01,39.790001,41.48,37.200001,40.240002,4535700,34.685642
2007-02-01,41.139999,44.599998,39.50,40.419998,5268700,34.840794
2007-01-03,40.02,41.959999,36.200001,40.830002,6860100,35.143394
2006-12-01,46.619999,48.59,40.290001,40.41,4677300,34.781887
2006-11-01,41.900002,46.540001,40.00,46.009998,6058500,39.601944
2006-10-02,36.799999,44.650002,34.049999,41.970001,6742400,36.124619
2006-09-01,44.07,44.830002,32.939999,36.779999,8011600,31.613293
2006-08-01,50.299999,53.029999,42.799999,44.07,4083700,37.879223
2006-07-03,56.740002,59.900002,43.200001,49.950001,5879500,42.880707
2006-06-01,62.099998,65.980003,46.810001,55.75,6096700,47.859848
2006-05-01,65.00,76.290001,51.360001,62.34,5729400,53.517181
2006-04-03,51.00,65.970001,49.720001,63.860001,3961800,54.773697
2006-03-01,48.27,51.389999,44.00,50.41,3201200,43.237427
2006-02-01,100.25,105.07,47.00,48.27,6355100,41.401917
2006-01-03,82.470001,100.489998,82.470001,99.510002,5009300,42.624084
2005-12-01,80.00,86.949997,77.870003,82.419998,3781500,35.303757
2005-11-01,78.75,84.650002,71.489998,78.860001,5601800,33.77887
2005-10-03,84.00,86.900002,70.43,78.160004,8641600,33.438728
2005-09-01,72.199997,86.050003,68.00,84.349998,4554100,36.08696
2005-08-01,65.739998,72.860001,62.50,71.669998,3466100,30.662149
2005-07-01,52.040001,66.849998,52.009998,65.739998,3718200,28.085779
2005-06-01,47.740002,56.450001,47.580002,52.040001,3068500,22.232798
2005-05-02,43.50,48.860001,41.860001,47.740002,3486300,20.395729
2005-04-01,47.299999,48.25,39.349998,43.77,4464200,18.667603
2005-03-01,96.75,101.879997,45.75,46.360001,5434100,19.772219
2005-02-01,82.099998,99.550003,82.089996,97.099998,4433200,20.706238
2005-01-03,80.910004,85.169998,73.489998,84.75,4677000,18.04179
2004-12-01,83.25,84.00,73.610001,80.910004,5262500,17.224321
2004-11-01,64.029999,86.800003,61.990002,83.00,4820300,17.669245
2004-10-01,59.650002,67.019997,54.02,63.779999,4704900,13.545712
2004-09-01,53.32,60.43,53.099998,59.50,2696700,12.636718
2004-08-02,55.700001,56.380001,50.740002,53.32,2541100,11.324198
2004-07-01,55.75,58.34,50.84,56.18,4143900,11.905063
2004-06-01,49.990002,56.009998,47.27,55.990002,3136200,11.8648
2004-05-03,46.599998,50.880001,41.75,49.740002,3853200,10.540367
2004-04-01,47.200001,51.43,45.700001,46.889999,3526000,9.909936
2004-03-01,46.00,50.59,43.029999,46.509998,4770600,9.829625
2004-02-02,40.00,42.900002,36.419998,42.799999,2088200,9.045538
2004-01-02,41.709999,43.68,36.860001,40.029999,2249100,8.431236
2003-12-01,33.709999,43.00,33.700001,41.709999,2340300,8.785083
2003-11-03,33.00,34.169998,32.09,33.700001,820500,7.097993
2003-10-01,31.469999,34.400002,31.35,33.330002,1306900,7.020063
2003-09-02,31.549999,31.879999,29.75,31.370001,1282100,6.582365
2003-08-01,30.450001,31.75,28.610001,31.65,1332800,6.641117
2003-07-01,33.50,33.639999,30.00,30.690001,2392600,6.413452
2003-06-02,32.759998,35.110001,31.09,33.59,1376600,7.01948
2003-05-01,27.40,32.869999,26.870001,32.849998,2125100,6.864838
2003-04-01,27.93,28.200001,26.719999,28.10,1018900,5.850457
2003-03-03,28.65,28.73,27.24,27.889999,1002100,5.806735
2003-02-03,25.75,28.90,24.52,28.58,1140700,5.950394
2003-01-02,29.299999,29.60,24.73,25.549999,1267900,5.298093
2002-12-02,27.35,29.27,25.50,29.23,760400,6.061185
2002-11-01,25.65,27.25,24.85,27.25,646700,5.650609
2002-10-01,25.50,27.00,22.60,25.75,1337800,5.31883
2002-09-03,25.549999,26.200001,23.24,25.50,2996600,5.267191
2002-08-01,22.40,26.030001,21.190001,25.610001,696000,5.289912
2002-07-01,28.25,28.26,17.50,22.40,1260400,4.626865
2002-06-03,28.34,28.450001,26.17,28.299999,845800,5.819038
2002-05-01,27.00,28.51,26.77,28.34,828800,5.827263
2002-04-01,29.15,30.75,26.16,27.030001,2023600,5.557902
2002-03-01,25.10,30.030001,25.10,28.950001,732300,5.930372
2002-02-01,25.200001,26.290001,23.24,25.15,425200,5.151947
2002-01-02,28.299999,28.50,25.01,25.35,763700,5.170894
2001-12-03,26.52,28.700001,24.549999,28.190001,812600,5.750197
2001-11-01,30.00,30.10,25.60,26.51,514300,5.407511
2001-10-01,24.049999,32.00,23.10,30.00,915400,6.098657
2001-09-04,28.40,30.299999,22.90,24.10,1468700,4.899255
2001-08-01,24.99,29.85,23.700001,28.40,915400,5.773396
2001-07-02,32.00,32.00,22.200001,24.98,1140700,5.078148
2001-06-01,33.700001,34.599998,26.00,32.75,2022100,6.657701
2001-05-22,36.00,38.049999,31.50,33.950001,11123400,6.901647
