Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,15.89,15.94,15.65,15.71,141200,13.562404
2013-03-01,15.96,16.129999,14.91,15.84,80600,13.674633
2013-02-01,16.67,16.700001,15.89,16.040001,59200,13.777879
2013-01-02,16.280001,17.790001,16.280001,16.559999,53800,14.157298
2012-12-03,17.469999,17.469999,15.71,16.200001,76700,13.787447
2012-11-01,16.48,17.440001,16.190001,17.33,68800,14.680234
2012-10-01,16.879999,17.030001,16.389999,16.459999,47000,13.87898
2012-09-04,16.809999,17.040001,16.51,16.950001,43700,14.224747
2012-08-01,16.379999,17.02,16.190001,16.73,63700,13.974659
2012-07-02,16.190001,16.700001,16.059999,16.290001,54600,13.543381
2012-06-01,15.37,16.18,15.37,16.18,64200,13.388335
2012-05-01,15.48,15.62,15.18,15.51,49100,12.769931
2012-04-02,14.99,15.43,14.90,15.31,41600,12.542237
2012-03-01,15.74,15.96,14.34,14.98,55000,12.209373
2012-02-01,15.75,15.87,15.05,15.75,58600,12.773826
2012-01-03,14.87,15.73,14.72,15.65,85600,12.630786
2011-12-01,14.72,14.97,14.21,14.84,72900,11.915199
2011-11-01,14.27,14.88,14.22,14.70,39500,11.739898
2011-10-03,14.38,14.51,13.76,14.22,46400,11.296783
2011-09-01,13.90,14.50,13.80,14.29,44600,11.290353
2011-08-01,13.33,14.01,12.16,13.85,53900,10.882184
2011-07-01,13.73,13.81,13.05,13.15,39500,10.272183
2011-06-01,13.55,13.65,13.08,13.64,41300,10.59502
2011-05-02,12.97,13.54,12.81,13.51,36900,10.43365
2011-04-01,13.06,13.10,12.62,12.88,38300,9.889388
2011-03-01,13.38,13.63,12.93,12.99,48000,9.91477
2011-02-01,12.74,13.44,12.74,13.34,58300,10.123405
2011-01-03,12.93,12.97,11.70,12.69,79000,9.573313
2010-12-01,13.89,13.89,12.29,12.95,94700,9.709991
2010-11-01,15.18,15.28,12.40,13.83,81800,10.307244
2010-10-01,14.79,15.29,14.70,15.05,51700,11.157934
2010-09-01,15.39,15.42,14.63,14.73,53200,10.865074
2010-08-02,15.13,15.49,14.84,15.26,43800,11.199436
2010-07-01,14.68,14.98,14.49,14.98,39100,10.940099
2010-06-01,14.54,14.78,14.26,14.66,39500,10.652022
2010-05-03,14.24,14.60,14.15,14.47,48500,10.460568
2010-04-01,14.40,14.74,13.92,14.16,46900,10.18567
2010-03-01,13.79,14.29,13.68,14.23,47900,10.184628
2010-02-01,13.88,13.96,13.39,13.70,38800,9.754908
2010-01-04,13.56,13.80,13.56,13.75,33800,9.741875
2009-12-01,13.43,13.70,13.10,13.61,38200,9.594084
2009-11-02,13.55,13.80,13.02,13.25,29700,9.291853
2009-10-01,14.00,14.49,12.71,13.46,49600,9.3913
2009-09-01,13.70,14.16,13.66,14.00,44000,9.719404
2009-08-03,13.50,14.00,13.17,13.69,46000,9.457279
2009-07-01,12.89,13.45,12.25,13.45,39600,9.244308
2009-06-01,13.21,13.59,12.04,12.64,41900,8.641794
2009-05-01,12.91,13.21,12.32,13.03,44600,8.860634
2009-04-01,11.67,12.90,11.56,12.90,43600,8.731101
2009-03-02,11.70,11.98,10.94,11.53,169100,7.764405
2009-02-02,12.00,12.59,10.99,11.50,54600,7.703125
2009-01-02,10.51,12.76,10.51,11.88,51800,7.917579
2008-12-01,10.00,11.30,8.11,10.59,146200,7.022495
2008-11-03,11.75,11.75,9.40,10.00,46300,6.5868
2008-10-01,11.23,12.00,7.81,11.90,60600,7.795294
2008-09-02,13.25,13.37,10.38,11.15,45900,7.255827
2008-08-01,13.10,13.40,12.88,13.19,31500,8.54413
