Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,28.91,29.02,27.700001,28.209999,205200,28.209999
2013-03-01,27.389999,30.030001,27.370001,28.82,100200,28.82
2013-02-01,25.23,28.200001,24.030001,27.60,195100,27.60
2013-01-02,22.459999,25.110001,21.879999,25.08,164500,25.08
2012-12-03,20.209999,22.00,18.90,21.950001,230000,21.950001
2012-11-01,22.27,23.549999,19.459999,20.00,276300,20.00
2012-10-01,20.60,22.77,20.49,22.16,48400,22.16
2012-09-04,19.82,21.98,19.389999,20.52,40500,20.52
2012-08-01,20.77,21.379999,19.52,19.870001,27900,19.870001
2012-07-02,19.940001,21.99,18.959999,20.68,50000,20.68
2012-06-01,18.190001,19.940001,17.10,19.879999,56700,19.879999
2012-05-01,20.629999,21.90,18.17,18.540001,67800,18.540001
2012-04-02,18.10,21.129999,17.01,20.66,78000,20.66
2012-03-01,20.26,20.33,17.67,18.18,78100,18.18
2012-02-01,17.60,20.65,17.52,20.15,81700,20.15
2012-01-03,15.95,18.65,15.17,17.42,54400,17.42
2011-12-01,15.23,16.200001,14.40,15.46,66700,15.46
2011-11-01,14.75,16.24,13.61,15.34,93300,15.34
2011-10-03,11.52,16.809999,10.64,15.61,130600,15.61
2011-09-01,15.14,15.14,10.94,11.72,114100,11.72
2011-08-01,17.82,17.940001,12.38,15.13,179500,15.13
2011-07-01,20.73,21.110001,16.549999,17.549999,194700,17.549999
2011-06-01,23.129999,23.23,19.440001,20.66,109400,20.66
2011-05-02,25.370001,25.370001,21.389999,23.360001,152500,23.360001
2011-04-01,26.24,28.57,23.33,25.16,155200,25.16
2011-03-01,21.18,26.99,20.24,25.860001,153000,25.860001
2011-02-01,19.23,21.290001,18.60,21.18,62200,21.18
2011-01-03,19.799999,20.360001,18.43,19.040001,101200,19.040001
2010-12-01,20.959999,21.459999,16.809999,19.60,224800,19.60
2010-11-01,16.59,20.65,16.190001,20.450001,53900,20.450001
2010-10-01,15.42,16.530001,14.60,16.50,51200,16.50
2010-09-01,13.99,15.34,13.74,15.17,57700,15.17
2010-08-02,13.43,15.57,12.80,13.67,93000,13.67
2010-07-01,11.99,13.78,11.36,13.07,99900,13.07
2010-06-01,13.98,14.98,11.76,11.90,152900,11.90
2010-05-03,13.71,15.04,11.32,14.18,130500,14.18
2010-04-01,12.37,15.35,11.75,13.61,82300,13.61
2010-03-01,9.90,12.42,9.67,12.32,69500,12.32
2010-02-01,7.95,10.00,7.40,9.87,43800,9.87
2010-01-04,9.08,9.85,7.84,7.94,48800,7.94
2009-12-01,8.81,9.54,8.48,9.03,35200,9.03
2009-11-02,7.57,9.29,6.91,8.74,35200,8.74
2009-10-01,7.35,8.03,6.91,7.50,28400,7.50
2009-09-01,6.26,7.88,6.00,7.37,39100,7.37
2009-08-03,6.48,7.02,6.18,6.29,61900,6.29
2009-07-01,5.16,6.88,4.98,6.54,51300,6.54
2009-06-01,4.90,6.68,4.48,5.10,84200,5.10
2009-05-01,3.70,5.28,3.50,4.90,50900,4.90
2009-04-01,2.77,3.83,2.77,3.66,62300,3.66
2009-03-02,2.71,3.75,2.50,2.83,44400,2.83
2009-02-02,2.12,3.48,2.12,2.77,76100,2.77
2009-01-02,3.22,4.00,2.12,2.25,67300,2.25
2008-12-01,4.79,4.90,2.90,3.17,123700,3.17
2008-11-03,7.92,8.00,3.54,5.01,90000,5.01
2008-10-01,10.97,10.97,5.18,7.92,104100,7.92
2008-09-02,14.80,15.09,9.09,11.06,113900,11.06
2008-08-01,18.25,19.549999,14.34,14.80,178200,14.80
2008-07-01,17.25,20.440001,16.139999,18.26,73200,18.26
2008-06-02,17.25,18.41,16.299999,17.40,82500,17.40
2008-05-01,15.16,18.290001,14.64,17.25,49300,17.25
2008-04-01,12.90,15.02,12.60,14.70,38500,14.70
2008-03-03,10.11,13.13,10.00,12.85,41100,12.85
2008-02-01,9.55,10.94,7.90,10.11,14600,10.11
2008-01-02,10.45,10.50,8.03,9.62,17300,9.62
2007-12-03,11.65,12.21,10.45,10.52,51300,10.52
2007-11-01,13.31,14.66,11.62,11.65,22100,11.65
2007-10-01,14.07,14.67,12.74,13.31,23700,13.31
2007-09-04,12.31,14.45,12.31,14.10,35400,14.10
2007-08-01,13.81,14.19,11.85,12.45,35200,12.45
2007-07-02,13.23,15.20,13.09,13.99,68000,13.99
2007-06-01,14.70,14.88,12.82,13.07,75100,13.07
2007-05-16,15.02,15.96,13.76,14.75,501300,14.75
