Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,46.41,46.91,45.41,45.779999,12000,44.851696
2013-03-01,43.07,47.299999,42.970001,46.330002,8600,45.390545
2013-02-01,41.869999,45.68,41.299999,43.34,8700,42.347286
2013-01-02,39.32,43.099998,37.48,41.700001,32900,40.74485
2012-12-03,36.240002,38.02,34.860001,37.98,10800,37.110058
2012-11-01,32.779999,36.00,32.540001,36.00,11900,35.057007
2012-10-01,36.389999,36.68,32.389999,32.490002,10100,31.638952
2012-09-04,36.50,38.459999,35.650002,36.419998,18700,35.466003
2012-08-01,33.860001,36.82,32.900002,36.50,10300,35.424767
2012-07-02,33.490002,34.130001,30.549999,33.700001,6500,32.707253
2012-06-01,31.85,33.330002,30.85,33.290001,3100,32.30933
2012-05-01,34.25,35.560001,30.49,32.82,9100,31.755795
2012-04-02,34.18,35.209999,31.799999,34.09,6300,32.984615
2012-03-01,30.73,34.259998,29.559999,34.259998,9200,33.149101
2012-02-01,29.50,30.969999,29.16,30.700001,7700,29.60721
2012-01-03,28.110001,30.00,27.82,29.190001,3800,28.150959
2011-12-01,26.15,28.049999,25.120001,27.68,10100,26.69471
2011-11-01,24.889999,27.209999,23.709999,26.190001,3800,25.162792
2011-10-03,20.50,27.08,18.360001,26.370001,9500,25.335732
2011-09-01,25.50,25.75,20.360001,20.610001,4500,19.801647
2011-08-01,27.959999,28.139999,21.32,25.41,9600,24.308109
2011-07-01,29.02,30.030001,27.360001,27.610001,10900,26.412708
2011-06-01,28.049999,29.530001,25.42,28.77,12300,27.522406
2011-05-02,25.030001,28.48,25.030001,28.15,7800,26.829218
2011-04-01,25.23,25.76,23.530001,25.15,6500,23.969976
2011-03-01,24.00,26.25,22.41,25.120001,9900,23.941385
2011-02-01,20.030001,24.049999,19.860001,24.049999,8500,22.873352
2011-01-03,19.290001,20.92,18.98,19.780001,15200,18.812263
2010-12-01,17.17,19.82,17.09,19.030001,14200,18.098957
2010-11-01,17.059999,17.75,16.049999,16.85,15500,15.981098
2010-10-01,16.049999,18.24,15.94,16.99,25200,16.113878
2010-09-01,14.05,16.190001,14.05,15.90,15700,15.080086
2010-08-02,15.25,15.74,13.05,13.83,9800,13.072335
2010-07-01,12.96,15.20,12.29,15.04,23900,14.216047
2010-06-01,14.32,15.37,12.90,12.98,14200,12.268902
2010-05-03,16.49,16.940001,13.20,14.63,21200,13.725464
2010-04-01,14.03,16.73,13.93,16.23,13500,15.22654
2010-03-01,13.12,14.94,13.12,13.94,20700,13.078125
2010-02-01,13.01,13.97,12.34,13.05,25000,12.20148
2010-01-04,14.34,14.35,12.77,12.95,22900,12.107982
2009-12-01,13.02,14.58,12.74,14.07,30200,13.155159
2009-11-02,11.79,13.88,11.63,12.87,20800,11.990023
2009-10-01,11.84,14.02,11.29,11.80,25000,10.993184
2009-09-01,10.30,13.17,9.73,12.06,30400,11.235407
2009-08-03,8.22,11.64,8.22,10.34,40600,9.587614
2009-07-01,7.05,8.25,5.69,8.21,15600,7.612603
2009-06-01,7.58,9.49,6.70,6.97,19300,6.462831
2009-05-01,7.16,8.85,6.50,7.48,40300,6.896756
2009-04-01,3.81,7.77,3.75,7.12,45400,6.564826
2009-03-02,4.14,4.99,3.06,3.92,36800,3.614343
2009-02-02,5.67,6.60,4.30,4.32,32600,3.924749
2009-01-02,8.30,9.16,5.76,5.78,42300,5.251169
2008-12-01,6.61,8.43,5.62,8.24,61200,7.486095
2008-11-03,9.91,10.00,4.37,6.68,51900,5.795272
2008-10-01,14.35,14.59,7.57,9.83,66900,8.528072
2008-09-02,16.42,17.18,14.15,14.63,33700,12.692341
2008-08-01,16.42,18.459999,15.78,16.190001,28700,14.045728
2008-07-01,19.190001,19.40,16.16,16.379999,31100,13.981222
2008-06-02,21.59,22.309999,19.309999,19.48,33800,16.627241
2008-05-01,23.129999,24.99,21.530001,21.530001,52400,18.377029
2008-04-01,22.42,23.559999,20.68,23.129999,45800,19.499424
2008-03-03,22.709999,23.389999,21.08,22.10,57200,18.631098
2008-02-01,25.110001,25.84,22.790001,22.799999,83300,19.221222
2008-01-02,26.799999,27.00,21.360001,25.219999,142400,21.039988
2007-12-03,27.42,27.48,25.719999,26.75,66900,22.316404
2007-11-01,28.379999,28.51,25.73,27.450001,56700,22.900385
2007-10-01,31.290001,31.629999,28.16,28.74,35800,23.751825
2007-09-04,31.65,32.950001,30.25,31.51,98700,26.041058
2007-08-01,31.50,32.709999,28.870001,31.459999,66700,25.790398
2007-07-02,33.549999,35.540001,31.49,31.66,69600,25.954355
2007-06-01,33.099998,34.00,32.380001,33.330002,124500,27.323397
2007-05-01,31.799999,33.66,31.290001,33.23,126100,27.241415
2007-04-02,30.620001,32.50,27.15,31.799999,75100,25.898077
2007-03-01,30.00,31.290001,29.16,30.610001,58200,24.928936
2007-02-01,31.40,32.27,28.73,30.40,112500,24.573837
2007-01-03,31.309999,31.83,30.559999,31.16,69600,25.188183
2006-12-01,29.799999,32.009998,29.459999,31.219999,72200,25.236683
2006-11-01,28.99,30.91,28.450001,29.73,44100,24.032242
2006-10-02,28.209999,29.25,27.719999,28.969999,54300,23.261776
2006-09-01,28.809999,29.75,28.00,28.219999,52600,22.659555
2006-08-01,27.290001,29.09,25.549999,28.559999,58700,22.932562
2006-07-03,27.059999,27.60,26.16,27.379999,49900,21.833134
2006-06-01,25.77,27.77,25.59,27.059999,73100,21.577961
2006-05-01,25.459999,26.799999,24.860001,25.90,71200,20.50943
2006-04-03,24.15,25.59,24.129999,25.459999,74400,20.161007
2006-03-01,24.459999,25.15,23.860001,24.10,157200,19.084064
2006-02-01,26.200001,26.68,24.370001,24.469999,118700,19.377056
2006-01-03,25.60,27.51,24.889999,26.200001,298900,20.615057
2005-12-05,31.50,31.50,24.90,25.40,27900,19.985588
