Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,34.540001,34.540001,33.200001,33.279999,915400,31.961559
2013-03-01,36.439999,37.610001,33.00,34.200001,520400,32.845112
2013-02-01,37.799999,39.009998,35.959999,36.779999,438200,35.322903
2013-01-02,40.77,44.16,37.400002,37.43,524900,35.749207
2012-12-03,38.110001,40.950001,36.580002,39.790001,274400,38.003231
2012-11-01,35.529999,38.330002,34.09,37.73,402100,36.035732
2012-10-01,36.259998,37.91,32.57,35.759998,440000,33.972233
2012-09-04,34.77,39.869999,33.900002,36.57,378300,34.741737
2012-08-01,38.169998,39.110001,34.389999,34.830002,335600,33.08873
2012-07-02,40.93,41.75,36.549999,39.00,355600,36.840103
2012-06-01,36.77,41.57,35.110001,40.700001,517300,38.445953
2012-05-01,42.43,44.970001,36.82,37.799999,454900,35.706558
2012-04-02,42.639999,43.849998,40.57,43.130001,330300,40.534302
2012-03-01,40.869999,43.759998,37.740002,42.68,333200,40.111385
2012-02-01,36.459999,42.57,36.41,40.509998,503300,38.07198
2012-01-03,33.200001,36.830002,31.700001,36.200001,383900,33.872589
2011-12-01,32.959999,34.349998,30.66,32.139999,520000,30.073618
2011-11-01,29.27,33.50,28.629999,33.18,721000,31.046753
2011-10-03,24.51,32.029999,22.450001,30.18,736700,28.07666
2011-09-01,34.66,34.880001,23.75,24.780001,768800,23.053005
2011-08-01,39.599998,39.919998,29.15,34.43,583600,32.030464
2011-07-01,40.009998,43.419998,38.16,39.099998,378900,36.167927
2011-06-01,42.23,42.34,36.919998,39.869999,355400,36.880188
2011-05-02,45.060001,45.380001,40.00,42.23,361300,39.063213
2011-04-01,46.68,48.77,43.900002,44.849998,384600,41.302902
2011-03-01,43.580002,47.110001,41.299999,46.290001,340800,42.629017
2011-02-01,43.689999,45.459999,40.950001,43.259998,352300,39.83865
2011-01-03,38.080002,46.57,38.029999,43.25,464500,39.665833
2010-12-01,36.48,38.889999,36.32,37.650002,251700,34.529911
2010-11-01,34.290001,36.290001,33.779999,35.799999,340400,32.833221
2010-10-01,32.919998,35.50,32.189999,34.02,311000,31.040411
2010-09-01,28.92,33.200001,28.870001,32.57,352300,29.717405
2010-08-02,30.040001,30.65,26.969999,28.43,357300,25.940002
2010-07-01,24.07,30.959999,22.950001,29.50,566600,26.741632
2010-06-01,27.709999,29.74,23.84,24.110001,513700,21.855619
2010-05-03,32.950001,33.41,25.200001,28.01,583200,25.390953
2010-04-01,30.67,34.00,29.93,32.540001,414700,29.296719
2010-03-01,29.23,32.23,29.120001,30.40,374400,27.370012
2010-02-01,26.059999,30.290001,26.059999,29.059999,654400,26.16357
2010-01-04,26.49,28.50,24.129999,25.780001,625300,23.067657
2009-12-01,23.65,27.52,23.65,26.23,490900,23.470312
2009-11-02,22.01,24.469999,20.950001,22.93,509600,20.517509
2009-10-01,23.10,24.99,20.950001,21.93,639400,19.470671
2009-09-01,19.719999,24.67,18.299999,23.110001,748100,20.518341
2009-08-03,18.690001,21.309999,17.969999,19.790001,726600,17.57066
2009-07-01,12.72,18.709999,12.18,18.299999,481500,16.108622
2009-06-01,16.25,17.00,11.41,12.58,768300,11.073577
2009-05-01,14.43,18.42,13.92,15.97,683600,14.057633
2009-04-01,10.32,15.91,10.12,14.60,548200,12.717738
2009-03-02,10.29,10.90,7.97,10.51,601000,9.155029
2009-02-02,13.11,13.55,10.47,10.48,624000,9.128897
2009-01-02,15.37,16.66,13.06,13.36,591600,11.447858
2008-12-01,20.40,20.870001,13.42,15.30,740400,13.110197
2008-11-03,26.280001,27.59,16.719999,20.690001,507300,17.728756
2008-10-01,31.549999,32.00,21.379999,26.450001,832900,22.455364
2008-09-02,27.68,33.459999,27.68,31.780001,805100,26.980396
2008-08-01,27.030001,29.92,25.469999,27.67,432100,23.491112
2008-07-01,23.940001,29.139999,21.98,26.83,691600,22.623894
2008-06-02,31.799999,32.360001,24.24,24.309999,530300,20.498951
2008-05-01,27.93,33.720001,27.93,32.040001,451600,27.01713
2008-04-01,27.690001,30.60,27.66,29.16,384500,24.448475
2008-03-03,27.32,29.42,25.469999,28.00,496700,23.475901
2008-02-01,29.68,30.90,27.33,27.40,408900,22.972845
2008-01-02,33.169998,33.50,27.700001,29.66,591500,24.712101
2007-12-03,34.290001,35.860001,32.240002,33.34,389400,27.778202
2007-11-01,35.48,38.240002,30.440001,34.419998,655700,28.678034
2007-10-01,35.529999,40.490002,33.919998,35.009998,403200,29.002712
2007-09-04,40.099998,40.41,34.939999,35.529999,651500,29.433487
2007-08-01,40.34,41.23,34.48,40.34,611000,33.418152
2007-07-02,47.900002,49.139999,38.139999,40.380001,586300,33.294243
2007-06-01,48.27,48.66,45.580002,47.68,387800,39.313263
2007-05-01,45.18,48.470001,43.450001,48.310001,470200,39.83271
2007-04-02,47.689999,49.869999,43.110001,45.299999,355100,37.208965
2007-03-01,44.00,48.50,43.290001,47.73,380800,39.204945
2007-02-01,45.060001,47.84,43.939999,44.669998,427700,36.69149
2007-01-03,43.700001,47.02,43.00,44.740002,414000,36.61063
2006-12-01,41.25,43.939999,40.919998,43.57,236200,35.653221
2006-11-01,39.73,43.849998,38.549999,41.130001,505600,33.656578
2006-10-02,37.099998,39.950001,36.540001,39.549999,300900,32.229717
2006-09-01,33.27,37.34,32.790001,37.200001,270400,30.314678
2006-08-01,33.220001,34.299999,30.50,33.23,380100,27.079483
2006-07-03,34.57,34.689999,31.32,33.27,277500,26.97415
2006-06-01,33.25,34.990002,31.48,34.52,387600,27.987604
2006-05-01,36.049999,36.360001,31.959999,33.130001,422200,26.860641
2006-04-03,34.490002,36.549999,32.549999,36.00,343100,29.044678
