Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,29.66,29.66,28.879999,29.200001,382000,26.792183
2013-03-01,28.65,29.950001,28.370001,29.629999,178500,27.186724
2013-02-01,28.57,29.309999,28.200001,28.870001,179000,26.243616
2013-01-02,27.91,28.98,27.290001,28.40,214000,25.816372
2012-12-03,27.08,27.73,26.209999,27.360001,152500,24.870985
2012-11-01,27.709999,27.99,25.50,26.879999,121200,24.194572
2012-10-01,28.34,28.83,27.049999,27.59,139600,24.833643
2012-09-04,27.99,29.50,27.82,28.190001,197500,25.373699
2012-08-01,27.559999,28.98,26.59,28.040001,121100,25.001497
2012-07-02,27.139999,27.889999,26.309999,27.51,134000,24.528929
2012-06-01,26.110001,27.120001,25.379999,27.120001,168700,24.18119
2012-05-01,28.07,28.51,26.23,26.610001,207900,23.491896
2012-04-02,28.780001,29.469999,27.620001,28.120001,219000,24.824959
2012-03-01,27.389999,29.290001,26.219999,28.780001,254100,25.407621
2012-02-01,27.629999,28.950001,27.290001,27.32,211200,23.888239
2012-01-03,28.389999,28.91,26.940001,27.360001,341700,23.923214
2011-12-01,26.32,28.26,25.809999,27.799999,230700,24.307943
2011-11-01,24.530001,26.60,23.879999,26.42,204300,22.876755
2011-10-03,22.549999,26.73,21.860001,25.559999,311800,22.132092
2011-09-01,24.99,24.99,21.67,22.690001,370200,19.646994
2011-08-01,25.40,25.84,21.75,25.030001,323800,21.42317
2011-07-01,24.82,25.66,24.049999,25.16,177600,21.534435
2011-06-01,25.01,25.01,22.780001,24.790001,225000,21.217754
2011-05-02,25.059999,25.120001,23.690001,25.08,171500,21.243519
2011-04-01,24.440001,25.10,23.610001,25.02,178900,21.192698
2011-03-01,25.200001,25.530001,23.02,24.27,159000,20.557425
2011-02-01,25.469999,26.08,24.450001,25.16,156500,21.099842
2011-01-03,28.129999,28.450001,25.25,25.280001,207500,21.20048
2010-12-01,24.530001,28.950001,24.43,27.77,188200,23.288658
2010-11-01,23.51,25.24,22.889999,24.08,142400,20.013351
2010-10-01,23.139999,24.620001,22.120001,23.370001,183400,19.423258
2010-09-01,22.889999,23.67,21.76,23.01,192700,19.124054
2010-08-02,25.24,25.67,21.950001,22.58,163100,18.566227
2010-07-01,22.01,25.93,21.52,24.75,216400,20.350492
2010-06-01,22.709999,24.110001,21.33,22.030001,213000,18.113995
2010-05-03,25.02,25.91,21.459999,22.85,254000,18.585207
2010-04-01,22.85,26.49,22.809999,24.67,175000,20.065517
2010-03-01,22.530001,24.25,22.040001,22.780001,170200,18.528273
2010-02-01,20.940001,22.559999,19.719999,22.41,198400,18.052603
2010-01-04,19.440001,22.00,17.809999,20.91,270700,16.844261
2009-12-01,18.76,20.00,18.200001,19.309999,130500,15.555366
2009-11-02,18.790001,19.26,17.610001,18.559999,173400,14.774734
2009-10-01,18.120001,19.58,16.360001,18.610001,217700,14.814537
2009-09-01,17.700001,19.860001,16.98,18.27,169200,14.543879
2009-08-03,18.469999,20.33,17.33,17.83,223400,14.022981
2009-07-01,14.71,18.50,13.78,18.129999,292100,14.258925
2009-06-01,15.74,16.41,14.22,14.56,318300,11.451184
2009-05-01,16.459999,19.139999,14.39,15.50,296100,12.020521
2009-04-01,16.379999,20.059999,15.67,16.450001,403000,12.757264
2009-03-02,16.879999,18.200001,13.24,16.75,449100,12.989919
2009-02-02,17.74,20.459999,15.81,17.110001,367500,13.072923
2009-01-02,24.27,24.549999,17.299999,17.950001,419800,13.714726
