Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,18.040001,18.200001,17.75,17.879999,449400,17.794367
2013-03-01,16.959999,18.709999,16.709999,18.10,414900,18.013313
2013-02-01,16.08,18.10,15.63,17.059999,474300,16.978294
2013-01-02,14.29,16.530001,14.20,16.040001,513000,15.963181
2012-12-03,13.63,14.26,13.26,14.18,414000,14.112088
2012-11-01,12.23,13.72,11.54,13.54,371200,13.475153
2012-10-01,14.41,14.53,12.09,12.39,318500,12.330661
2012-09-04,13.64,14.71,13.42,14.31,286500,14.241466
2012-08-01,13.85,14.62,12.98,13.65,296200,13.584626
2012-07-02,14.32,15.05,13.50,13.84,204600,13.773716
2012-06-01,13.12,14.36,12.54,14.22,319900,14.151896
2012-05-01,13.87,15.20,12.60,13.37,427800,13.305967
2012-04-02,15.56,15.77,13.70,13.84,327300,13.773716
2012-03-01,15.15,16.09,14.24,15.61,425700,15.535239
2012-02-01,16.48,17.25,14.77,15.11,480000,15.037634
2012-01-03,16.129999,16.559999,14.93,16.34,296900,16.261744
2011-12-01,14.86,15.87,13.95,15.71,524800,15.63476
2011-11-01,15.31,16.24,13.00,14.88,512100,14.808736
2011-10-03,14.50,16.84,13.48,15.95,407900,15.87361
2011-09-01,15.78,15.97,13.28,14.57,497600,14.500219
2011-08-01,15.04,16.58,14.20,15.82,836900,15.744233
2011-07-01,17.01,17.219999,14.78,14.89,417600,14.818687
2011-06-01,17.25,17.610001,16.040001,17.00,559000,16.918583
2011-05-02,17.280001,18.200001,15.88,17.25,702500,17.167385
2011-04-01,15.88,17.690001,15.73,17.16,750400,17.077816
2011-03-01,14.07,16.440001,13.37,15.88,942000,15.803946
2011-02-01,14.35,14.86,13.33,14.04,606100,13.972758
2011-01-03,15.31,15.44,13.40,14.26,607400,14.191705
2010-12-01,14.25,15.90,14.11,15.12,488000,15.047585
2010-11-01,15.20,15.67,13.93,13.97,457500,13.903094
2010-10-01,14.60,16.139999,14.41,15.01,578500,14.938113
2010-09-01,12.70,14.64,12.50,14.50,523100,14.430555
2010-08-02,13.46,14.05,11.75,12.48,752100,12.420229
2010-07-01,13.22,14.19,12.21,13.24,807800,13.17659
2010-06-01,14.73,15.72,13.07,13.24,649100,13.17659
2010-05-03,15.59,16.120001,13.39,14.87,846700,14.798783
2010-04-01,17.120001,18.35,15.46,15.50,794100,15.425766
2010-03-01,15.58,17.59,15.44,17.120001,749800,17.038008
2010-02-01,13.47,15.77,12.21,15.51,735400,15.435719
2010-01-04,14.08,15.30,13.32,13.39,661200,13.325871
2009-12-01,14.07,15.25,13.86,13.90,817200,13.833428
2009-11-02,15.99,16.360001,13.05,13.99,1066800,13.922997
2009-10-01,14.79,16.700001,14.06,15.84,488600,15.764138
2009-09-01,14.16,16.77,13.69,14.83,438700,14.758975
2009-08-03,13.27,14.84,12.37,14.30,806600,14.231513
2009-07-01,13.99,14.12,10.93,12.67,692100,12.60932
2009-06-01,11.80,14.54,11.63,13.89,869400,13.823477
2009-05-01,16.98,17.84,11.14,11.53,1358500,11.474779
2009-04-01,13.94,19.309999,13.65,16.98,697600,16.898678
2009-03-02,14.39,16.15,12.76,14.17,704200,14.102136
2009-02-02,12.59,15.54,12.00,14.65,760300,14.579837
2009-01-02,15.78,16.790001,12.21,12.57,658000,12.509798
2008-12-01,12.03,16.309999,10.40,15.36,782500,15.286436
2008-11-03,13.39,16.42,10.00,12.77,666000,12.708841
2008-10-01,20.27,21.639999,9.11,13.32,1337500,13.256207
2008-09-02,23.030001,23.030001,15.84,20.360001,978700,20.262491
2008-08-01,19.08,21.700001,18.469999,21.33,588400,21.227844
2008-07-01,15.27,20.25,14.04,19.00,572300,18.909004
2008-06-02,17.870001,20.23,15.27,15.46,605400,15.385958
2008-05-01,14.15,18.98,13.81,17.719999,578400,17.635134
2008-04-01,15.06,16.15,12.63,14.25,607200,14.181752
2008-03-03,16.24,17.879999,13.68,15.05,700700,14.977921
2008-02-01,15.46,18.950001,15.00,16.34,772700,16.261744
2008-01-02,15.98,16.66,13.19,15.32,621300,15.246628
2007-12-03,14.85,16.959999,14.56,15.89,508900,15.813898
2007-11-01,15.05,15.05,11.64,14.56,933100,14.490269
2007-10-01,14.00,15.88,13.58,14.90,953000,14.828639
2007-09-04,13.47,14.74,12.83,13.96,565200,13.893142
2007-08-01,10.99,14.44,10.65,13.35,767500,13.286063
2007-07-02,11.75,13.40,10.30,11.00,680500,10.947318
2007-06-01,10.04,12.20,9.77,11.60,887000,11.544445
2007-05-01,7.88,10.28,7.37,10.13,691600,10.081485
2007-04-02,8.30,8.58,7.70,7.91,469100,7.872117
2007-03-01,5.97,9.52,5.97,8.31,831400,8.270202
2007-02-01,6.28,7.20,6.14,6.80,398700,6.767433
2007-01-03,6.17,6.38,5.43,6.27,327200,6.239971
2006-12-01,5.75,6.53,5.50,6.20,502400,6.170306
2006-11-01,4.66,5.96,4.57,5.85,782200,5.821982
2006-10-02,4.42,5.24,4.35,4.62,569100,4.597873
2006-09-01,4.67,4.73,4.21,4.42,572300,4.398831
2006-08-01,6.06,6.14,4.15,4.67,765800,4.647634
2006-07-03,5.85,6.11,5.34,6.06,221300,6.030977
2006-06-01,6.82,6.99,5.45,6.09,338300,6.060833
2006-05-01,7.25,7.66,6.22,6.82,278600,6.787337
2006-04-03,6.20,7.94,6.00,7.49,443500,7.454128
2006-03-01,7.80,8.28,6.02,6.15,461600,6.120546
2006-02-01,7.25,8.69,6.92,7.78,256200,7.74274
2006-01-03,5.69,7.87,5.50,7.26,497000,7.22523
