Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,7.47,7.49,7.34,7.37,164800,6.47434
2013-03-01,7.55,7.88,7.36,7.49,152300,6.579757
2013-02-01,7.57,7.85,7.35,7.60,218400,6.676389
2013-01-02,7.15,7.82,6.84,7.50,283300,6.588542
2012-12-03,6.51,7.21,6.33,7.02,122100,6.166875
2012-11-01,6.63,6.88,6.31,6.50,265600,5.71007
2012-10-01,6.03,6.82,5.61,6.66,292400,5.850625
2012-09-04,5.25,6.08,5.09,5.98,285400,5.253264
2012-08-01,5.07,5.53,4.48,5.25,234900,4.611979
2012-07-02,6.02,6.16,4.75,5.06,405100,4.44507
2012-06-01,6.12,6.47,5.90,6.02,308300,5.288403
2012-05-01,7.57,7.61,6.11,6.30,390600,5.534376
2012-04-02,7.94,8.41,7.29,7.57,751200,6.650035
2012-03-01,14.08,14.88,7.76,7.98,688200,7.010209
2012-02-01,12.28,13.44,11.70,13.23,481500,6.698945
2012-01-03,12.89,13.21,12.02,12.10,119100,6.126775
2011-12-01,11.27,12.60,10.91,12.55,153000,6.35463
2011-11-01,10.13,11.41,9.20,11.31,276000,5.726763
2011-10-03,9.28,11.49,8.66,11.00,140400,5.569796
2011-09-01,11.44,11.62,9.35,9.36,171100,4.739389
2011-08-01,11.92,12.46,9.31,11.45,300700,5.79765
2011-07-01,12.70,13.67,11.56,11.75,157900,5.949554
2011-06-01,14.73,14.74,12.70,12.70,183200,6.430582
2011-05-02,13.78,15.38,13.61,14.80,259300,7.493906
2011-04-01,14.65,15.01,13.20,13.76,148800,6.967308
2011-03-01,14.85,15.02,12.80,14.55,221900,7.367321
2011-02-01,13.99,15.47,13.65,14.74,218800,7.463526
2011-01-03,14.16,14.93,13.47,13.89,186800,7.033133
2010-12-01,14.00,14.36,13.32,14.04,138900,7.109084
2010-11-01,11.93,14.46,11.87,13.74,187300,6.957181
2010-10-01,11.50,12.12,10.97,11.88,147000,6.015379
2010-09-01,10.33,11.50,10.17,11.43,128100,5.787524
2010-08-02,11.30,11.99,9.86,10.05,274300,5.088768
2010-07-01,8.65,11.87,8.08,11.01,326100,5.574859
2010-06-01,9.44,10.01,8.58,8.68,383000,4.395075
2010-05-03,11.69,12.45,8.43,9.32,627200,4.719136
2010-04-01,10.72,13.25,10.59,11.58,209500,5.863475
2010-03-01,9.55,12.10,9.25,10.61,253100,5.372321
2010-02-01,10.22,10.46,9.00,9.52,266700,4.820405
2010-01-04,10.60,11.60,10.12,10.15,392100,5.139402
2009-12-01,9.23,11.29,8.60,10.39,467600,5.260925
2009-11-02,6.75,9.63,6.51,9.13,425600,4.62293
2009-10-01,6.98,8.87,6.70,6.82,364800,3.453273
2009-09-01,6.84,7.68,6.40,7.00,392800,3.544415
2009-08-03,5.92,7.40,5.77,6.79,743600,3.438083
2009-07-01,5.35,6.21,3.84,5.74,761600,2.90642
2009-06-01,3.59,7.04,3.54,5.30,1061100,2.683629
2009-05-01,3.84,5.44,3.32,3.52,618000,1.782335
2009-04-01,3.64,5.03,3.29,3.84,508900,1.944365
2009-03-02,3.00,3.94,2.14,3.67,427300,1.858286
2009-02-02,5.22,5.40,2.75,3.25,491300,1.645621
2009-01-02,6.09,7.74,4.53,5.18,470400,2.622867
2008-12-01,7.00,7.46,4.46,6.15,443100,3.114022
