Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,6.51,6.93,6.51,6.92,56200,6.92
2013-03-01,8.08,8.09,6.50,6.55,30800,6.55
2013-02-01,8.12,8.50,7.83,8.00,13900,8.00
2013-01-02,7.17,8.90,7.17,8.14,36900,8.14
2012-12-03,7.70,7.70,6.25,7.16,33300,7.16
2012-11-01,7.92,8.68,7.07,7.75,14700,7.75
2012-10-01,6.82,8.88,6.75,7.84,16800,7.84
2012-09-04,5.91,6.75,5.60,6.61,31300,6.61
2012-08-01,6.40,6.82,5.76,5.93,16300,5.93
2012-07-02,6.82,7.72,6.09,6.45,46900,6.45
2012-06-01,7.88,8.17,6.73,6.90,21300,6.90
2012-05-01,8.12,8.63,7.51,8.08,47800,8.08
2012-04-02,9.50,9.84,7.85,8.20,32600,8.20
2012-03-01,10.69,11.40,8.36,9.55,62400,9.55
2012-02-01,10.32,11.38,10.00,10.50,24200,10.50
2012-01-03,7.44,11.19,7.36,10.37,38800,10.37
2011-12-01,9.29,10.13,6.60,7.37,72600,7.37
2011-11-01,13.21,13.91,9.15,9.29,49900,9.29
2011-10-03,11.35,14.45,10.42,13.71,38200,13.71
2011-09-01,15.43,15.48,11.35,11.57,75000,11.57
2011-08-01,13.14,15.90,9.85,15.17,135000,15.17
2011-07-01,13.53,15.48,12.20,12.69,184000,12.69
2011-06-01,10.55,13.50,9.13,13.30,137100,13.30
2011-05-02,16.780001,18.700001,10.28,10.63,193600,10.63
2011-04-01,16.52,19.190001,16.16,16.76,64300,16.76
2011-03-01,21.01,21.620001,15.50,16.52,137200,16.52
2011-02-01,23.450001,24.49,20.83,21.280001,64300,21.280001
2011-01-03,23.25,25.540001,21.50,23.40,118000,23.40
2010-12-01,22.43,27.879999,21.299999,23.00,157600,23.00
2010-11-01,30.00,31.610001,21.629999,21.969999,221000,21.969999
2010-10-01,29.49,36.450001,25.10,29.379999,309700,29.379999
2010-09-28,25.00,30.75,22.65,28.59,3127500,28.59
