Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,42.50,42.50,42.50,42.50,000,39.608715
2013-03-01,43.00,43.950001,42.049999,42.50,200,39.608715
2013-02-01,42.25,43.029999,41.310001,43.00,1200,39.702244
2013-01-02,42.110001,42.59,41.200001,42.25,100,39.009762
2012-12-03,42.060001,42.18,41.330002,42.110001,000,38.880497
2012-11-01,40.00,42.610001,39.029999,41.48,300,37.928825
2012-10-01,39.810001,41.150002,39.349998,40.00,200,36.575531
2012-09-04,40.509998,42.00,39.759998,39.779999,10600,36.001926
2012-08-01,40.630001,41.50,40.110001,40.50,9200,36.653545
2012-07-02,39.900002,42.099998,36.939999,40.630001,12100,36.771202
2012-06-01,39.240002,39.900002,38.099998,39.900002,000,36.110531
2012-05-01,39.080002,39.43,36.810001,39.279999,2800,35.18679
2012-04-02,39.970001,39.970001,37.779999,38.25,000,34.264126
2012-03-01,39.02,39.970001,37.919998,39.970001,100,35.41917
2012-02-01,38.389999,40.00,37.650002,39.009998,12800,34.56847
2012-01-03,37.84,39.990002,35.209999,38.389999,1500,34.019058
2011-12-01,37.77,38.25,36.220001,37.84,000,33.164818
2011-11-01,38.09,39.330002,37.77,37.77,100,33.103466
2011-10-03,38.009998,39.040001,36.889999,38.029999,600,33.331341
2011-09-01,37.00,38.080002,36.459999,38.009998,100,32.966152
2011-08-01,35.509998,37.290001,35.00,37.00,600,32.090179
2011-07-01,36.490002,36.490002,35.00,35.509998,000,30.797897
2011-06-01,34.50,36.75,34.50,36.25,1400,31.08671
2011-05-02,33.25,34.00,32.200001,34.00,100,29.157188
2011-04-01,33.75,34.900002,33.240002,33.25,100,28.514015
2011-03-01,34.259998,34.400002,33.25,33.75,000,28.593769
2011-02-01,34.50,38.00,34.259998,34.259998,900,29.025852
2011-01-03,34.400002,46.799999,33.509998,34.50,300,29.229187
2010-12-01,34.00,35.049999,33.00,34.400002,100,28.807482
2010-11-01,33.75,35.25,33.049999,34.00,100,28.472511
2010-10-01,33.50,34.799999,33.25,33.75,100,28.263153
2010-09-01,35.50,35.50,33.50,33.50,000,27.722845
2010-08-02,34.490002,35.75,32.00,34.599998,400,28.633146
2010-07-01,30.049999,34.00,30.049999,33.50,200,27.722845
2010-06-01,28.780001,31.469999,27.75,29.50,600,24.096222
2010-05-03,30.00,31.00,28.25,29.50,18200,24.096222
2010-04-01,30.00,30.719999,29.49,30.00,500,24.504633
2010-03-01,30.00,32.66,28.60,30.00,2200,24.167694
2010-02-01,30.799999,30.92,29.309999,29.98,500,24.151581
2010-01-04,34.00,35.00,24.65,30.799999,5000,24.812164
2009-12-01,32.00,33.779999,31.60,33.779999,200,27.212822
2009-11-02,31.00,35.740002,30.200001,32.00,500,25.461716
2009-10-01,31.719999,32.50,30.00,31.00,1000,24.666037
2009-09-01,31.00,33.119999,31.00,31.719999,000,24.920794
2009-08-03,27.59,31.50,27.59,31.00,100,24.355127
2009-07-01,24.00,27.59,23.85,27.59,200,21.676064
2009-06-01,23.91,24.51,23.00,24.00,200,18.54567
2009-05-01,25.90,25.90,22.50,24.200001,1200,18.700218
2009-04-01,19.60,27.00,19.40,25.50,500,19.704775
2009-03-02,23.00,23.00,17.00,19.60,600,14.848777
2009-02-02,25.10,25.10,20.299999,23.40,100,17.727621
2009-01-02,34.150002,34.150002,24.610001,25.200001,1200,19.091286
2008-12-01,27.00,34.50,24.00,34.25,27400,25.585508
2008-11-03,33.150002,33.25,21.639999,27.50,70200,20.54311
2008-10-01,37.50,37.50,31.58,33.150002,1900,24.763786
2008-09-02,37.419998,37.50,36.50,37.50,000,27.697777
2008-08-01,36.119999,37.419998,36.119999,37.419998,000,27.638687
2008-07-01,34.50,36.119999,33.650002,36.119999,100,26.678499
2008-06-02,34.950001,35.00,34.25,34.50,100,25.481956
2008-05-01,37.50,37.740002,34.50,34.950001,6300,25.518877
2008-04-01,34.00,37.25,30.32,37.25,117300,27.198231
2008-03-03,34.00,34.75,32.349998,34.25,140000,25.007771
2008-02-01,37.200001,37.200001,33.75,34.150002,16700,24.934755
