Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,32.619999,33.240002,32.619999,33.09,87600,29.203243
2013-03-01,33.82,34.509998,32.349998,32.77,22900,28.92083
2013-02-01,35.669998,36.099998,33.599998,34.099998,25900,30.094606
2013-01-02,34.369999,35.970001,34.029999,35.419998,32200,31.259558
2012-12-03,31.959999,34.32,31.77,33.919998,63300,29.935749
2012-11-01,32.93,33.060001,30.27,31.57,89900,26.977009
2012-10-01,33.830002,34.490002,32.669998,32.98,13900,28.181873
2012-09-04,31.75,35.380001,31.52,33.389999,39500,28.532225
2012-08-01,31.27,32.360001,30.459999,31.68,31100,27.071005
2012-07-02,30.52,31.299999,29.299999,31.09,20800,26.566843
2012-06-01,27.360001,30.24,27.00,30.23,18500,25.831959
2012-05-01,33.50,33.77,27.40,27.85,22500,23.798218
2012-04-02,34.84,35.799999,32.630001,33.610001,22000,28.720219
2012-03-01,35.490002,35.82,33.950001,35.02,22500,29.925083
2012-02-01,33.189999,35.52,32.110001,35.299999,22700,30.164347
2012-01-03,28.809999,32.849998,28.75,32.84,20200,28.062243
2011-12-01,33.650002,35.00,27.84,28.549999,31400,24.396376
2011-11-01,33.310001,34.939999,30.620001,33.93,17800,26.68272
2011-10-03,30.200001,36.209999,28.08,34.470001,29000,27.10738
2011-09-01,37.060001,37.419998,29.950001,30.440001,46600,23.938168
2011-08-01,43.310001,43.310001,33.02,37.23,94200,29.277857
2011-07-01,43.619999,44.599998,42.16,42.599998,19500,33.500851
2011-06-01,43.57,44.75,41.470001,43.439999,26000,34.16143
2011-05-02,47.330002,47.369999,40.93,44.00,32100,34.601818
2011-04-01,45.990002,47.93,44.34,47.110001,20400,37.047539
2011-03-01,42.939999,45.330002,41.150002,45.299999,25800,35.624146
2011-02-01,42.959999,44.099998,41.34,42.860001,24000,33.705318
2011-01-03,42.009998,44.119999,41.290001,42.450001,22000,33.382893
2010-12-01,39.16,42.25,39.16,41.84,16700,32.903183
2010-11-01,40.310001,42.41,37.77,38.560001,24400,30.130968
2010-10-01,37.619999,41.00,37.619999,39.720001,19300,31.037397
2010-09-01,34.349998,37.450001,34.32,37.369999,19200,29.201094
2010-08-02,35.630001,36.599998,33.130001,33.880001,22600,26.473993
2010-07-01,31.49,35.880001,30.83,35.189999,31700,27.497631
2010-06-01,30.950001,33.450001,29.860001,31.530001,42900,24.637691
2010-05-03,36.549999,36.889999,28.43,31.23,89200,24.403269
2010-04-01,36.23,38.93,36.23,36.349998,50500,28.40406
2010-03-01,32.279999,35.919998,32.279999,35.779999,46600,27.95866
2010-02-01,33.810001,35.349998,31.02,32.049999,65500,25.044022
2010-01-04,33.77,37.220001,33.41,33.52,82500,26.192686
2009-12-01,33.139999,33.77,32.00,32.990002,52800,25.778543
2009-11-02,31.610001,35.290001,31.299999,32.540001,47700,24.935434
2009-10-01,32.220001,35.549999,28.940001,31.700001,72600,24.291742
2009-09-01,28.33,33.099998,27.540001,32.48,53900,24.889456
2009-08-03,27.09,29.200001,25.299999,28.389999,56500,21.755283
2009-07-01,22.40,26.68,20.379999,26.40,48900,20.230345
2009-06-01,25.84,27.50,20.209999,22.33,71100,17.111502
2009-05-01,19.85,25.50,19.799999,25.26,98500,19.356762
2009-04-01,15.22,19.639999,15.16,19.50,122300,14.942869
2009-03-02,12.16,16.540001,11.82,15.29,114400,11.716742
2009-02-02,13.88,15.59,11.90,12.72,77400,9.747349
2009-01-02,16.299999,19.139999,13.87,14.48,67800,11.096038
2008-12-01,15.33,16.719999,14.34,16.43,91700,12.590325
2008-11-03,19.35,22.620001,13.12,15.99,94900,12.199512
2008-10-01,30.469999,30.50,13.31,19.00,124100,14.49598
2008-09-02,41.220001,41.73,27.440001,30.690001,137600,23.414824
2008-08-01,48.130001,48.25,38.849998,41.139999,100600,31.387611
2008-07-01,51.700001,52.150002,43.91,48.77,67100,37.208893
2008-06-02,57.959999,57.959999,52.310001,52.709999,35500,40.214901
2008-05-01,50.459999,59.610001,50.27,58.07,62600,44.304291
2008-04-01,47.709999,51.450001,47.50,50.549999,46900,38.566936
2008-03-03,47.950001,50.00,45.369999,47.419998,73500,36.178913
2008-02-01,48.77,52.450001,46.57,48.18,82700,36.758755
2008-01-02,58.299999,58.990002,41.099998,48.349998,104400,36.888454
2007-12-03,63.00,69.099998,54.50,58.02,90400,44.266144
2007-11-01,62.82,64.970001,58.34,62.57,89600,40.092834
2007-10-01,56.25,64.199997,55.77,64.199997,65200,41.137283
2007-09-04,51.950001,56.700001,50.02,56.009998,88800,35.889397
2007-08-01,54.34,55.599998,46.049999,51.950001,74700,33.287884
2007-07-02,51.98,57.080002,51.98,55.549999,85400,35.594646
2007-06-01,51.00,52.00,48.560001,51.709999,69000,33.134098
2007-05-01,51.25,52.549999,48.00,50.169998,86700,32.147312
2007-04-02,50.41,54.400002,50.220001,51.220001,71300,32.820122
2007-03-01,46.25,51.400002,43.93,50.349998,89600,32.262653
2007-02-01,51.099998,52.25,45.009998,48.139999,100300,30.846556
2007-01-03,54.049999,54.400002,46.799999,50.439999,121600,32.32032
2006-12-01,53.939999,57.490002,50.689999,53.799999,110800,34.473301
2006-11-01,50.200001,53.900002,49.00,53.610001,61200,31.033112
2006-10-02,45.990002,50.900002,44.75,49.939999,48800,28.908667
2006-09-01,49.049999,49.349998,42.259998,46.349998,90600,26.83053
2006-08-01,47.099998,50.799999,46.849998,49.110001,77200,28.428207
2006-07-03,46.970001,48.849998,43.099998,47.82,106500,27.681467
2006-06-01,46.779999,49.900002,35.27,45.970001,208600,26.610561
2006-05-01,53.599998,59.900002,43.00,46.950001,222500,27.177853
2006-04-03,49.099998,53.77,48.52,53.25,105000,30.82472
2006-03-01,51.50,53.990002,45.00,48.630001,145600,28.150351
2006-02-01,47.099998,54.279999,45.380001,51.990002,143100,30.095346
2006-01-03,42.799999,48.50,42.560001,46.400002,215200,26.859474
2005-12-01,43.360001,46.599998,42.099998,42.459999,84300,24.578733
2005-11-01,45.50,47.00,40.110001,43.299999,82400,24.886757
2005-10-03,49.23,54.950001,38.34,44.889999,197300,25.800613
2005-09-01,37.50,49.75,37.50,49.099998,99600,28.220318
2005-08-01,34.98,36.799999,34.360001,36.779999,51500,21.139374
2005-07-01,31.030001,35.00,31.030001,34.919998,44500,20.070335
2005-06-01,28.25,32.450001,28.200001,30.700001,32100,17.644884
2005-05-02,27.52,28.49,26.59,28.299999,24600,16.265478
2005-04-01,30.50,33.049999,27.33,27.65,38200,15.891891
2005-03-01,34.279999,36.220001,28.50,30.219999,77100,17.369003
2005-02-01,29.00,34.279999,28.799999,34.279999,56800,19.702496
2005-01-03,28.450001,28.90,26.190001,28.700001,30500,16.49538
2004-12-01,26.40,28.219999,23.75,28.00,46700,16.093054
2004-11-01,25.00,27.82,24.93,26.459999,33000,15.108075
2004-10-01,23.65,25.639999,23.65,24.99,22300,14.268738
2004-09-01,21.85,23.75,21.75,23.620001,16900,13.486499
2004-08-02,20.48,21.84,20.08,21.84,17700,12.470158
2004-07-01,21.110001,21.76,19.200001,20.33,21600,11.607981
2004-06-01,20.23,21.84,19.440001,21.389999,21900,12.213218
2004-05-03,21.00,22.25,18.35,20.309999,40600,11.596561
2004-04-01,24.49,24.98,20.799999,21.10,57500,12.047634
2004-03-01,23.49,24.60,22.76,24.50,100100,13.988959
2004-02-02,23.40,25.24,22.299999,23.25,51100,13.275237
2004-01-02,23.10,25.85,22.719999,23.290001,30400,13.298077
2003-12-01,20.00,23.110001,19.950001,22.959999,17200,13.109653
2003-11-03,21.50,22.450001,19.620001,20.610001,26700,11.651656
2003-10-01,20.40,23.68,19.49,21.25,43500,12.013474
2003-09-02,19.74,20.65,19.200001,20.35,28400,11.504667
2003-08-01,17.639999,19.639999,17.219999,19.450001,20500,10.995862
2003-07-01,16.549999,17.66,16.40,17.610001,17500,9.955636
2003-06-02,16.809999,16.90,16.35,16.549999,25300,9.356376
2003-05-01,15.00,16.709999,14.94,16.700001,24700,9.441177
2003-04-01,13.19,15.00,13.16,14.80,12800,8.367031
2003-03-03,13.80,13.92,13.25,13.25,10600,7.490754
2003-02-03,14.28,14.33,13.53,13.80,9100,7.801691
2003-01-02,14.45,15.11,13.92,14.19,10800,8.022173
2002-12-02,14.85,14.85,14.26,14.50,7100,8.197429
2002-11-01,13.17,14.75,13.17,14.75,6300,8.338764
2002-10-01,12.25,13.39,11.67,13.25,6600,7.490754
2002-09-03,12.90,12.90,12.20,12.50,6000,7.066749
2002-08-01,12.21,13.31,11.80,12.85,8000,7.264618
2002-07-01,13.75,13.80,11.60,12.14,9700,6.863227
2002-06-03,14.89,15.17,13.34,13.79,14200,7.796038
2002-05-01,14.72,15.38,14.50,14.99,14500,8.474445
2002-04-01,13.27,14.90,13.27,14.64,8300,8.276577
2002-03-01,12.74,13.81,12.70,13.27,11300,7.502061
2002-02-01,13.00,13.00,12.40,12.65,13200,7.15155
2002-01-02,11.70,13.39,11.55,12.80,13300,7.236351
2001-12-03,11.45,11.80,11.30,11.59,10500,6.55229
2001-11-01,11.15,11.85,10.81,11.49,12000,6.495756
2001-10-01,9.31,11.25,9.23,10.95,12700,6.067199
2001-09-04,10.09,10.25,8.80,9.40,14100,5.208372
2001-08-01,10.54,11.05,10.03,10.04,11400,5.562984
2001-07-02,11.46,11.46,9.85,10.50,16400,5.817862
2001-06-01,12.50,12.65,11.27,11.48,19200,6.360862
2001-05-01,12.13,12.75,11.80,12.50,29400,6.926026
2001-04-02,11.16,12.34,10.70,12.13,15400,6.721016
2001-03-01,12.85,13.30,11.05,11.26,12800,6.238965
2001-02-01,14.31,14.55,12.52,12.82,44800,7.103333
2001-01-02,13.00,14.375,12.8125,14.29,31400,7.917833
2000-12-01,11.1875,12.9375,11.0625,12.875,28500,7.133807
2000-11-01,11.875,12.50,11.1875,11.25,28600,6.233424
2000-10-02,12.75,12.8125,11.25,11.875,17400,6.579725
2000-09-01,14.0625,14.1875,12.6875,12.75,12900,7.064547
2000-08-01,14.50,14.50,13.6875,13.9375,13600,7.722519
2000-07-03,14.6875,15.00,14.25,14.50,12500,8.03419
2000-06-01,14.3125,15.25,14.3125,14.75,27500,8.172711
2000-05-01,15.00,15.00,13.125,14.1875,17300,7.86104
2000-04-03,16.9375,17.00,14.4375,15.00,14900,8.311232
2000-03-01,16.875,17.75,16.75,17.1875,30300,9.523286
2000-02-01,15.625,17.4375,15.50,16.875,25900,9.350136
2000-01-03,14.75,16.875,14.125,15.6875,58200,8.692163
