Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,20.85,20.85,19.85,20.059999,591200,19.886967
2013-03-01,19.75,21.99,19.25,20.860001,209700,20.680067
2013-02-01,19.959999,21.360001,19.549999,19.93,166500,19.758087
2013-01-02,18.48,21.74,17.91,19.809999,228000,19.639122
2012-12-03,17.42,18.10,16.360001,18.07,121700,17.894304
2012-11-01,17.00,17.77,15.52,17.280001,159000,17.111986
2012-10-01,16.059999,17.280001,14.69,17.10,210500,16.933737
2012-09-04,16.450001,18.08,15.60,16.07,197900,15.892756
2012-08-01,15.66,16.75,14.51,16.51,162400,16.327904
2012-07-02,16.459999,16.83,13.51,14.93,196500,14.76533
2012-06-01,15.63,17.190001,14.84,16.379999,223500,16.17915
2012-05-01,15.63,16.40,14.55,16.110001,144800,15.912462
2012-04-02,15.48,16.40,14.31,15.63,166400,15.438347
2012-03-01,14.83,16.50,14.32,15.55,125900,15.339573
2012-02-01,15.09,15.71,14.45,14.76,144100,14.560264
2012-01-03,12.04,15.47,11.75,14.95,149700,14.747692
2011-12-01,10.63,12.06,10.39,11.81,135200,11.650185
2011-11-01,10.60,11.39,9.25,10.69,154800,10.527496
2011-10-03,8.78,11.82,8.18,11.01,230500,10.842633
2011-09-01,11.67,11.84,8.27,8.88,251200,8.745011
2011-08-01,13.81,14.05,9.90,11.72,225800,11.517592
2011-07-01,13.99,15.05,13.22,13.68,187000,13.443742
2011-06-01,13.99,14.21,12.37,13.96,133000,13.718906
2011-05-02,14.81,15.22,13.83,14.00,149200,13.758215
2011-04-01,16.379999,16.799999,14.71,14.77,111400,14.514917
2011-03-01,14.82,16.299999,14.00,16.24,103000,15.95953
2011-02-01,14.78,16.110001,14.06,14.61,117000,14.35768
2011-01-03,14.97,16.49,14.15,14.65,154900,14.396989
2010-12-01,13.77,16.02,13.76,14.79,107300,14.534572
2010-11-01,13.12,14.30,12.84,13.47,104700,13.237369
2010-10-01,13.90,14.35,12.55,12.97,169100,12.746004
2010-09-01,11.96,14.42,11.96,13.81,189600,13.571497
2010-08-02,15.92,16.030001,10.72,11.71,220500,11.507765
2010-07-01,14.14,16.799999,13.42,15.64,147900,15.369892
2010-06-01,13.63,15.26,12.54,14.14,181500,13.895798
2010-05-03,15.04,15.65,12.75,13.62,246400,13.384778
2010-04-01,14.02,15.99,13.65,14.93,161800,14.672154
2010-03-01,12.34,14.38,12.14,13.94,177100,13.699251
2010-02-01,9.86,12.60,9.50,12.22,135100,12.008957
2010-01-04,11.05,11.21,9.67,9.82,110500,9.650405
2009-12-01,9.72,10.97,9.29,10.85,124400,10.662618
2009-11-02,9.82,10.50,8.60,9.57,115700,9.404722
2009-10-01,11.24,12.20,9.44,9.76,154900,9.591442
2009-09-01,9.68,12.49,9.65,11.31,148000,11.114673
2009-08-03,9.38,10.35,8.03,9.79,155300,9.620923
2009-07-01,8.50,9.74,7.65,9.25,143200,9.090249
2009-06-01,7.50,9.64,7.49,8.39,203900,8.245102
2009-05-01,6.85,8.29,6.61,7.59,118800,7.458919
2009-04-01,5.44,7.46,5.14,6.84,155500,6.721871
2009-03-02,5.64,6.57,4.40,5.55,107100,5.45415
2009-02-02,7.73,9.14,5.55,5.75,95900,5.650696
2009-01-02,8.54,9.58,6.63,7.82,146200,7.684946
2008-12-01,7.48,8.67,5.13,8.53,181400,8.382684
2008-11-03,10.67,11.77,4.85,7.71,163600,7.576846
2008-10-01,11.25,11.70,7.58,10.69,260000,10.50538
2008-09-02,13.27,15.25,10.96,11.47,272000,11.27191
2008-08-01,13.34,14.95,11.70,12.87,215500,12.647731
2008-07-01,9.90,13.69,9.25,13.23,190900,13.001513
2008-06-02,11.32,11.68,9.54,9.99,178700,9.81747
2008-05-01,10.27,11.50,10.08,11.40,164400,11.203118
2008-04-01,9.80,11.32,9.15,10.29,148300,10.112288
2008-03-03,9.00,10.19,8.49,9.68,175100,9.512823
2008-02-01,9.63,11.61,8.99,9.00,221400,8.844567
2008-01-02,9.15,10.10,7.13,9.54,329500,9.375241
2007-12-03,7.78,9.56,7.48,9.16,374300,9.001803
2007-11-01,7.92,8.04,6.50,7.80,445300,7.665292
2007-10-01,11.20,11.45,7.80,8.00,507900,7.861837
2007-09-04,15.53,15.96,11.77,11.77,246000,11.566729
2007-08-01,15.10,18.219999,14.52,15.60,313200,15.330584
