Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,14.22,14.85,14.15,14.63,989600,9.246124
2013-03-01,17.60,18.00,13.07,13.98,446600,8.835325
2013-02-01,18.85,19.15,17.030001,17.530001,239600,11.078918
2013-01-02,16.799999,19.09,16.530001,18.799999,197700,11.464983
2012-12-03,18.66,18.799999,16.309999,16.540001,308100,10.086747
2012-11-01,20.40,20.67,16.23,18.66,216300,11.379606
2012-10-01,20.32,21.41,19.93,20.379999,117300,11.994977
2012-09-04,21.040001,22.10,19.60,20.23,242500,11.906693
2012-08-01,22.59,23.48,20.129999,21.10,228600,12.418745
2012-07-02,19.719999,22.879999,19.700001,22.33,234600,12.793355
2012-06-01,18.950001,20.50,18.25,19.690001,202400,11.28084
2012-05-01,24.34,25.309999,17.370001,19.48,565900,11.160526
2012-04-02,26.26,26.879999,22.549999,23.85,437000,13.202418
2012-03-01,27.950001,30.24,24.27,26.16,393300,14.481142
2012-02-01,24.75,28.50,24.530001,27.790001,532300,15.383447
2012-01-03,24.379999,24.99,20.780001,24.52,681200,13.199858
2011-12-01,19.950001,24.25,19.559999,24.040001,598800,12.94146
2011-11-11,19.00,19.950001,18.48,19.93,1178900,10.444386
