Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,20.889999,20.93,20.809999,20.93,127600,14.890893
2013-03-01,21.459999,21.93,20.51,21.01,77100,14.94781
2013-02-01,22.530001,22.82,21.049999,21.459999,93800,15.267966
2013-01-02,21.889999,22.90,21.59,22.469999,88100,15.986543
2012-12-03,22.52,24.25,20.60,21.41,184700,15.232394
2012-11-01,22.309999,22.85,22.01,22.58,52000,13.892465
2012-10-01,22.540001,22.77,21.809999,21.85,46600,13.443329
2012-09-04,21.110001,22.84,20.889999,22.290001,54600,13.714041
2012-08-01,21.77,22.200001,21.030001,21.309999,84600,13.11109
2012-07-02,21.84,22.43,20.959999,21.690001,114500,13.344888
2012-06-01,21.110001,21.93,20.690001,21.93,98600,13.492549
2012-05-01,22.93,23.01,20.92,21.459999,64800,13.203378
2012-04-02,23.280001,23.459999,22.49,22.84,139900,14.052431
2012-03-01,23.26,23.48,22.15,23.299999,103800,14.335448
2012-02-01,22.24,23.65,21.700001,23.17,90100,14.255466
2012-01-03,20.91,22.27,20.60,22.00,63500,13.535617
2011-12-01,25.190001,25.360001,19.75,20.51,118700,12.618886
2011-11-01,25.16,26.42,23.25,25.32,60200,13.570846
2011-10-03,22.780001,26.469999,21.58,25.879999,86900,13.870991
2011-09-01,28.00,28.10,22.639999,23.00,99100,12.327388
2011-08-01,30.27,30.280001,25.50,28.17,138400,15.09837
2011-07-01,31.00,31.50,29.60,30.02,68200,16.08992
2011-06-01,30.559999,31.27,28.540001,31.25,102800,16.749168
2011-05-02,32.07,32.240002,29.950001,30.67,79400,16.438303
2011-04-01,31.68,32.779999,31.549999,32.099998,39200,17.204744
2011-03-01,30.77,32.09,29.57,31.48,62600,16.872442
2011-02-01,31.290001,32.150002,30.10,30.83,94100,16.524059
2011-01-03,33.00,33.939999,29.780001,31.09,130300,16.663412
2010-12-01,33.34,34.98,29.83,32.50,120200,17.419134
2010-11-01,34.200001,35.330002,31.219999,32.939999,154000,16.399918
2010-10-01,33.16,34.939999,31.75,33.450001,210900,16.653835
2010-09-01,29.50,33.52,29.440001,32.900002,102700,16.380005
2010-08-02,28.75,30.459999,28.23,29.26,111200,14.567749
2010-07-01,26.02,28.379999,25.26,28.23,78300,14.054939
2010-06-01,25.940001,27.530001,24.66,26.15,82500,13.019365
2010-05-03,28.49,28.67,24.049999,26.629999,172200,13.258344
2010-04-01,28.190001,29.40,28.10,28.540001,73900,14.209281
2010-03-01,27.01,28.389999,26.870001,27.91,87700,13.89562
2010-02-01,26.889999,27.719999,25.049999,26.83,76900,13.357919
2010-01-04,28.48,30.25,26.00,26.52,157100,13.203578
2009-12-01,26.870001,28.360001,26.870001,28.219999,60300,14.049961
2009-11-02,25.780001,28.82,25.07,26.559999,151000,13.12314
2009-10-01,23.870001,26.99,23.459999,25.25,101000,12.475877
2009-09-01,22.02,24.41,22.00,24.15,83600,11.932373
2009-08-03,23.24,23.65,21.40,22.01,98300,10.875012
2009-07-01,21.10,23.290001,20.23,22.90,116800,11.314755
2009-06-01,22.629999,22.73,18.60,20.98,134600,10.366095
2009-05-01,17.83,22.18,17.690001,21.799999,147400,10.771252
2009-04-01,15.29,18.040001,15.29,17.65,145800,8.720761
2009-03-02,14.10,16.34,13.90,15.61,218800,7.712809
2009-02-02,14.50,16.459999,14.06,14.40,248400,7.114955
2009-01-02,16.799999,17.60,14.58,14.65,146600,7.238479
2008-12-01,19.00,22.450001,14.32,16.540001,185800,8.172318
2008-11-03,20.01,22.75,17.190001,19.110001,125200,6.922647
2008-10-01,25.940001,27.389999,17.60,19.870001,147100,7.197959
2008-09-02,28.41,29.950001,23.620001,26.65,173700,9.654032
2008-08-01,30.190001,30.959999,27.00,28.799999,80600,10.432875
2008-07-01,30.00,32.110001,28.459999,30.07,93700,10.892936
2008-06-02,35.060001,35.220001,30.17,30.52,81500,11.055949
2008-05-01,35.209999,36.66,34.169998,35.150002,79800,12.733179
2008-04-01,31.950001,36.470001,31.780001,35.060001,130700,12.700577
2008-03-03,32.740002,34.400002,28.879999,31.799999,135800,11.519632
2008-02-01,32.43,35.189999,31.60,32.900002,127600,11.918111
2008-01-02,38.299999,39.00,30.02,32.23,148100,11.675401
2007-12-03,48.029999,51.50,34.689999,38.02,120300,13.772843
2007-11-01,50.75,51.00,42.900002,47.91,124400,12.820185
2007-10-01,50.50,52.970001,46.25,51.669998,145000,13.826319
2007-09-04,44.099998,51.00,43.799999,49.220001,134600,13.170727
2007-08-01,42.50,45.200001,34.75,43.990002,134900,11.771236
2007-07-02,37.75,45.700001,37.75,43.830002,93500,11.728422
2007-06-01,36.209999,40.400002,35.580002,38.25,137100,10.235276
2007-05-01,34.130001,36.869999,33.799999,36.02,160700,9.638553
2007-04-02,32.599998,35.389999,32.549999,33.799999,78800,9.044505
2007-03-01,30.719999,32.810001,28.530001,32.16,101900,8.605659
2007-02-01,32.439999,33.849998,29.559999,32.50,186300,8.69664
2007-01-03,35.00,36.00,31.01,32.189999,160600,8.613687
2006-12-01,32.450001,36.00,30.24,34.18,157100,9.146189
2006-11-01,30.549999,32.389999,29.75,32.080002,76400,7.619547
2006-10-02,29.10,31.00,28.60,30.40,49600,7.220518
2006-09-01,28.799999,29.59,27.370001,29.07,63200,6.90462
2006-08-01,28.77,30.42,28.26,28.700001,35300,6.816739
2006-07-03,29.700001,29.700001,26.82,29.16,60300,6.925996
2006-06-01,30.51,31.690001,24.620001,28.85,108500,6.852366
2006-05-01,33.299999,37.75,29.01,30.60,152700,7.268021
2006-04-03,28.719999,33.900002,28.66,33.400002,116200,7.933069
2006-03-01,29.309999,29.879999,26.549999,28.469999,62000,6.76211
2006-02-01,29.35,31.139999,28.00,29.48,88600,7.002002
2006-01-03,23.299999,30.75,23.299999,29.200001,246700,6.935497
2005-12-01,24.879999,26.58,22.50,23.18,104200,5.505645
2005-11-01,24.799999,25.00,23.799999,24.780001,46100,5.313726
2005-10-03,25.959999,26.200001,22.889999,24.549999,62700,5.264405
2005-09-01,25.23,25.99,24.91,25.959999,63000,5.56676
2005-08-01,27.549999,27.75,24.40,25.200001,95100,5.403789
2005-07-01,28.40,29.139999,26.52,27.75,69000,5.950601
2005-06-01,29.35,30.65,28.00,28.40,43400,6.089984
2005-05-02,27.66,30.50,27.40,29.299999,28400,6.282977
2005-04-01,30.25,30.700001,26.450001,27.50,44100,5.896992
2005-03-01,33.349998,33.75,29.75,30.16,42700,6.467392
2005-02-01,31.43,33.75,31.02,33.34,49200,7.149299
2005-01-03,32.52,33.299999,29.60,31.280001,52900,6.707561
2004-12-01,33.650002,35.25,31.40,32.720001,67100,7.016348
