Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,13.46,13.48,13.26,13.29,603600,12.649265
2013-03-01,14.31,14.74,13.38,13.48,700200,12.830105
2013-02-01,16.17,16.25,14.09,14.57,777400,13.867555
2013-01-02,16.530001,17.440001,15.55,15.99,793800,15.219094
2012-12-03,15.37,16.299999,15.29,16.290001,513700,15.504631
2012-11-01,16.49,16.530001,14.29,15.53,753500,14.781271
2012-10-01,16.360001,17.68,16.02,16.09,678100,15.314273
2012-09-04,15.84,17.58,15.72,16.309999,652900,15.523665
2012-08-01,14.63,17.309999,14.52,15.86,991700,15.095362
2012-07-02,12.58,15.09,12.16,14.61,973300,13.905626
2012-06-01,13.58,14.31,12.17,12.55,1205400,11.944942
2012-05-01,17.459999,17.74,13.69,13.74,1119200,13.07757
2012-04-02,16.60,17.82,16.24,17.379999,1110600,16.357115
2012-03-01,17.860001,18.540001,16.26,16.790001,1418200,15.80184
2012-02-01,18.700001,18.950001,17.440001,17.85,1022400,16.799454
2012-01-03,21.450001,21.68,18.08,18.469999,1034700,17.382963
2011-12-01,21.469999,21.74,19.940001,21.129999,712200,19.886412
2011-11-01,19.76,21.74,19.709999,21.57,1259600,20.300516
2011-10-03,19.719999,20.950001,18.549999,20.110001,1796600,18.926443
2011-09-01,20.959999,22.50,20.030001,20.40,1682200,19.199375
2011-08-01,20.26,21.27,17.17,21.15,2993600,19.905233
2011-07-01,20.290001,20.610001,19.190001,20.02,1580000,18.84174
2011-06-01,21.969999,22.030001,19.17,20.27,2152000,19.077026
2011-05-02,20.559999,22.120001,19.360001,22.08,2305800,20.7805
2011-04-01,17.15,20.629999,17.129999,20.459999,2020600,19.137495
2011-03-01,17.059999,17.43,15.30,16.60,1964200,15.527001
2011-02-01,16.530001,17.60,15.80,16.690001,1656500,15.611184
2011-01-03,14.44,16.65,13.97,16.459999,1979300,15.396049
2010-12-01,13.63,15.03,13.40,14.25,1271600,13.328901
2010-11-01,14.03,14.63,13.17,13.44,1390800,12.571259
2010-10-01,14.69,15.08,13.87,14.00,1714000,13.095061
2010-09-01,14.00,15.68,13.99,14.56,1991100,13.618864
2010-08-02,13.81,14.09,12.90,13.86,1696100,12.96411
2010-07-01,13.32,13.90,12.53,13.64,2299300,12.758331
2010-06-01,12.09,13.80,11.30,13.30,2423500,12.440309
2010-05-03,12.48,12.58,10.91,12.13,2516600,11.345935
2010-04-01,11.32,12.58,11.04,12.43,3078900,11.410107
2010-03-01,12.56,12.74,10.93,11.15,2880600,10.235131
2010-02-01,11.00,12.21,10.34,12.17,3521400,11.17144
2010-01-04,13.23,13.46,10.93,11.20,2829500,10.281029
2009-12-01,13.52,13.66,12.40,13.11,1659900,12.034311
2009-11-02,12.85,14.43,12.39,13.45,2408700,12.346415
2009-10-01,14.26,14.53,12.60,12.65,2620700,11.612055
2009-09-01,13.92,15.40,13.33,14.24,2711000,13.071594
2009-08-03,14.68,15.95,13.51,14.00,3581900,12.851286
2009-07-01,13.51,15.17,12.60,14.38,2532000,13.200107
2009-06-01,13.13,15.75,12.87,13.34,3743400,12.24544
2009-05-01,11.57,12.89,10.94,12.35,1795800,11.115376
2009-04-01,9.65,11.63,9.58,11.57,2266600,10.413351
2009-03-02,8.93,11.40,8.74,10.41,2527500,9.369316
2009-02-02,8.92,10.28,8.65,8.87,1622200,7.983269
2009-01-02,12.98,14.18,8.56,9.19,2252200,8.271278
2008-12-01,11.85,13.99,10.64,12.20,2010300,10.980371
2008-11-03,13.35,14.47,10.15,12.35,2549000,11.115376
2008-10-01,15.00,15.95,10.93,14.30,3293500,12.870435
2008-09-02,15.99,16.98,12.51,15.12,2179900,13.608459
2008-08-01,20.91,21.02,15.77,15.88,1156800,14.292482
