Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,62.310001,63.419998,61.880001,62.91,5111000,62.857552
2013-03-01,58.259998,63.189999,57.529999,62.369999,1949900,62.318001
2013-02-01,58.639999,62.220001,55.970001,58.459999,2178400,58.37162
2013-01-02,54.099998,59.139999,53.91,58.34,2060400,58.251804
2012-12-03,52.419998,54.529999,51.34,53.459999,1785900,53.379181
2012-11-01,51.549999,53.75,49.34,52.27,2868600,52.190983
2012-10-01,47.349998,51.00,47.290001,51.00,2482700,50.922901
2012-09-04,45.740002,47.919998,45.16,47.169998,2173700,47.09869
2012-08-01,40.529999,46.220001,40.00,45.77,2437900,45.700806
2012-07-02,44.299999,44.48,39.009998,40.279999,3346100,40.219105
2012-06-01,43.32,46.419998,42.139999,44.00,3199900,43.933483
2012-05-01,46.139999,46.93,42.700001,43.91,2369600,43.84362
2012-04-02,49.02,49.630001,45.720001,46.23,3202800,46.16011
2012-03-01,44.23,49.889999,43.060001,49.25,3457800,49.175545
2012-02-01,45.00,46.029999,41.139999,44.110001,4423600,44.002892
2012-01-03,42.82,47.50,42.720001,44.830002,3452200,44.721146
2011-12-01,43.810001,44.470001,40.849998,42.00,2649000,41.898014
2011-11-01,42.900002,44.560001,40.560001,44.23,4140400,44.122601
2011-10-03,41.380001,47.619999,38.790001,44.34,3710100,44.232334
2011-09-01,46.799999,47.82,41.23,41.939999,3227800,41.838158
2011-08-01,50.299999,50.389999,40.240002,46.740002,4504000,46.626507
2011-07-01,51.490002,52.950001,48.279999,49.77,2564400,49.649147
2011-06-01,49.869999,51.810001,47.779999,51.43,2953700,51.305115
2011-05-02,47.18,50.00,45.470001,49.889999,2942600,49.768856
2011-04-01,44.529999,47.189999,42.799999,46.830002,2555700,46.71629
2011-03-01,42.279999,44.290001,40.73,44.279999,2404700,44.172478
2011-02-01,42.18,44.00,41.060001,42.07,2272700,41.929226
2011-01-03,36.860001,42.669998,36.759998,42.02,3390200,41.879395
2010-12-01,37.23,38.349998,35.950001,36.66,2423600,36.537327
2010-11-01,35.32,38.549999,34.869999,36.810001,3180000,36.686829
2010-10-01,36.049999,36.759998,34.330002,35.16,2912500,35.042347
2010-09-01,32.68,36.040001,32.389999,35.779999,2564000,35.660271
2010-08-02,31.280001,35.00,30.99,32.220001,3027600,32.112186
2010-07-01,30.98,32.049999,29.120001,30.76,3767300,30.65707
2010-06-01,33.07,35.939999,30.950001,31.059999,3463300,30.956066
2010-05-03,32.389999,34.599998,30.780001,33.470001,4858700,33.358006
2010-04-01,36.639999,37.610001,32.00,32.060001,4918400,31.952723
2010-03-01,34.580002,38.009998,33.450001,36.580002,3598300,36.457596
2010-02-01,33.689999,35.639999,32.00,34.259998,4289500,34.10611
2010-01-04,35.27,39.259998,33.709999,33.77,4494000,33.618313
2009-12-01,32.23,38.119999,31.940001,35.27,3552300,35.111576
2009-11-02,27.93,33.25,27.57,32.080002,3758100,31.935907
2009-10-01,27.940001,30.120001,26.83,27.84,4456600,27.714951
2009-09-01,29.42,33.00,27.450001,28.09,5440800,27.963827
2009-08-03,28.27,30.940001,26.49,29.43,4106600,29.297808
2009-07-01,23.879999,29.16,23.10,28.40,5602400,28.272434
2009-06-01,22.450001,25.60,19.85,24.09,5732300,23.981794
2009-05-01,19.75,24.629999,18.549999,22.17,5225400,22.070417
2009-04-01,17.200001,21.799999,16.84,19.709999,4547900,19.621468
2009-03-02,15.65,19.33,12.68,17.59,5961800,17.51099
2009-02-02,17.01,23.059999,15.58,15.76,7093700,15.642516
2009-01-02,16.91,18.82,14.01,17.360001,5036600,17.230589
2008-12-01,11.77,17.440001,11.01,16.85,4706100,16.72439
2008-11-03,16.41,19.34,8.00,12.11,7401400,12.019725
2008-10-01,34.200001,35.290001,9.82,16.299999,9647200,16.17849
2008-09-02,41.889999,43.48,31.690001,33.98,2714800,33.726692
2008-08-01,36.290001,44.139999,34.099998,41.880001,2719100,41.567802
2008-07-01,35.290001,38.00,32.82,37.02,3375800,36.744034
2008-06-02,40.50,42.43,35.07,35.389999,3263500,35.126183
2008-05-01,41.900002,42.93,38.549999,40.599998,2882700,40.297344
2008-04-01,41.00,44.50,39.400002,42.709999,2187800,42.391613
2008-03-03,44.439999,45.130001,36.75,40.57,3335100,40.267567
2008-02-01,49.66,50.200001,44.400002,44.580002,2215700,44.206764
2008-01-02,53.799999,56.98,47.939999,49.189999,2523200,48.778164
2007-12-03,53.880001,56.900002,52.380001,53.73,1944400,53.280155
2007-11-01,51.669998,54.419998,48.209999,53.610001,2393500,53.151546
2007-10-01,53.549999,54.970001,49.59,52.490002,1428600,52.041126
2007-09-04,51.950001,54.650002,50.919998,53.290001,1716800,52.834282
2007-08-01,48.77,52.119999,43.009998,51.68,2774900,51.22818
2007-07-02,52.220001,55.040001,50.16,51.639999,1959900,51.188526
2007-06-01,167.600006,172.839996,51.189999,52.220001,2384600,51.763458
2007-05-01,156.579987,169.400009,150.039978,167.630005,3135600,55.378036
2007-04-02,143.139984,156.699982,142.889999,155.589996,2797600,51.400513
2007-03-01,142.049988,147.330002,137.069992,142.659988,2985900,47.128971
2007-02-01,132.609985,146.700012,131.990005,142.50,3333700,47.067722
2007-01-03,132.830002,132.990005,126.999985,132.399994,2442000,43.731689
2006-12-01,126.050011,132.650009,124.119987,131.570007,1794500,43.457546
2006-11-01,124.98999,126.330002,115.809982,126.050011,3471000,41.626152
2006-10-02,116.330002,121.179993,110.720009,116.97998,2868700,38.630913
2006-09-01,114.099991,119.51001,110.729996,116.319992,3327900,38.41296
2006-08-01,91.250008,117.290009,91.050003,113.069992,4868200,37.331272
2006-07-03,99.309982,105.500015,91.070007,91.250008,5267100,30.127169
2006-06-01,93.18,99.999985,88.550011,98.51001,4839500,32.524136
2006-05-01,107.720009,108.230011,88.050003,92.73999,8235700,30.611027
2006-04-03,130.619995,133.130005,104.720009,107.000015,4121400,35.317886
2006-03-01,122.549995,133.770004,121.929993,130.619995,2603700,43.114223
2006-02-01,121.149994,125.000015,117.00,122.750015,3159600,40.508488
2006-01-03,111.890007,121.799995,109.580002,121.599991,3229600,40.128967
2005-12-01,113.399994,115.959991,108.099991,111.699989,2853600,36.861889
2005-11-01,114.999985,118.059982,105.00,112.52002,4262300,37.124294
2005-10-03,116.000015,119.819992,107.729996,115.869987,3643800,38.229565
2005-09-01,115.319992,118.23999,111.549988,117.860016,3206500,38.886147
2005-08-01,107.450012,117.440018,107.040001,115.319992,3057200,38.039886
2005-07-01,106.979996,110.930008,102.819992,106.749985,3019000,35.212952
2005-06-01,97.299988,109.449989,96.899994,107.030014,3259500,35.305321
2005-05-02,92.000008,99.099991,91.400009,97.250015,3478800,32.071281
2005-04-01,89.399994,92.850006,85.640015,91.979996,3187600,30.333326
2005-03-01,90.350014,92.73999,84.579994,89.300011,3233500,29.449516
2005-02-01,80.649986,91.479988,80.630013,90.800011,4055800,29.93564
2005-01-03,81.549988,83.529991,78.110016,80.25,3121200,26.457432
2004-12-01,72.600006,83.270012,72.600006,81.57,4065700,26.89262
2004-11-01,63.500008,71.889984,62.799992,70.020004,3988900,23.077251
2004-10-01,69.639984,72.779999,57.999992,63.459991,5628600,20.915197
2004-09-01,66.380013,70.400009,66.050011,69.629997,3079600,22.948713
2004-08-02,61.949997,66.699989,58.929989,66.560013,3037900,21.928864
2004-07-01,68.610001,68.900009,59.73999,62.010002,2687200,20.429817
2004-06-01,67.800003,69.950012,66.189987,68.810013,2636300,22.670149
2004-05-03,64.260002,67.979996,63.249992,67.800003,3520200,22.329201
2004-04-01,59.019989,70.539993,58.820011,64.509995,5024900,21.24567
2004-03-01,55.670006,59.46999,54.44001,59.019989,2607400,19.437597
2004-02-02,62.000008,63.959999,52.899986,55.430008,5795400,18.145445
2004-01-02,57.579994,62.409988,56.25,62.019989,3041800,20.302727
2003-12-01,53.939999,57.980011,53.669998,57.500008,2258600,18.823076
2003-11-03,57.090004,58.580009,52.029991,53.649986,3911000,17.460091
2003-10-01,44.720009,57.249992,44.099998,57.050011,5975600,18.566608
2003-09-02,47.400002,49.730011,43.749992,44.64999,3169900,14.531092
2003-08-01,44.550003,48.080009,43.539993,47.679989,3569300,15.412148
2003-07-01,46.94001,50.000008,39.999992,46.779991,6453800,15.121231
2003-06-02,56.25,57.410007,45.999992,46.94001,4659000,15.172956
2003-05-01,52.310013,56.489998,48.96999,56.100002,4129100,18.018764
2003-04-01,45.800011,52.80999,45.510002,52.299992,2976600,16.798239
2003-03-03,43.10001,46.389992,39.53001,45.720001,3373100,14.684811
2003-02-03,43.949997,44.42001,39.099991,42.96999,4816400,13.693094
2003-01-02,41.12001,46.689987,41.07,43.67001,3797800,13.916167
2002-12-02,43.89999,44.259991,40.80999,41.12001,2875900,13.103568
2002-11-01,36.150002,44.78001,34.14999,43.529999,4521900,13.76571
2002-10-01,71.499992,74.190002,34.700012,36.140011,11522300,11.428737
2002-09-03,84.899994,84.899994,69.200012,70.749992,3357600,22.373623
2002-08-01,90.00,90.00,77.399994,85.119987,2577000,26.804703
2002-07-01,97.50,98.399994,75.050011,90.00,3483200,28.341444
2002-06-03,106.059982,106.959991,94.850014,97.419998,2635000,30.678036
2002-05-01,109.599991,111.00,98.750015,106.049995,2460400,33.287937
2002-04-01,100.389984,110.049988,100.220009,108.999985,2580400,34.213909
2002-03-01,91.50,101.520004,90.75,101.390007,2379400,31.825218
2002-02-01,91.250008,97.200005,87.75,89.699997,3386200,28.059649
2002-01-02,92.499992,95.019989,87.989998,92.000008,1912900,28.779131
2001-12-03,90.200012,94.899986,88.400009,92.649986,1971100,28.982454
2001-11-01,72.899994,92.000008,69.860016,91.229996,3308100,28.437801
2001-10-01,83.499992,85.94001,72.00,72.899994,2493100,22.724056
2001-09-04,90.099991,91.839996,75.500008,82.949997,3828100,25.856798
2001-08-01,88.199997,92.349991,86.480011,90.00,2908700,27.950665
2001-07-02,95.649986,103.899994,92.919991,100.310005,2264100,31.152569
2001-06-01,94.479988,97.610016,90.999992,95.82,2346800,29.758141
2001-05-01,105.999985,109.250015,87.759995,94.470001,5022200,29.23901
2001-04-02,107.25,110.319992,97.50,106.700012,3263100,33.024269
2001-03-01,108.999985,115.899994,99.299995,107.360016,2902200,33.228542
2001-02-01,111.149994,123.249985,101.000015,109.670013,3700000,33.846905
2001-01-02,133.299988,134.949982,107.750015,111.149994,3061400,34.303665
2000-12-01,132.500015,136.749985,117.099991,132.299988,2323600,40.831085
2000-11-01,120.00,134.160004,114.999985,131.750015,2813400,40.556744
2000-10-02,104.399994,123.00,104.049988,121.950005,2704500,37.539997
2000-09-01,97.3125,105.999985,86.874992,104.399994,2869400,32.137558
2000-08-01,98.874985,105.9375,95.000008,97.26564,2256000,29.84104
2000-07-03,93.999992,103.062515,92.625,99.875015,2392700,30.641596
2000-06-01,88.125,99.500015,83.750008,93.500008,2803600,28.685747
2000-05-01,79.50,90.875008,73.374992,88.812508,2550800,27.149694
