Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,63.150002,63.470001,62.529999,62.790001,400200,58.76881
2013-03-01,64.760002,65.57,61.369999,63.25,288400,59.199348
2013-02-01,69.989998,70.620003,64.650002,64.940002,336300,60.382618
2013-01-02,66.849998,70.589996,66.540001,69.510002,338100,64.631905
2012-12-03,64.099998,67.00,63.490002,66.580002,316600,61.907524
2012-11-01,64.00,64.379997,61.419998,64.269997,284300,59.408108
2012-10-01,59.990002,64.080002,59.189999,64.019997,328300,59.177017
2012-09-04,57.50,61.900002,56.369999,59.709999,331200,55.193062
2012-08-01,61.959999,63.32,53.779999,57.459999,611300,52.757648
2012-07-02,62.02,64.860001,60.400002,61.84,318300,56.779205
2012-06-01,58.889999,63.700001,58.459999,61.84,402600,56.779205
2012-05-01,67.949997,69.50,58.82,59.209999,480200,53.998474
2012-04-02,64.870003,67.879997,63.73,67.830002,301600,61.859764
2012-03-01,64.00,66.110001,62.150002,64.660004,358500,58.968784
2012-02-01,60.98,64.760002,60.18,63.900002,801200,57.918705
2012-01-03,59.950001,62.18,56.869999,62.009998,528200,56.193913
2011-12-01,57.32,62.150002,56.400002,59.560001,296100,53.973705
2011-11-01,60.360001,62.799999,54.139999,57.759998,274400,52.030865
2011-10-03,55.939999,64.50,53.639999,62.380001,367100,56.192616
2011-09-01,65.779999,66.910004,55.50,55.700001,419400,50.175194
2011-08-01,66.910004,67.269997,56.450001,65.779999,323500,58.941319
2011-07-01,66.900002,67.480003,62.73,66.300003,287400,59.407261
2011-06-01,66.699997,69.870003,63.84,66.730003,283900,59.792561
2011-05-02,66.169998,66.980003,62.43,66.650002,259800,59.393097
2011-04-01,63.00,66.949997,61.380001,66.25,331400,59.036652
2011-03-01,56.779999,63.529999,55.869999,62.66,362600,55.837532
2011-02-01,58.48,59.509998,53.560001,56.93,485900,50.42804
2011-01-03,62.389999,62.389999,55.419998,58.439999,484500,51.765583
2010-12-01,62.529999,66.309998,59.310001,61.91,356700,54.839275
2010-11-01,67.800003,69.440002,59.41,61.700001,294600,54.36063
2010-10-01,66.410004,67.790001,63.59,67.449997,436300,59.426651
2010-09-01,65.07,67.559998,62.200001,65.629997,445400,57.823143
2010-08-02,59.939999,64.330002,55.009998,64.230003,494400,56.294815
2010-07-01,49.919998,63.18,49.849998,58.630001,568300,51.386658
2010-06-01,46.830002,51.959999,46.759998,50.130001,380400,43.936775
2010-05-03,46.68,48.32,42.529999,47.82,337200,41.63213
2010-04-01,46.040001,49.700001,45.59,46.740002,275400,40.691883
2010-03-01,46.439999,47.52,45.009998,45.66,303400,39.751633
2010-02-01,43.580002,46.450001,40.099998,46.380001,360800,40.08569
2010-01-04,46.380001,48.299999,42.73,43.099998,378700,37.250824
2009-12-01,43.139999,48.00,43.139999,45.509998,385900,39.333759
2009-11-02,39.799999,44.290001,38.700001,42.900002,345000,36.833458
2009-10-01,41.950001,44.75,38.169998,39.580002,409200,33.982941
2009-09-01,34.849998,43.290001,33.50,42.93,327000,36.859215
2009-08-03,32.689999,37.43,30.709999,35.540001,345600,30.26614
2009-07-01,30.870001,33.990002,28.23,32.110001,448800,27.345125
2009-06-01,29.190001,32.189999,29.129999,30.50,420800,25.974035
2009-05-01,23.200001,29.85,22.90,28.700001,538500,24.231077
2009-04-01,19.129999,23.75,18.959999,23.35,622800,19.714134
2009-03-02,16.299999,22.23,16.16,19.469999,474900,16.438295
2009-02-02,21.08,21.10,15.90,16.60,750200,13.838914
2009-01-02,22.629999,24.33,20.360001,20.93,481700,17.448702
2008-12-01,19.75,25.00,19.440001,23.35,488600,19.466183
2008-11-03,19.90,22.959999,17.27,20.34,449900,16.702188
2008-10-01,28.10,29.879999,15.00,19.530001,739000,16.037058
2008-09-02,33.549999,36.299999,25.360001,28.450001,719400,23.361715
2008-08-01,33.900002,34.75,30.75,33.299999,388800,27.043003
2008-07-01,31.200001,36.080002,28.49,33.73,506400,27.392206
2008-06-02,38.200001,38.200001,31.110001,31.389999,569900,25.491888
2008-05-01,39.919998,44.00,35.400002,38.200001,607300,30.731247
2008-04-01,36.00,39.950001,35.09,39.919998,472400,32.114956
2008-03-03,34.00,36.150002,31.799999,35.459999,691900,28.526962
2008-02-01,33.41,34.459999,30.93,33.75,439300,26.917168
2008-01-02,33.900002,35.50,28.299999,33.41,598800,26.646002
2007-12-03,36.970001,37.25,32.880001,34.02,576200,27.132505
2007-11-01,36.650002,38.919998,33.400002,37.00,557200,29.288599
2007-10-01,34.650002,39.00,33.200001,36.75,471200,29.090704
2007-09-04,32.77,34.919998,30.540001,34.650002,605800,27.428379
2007-08-01,35.18,36.790001,28.42,32.779999,716100,25.742668
2007-07-02,32.82,37.330002,32.02,35.59,1060700,27.949409
2007-06-01,28.24,35.00,28.10,32.830002,708500,25.781937
2007-05-01,28.25,29.09,26.15,28.01,503900,21.785919
2007-04-02,27.799999,30.10,27.209999,28.059999,440400,21.824808
2007-03-01,26.00,28.35,24.00,27.690001,341700,21.537025
2007-02-01,30.00,30.50,25.50,26.790001,218200,20.658939
2007-01-03,31.40,32.00,28.59,29.75,355700,22.941525
2006-12-01,29.60,31.68,29.219999,31.129999,259900,24.005701
2006-11-01,30.700001,32.25,28.24,30.07,315900,23.013432
2006-10-02,28.700001,31.450001,28.60,30.57,359100,23.396097
2006-09-01,29.15,29.50,27.530001,28.60,260600,21.888399
2006-08-01,26.93,30.700001,26.15,29.10,367700,22.103737
2006-07-03,24.10,27.17,22.32,26.98,333900,20.493429
2006-06-01,27.60,29.48,20.00,24.10,621200,18.305843
2006-05-01,34.950001,35.150002,24.780001,27.00,641600,20.341105
2006-04-03,35.00,36.18,32.709999,34.599998,292000,26.066748
2006-03-01,32.93,35.00,30.60,34.900002,323000,26.292761
2006-02-01,32.189999,33.200001,28.50,32.810001,394400,24.545685
2006-01-03,29.00,33.790001,28.950001,32.57,422700,24.366137
2005-12-01,25.700001,29.25,25.700001,28.83,293800,21.568184
2005-11-01,23.700001,27.50,23.030001,25.700001,522000,19.106552
2005-10-03,22.110001,23.799999,18.540001,23.700001,552200,17.619661
2005-09-01,21.549999,22.92,19.309999,21.950001,501700,16.31863
2005-08-01,18.360001,24.40,18.360001,21.379999,486200,15.767861
2005-07-01,15.99,20.50,15.85,19.299999,461200,14.23385
2005-06-01,14.10,16.16,14.05,15.99,130000,11.792709
2005-05-02,14.77,15.15,13.83,14.15,146700,10.32538
2005-04-01,13.49,15.45,13.30,14.77,116000,10.777801
2005-03-01,16.049999,17.780001,12.40,13.36,367100,9.748911
2005-02-01,14.25,16.74,13.69,16.01,295600,11.403003
2005-01-03,14.29,14.38,12.54,13.92,200600,9.914415
2004-12-01,11.99,14.25,10.90,14.12,182600,10.056864
2004-11-01,8.83,12.00,8.80,11.99,229400,8.459771
2004-10-01,8.05,8.92,7.80,8.79,146400,6.201951
2004-09-01,7.15,9.09,6.90,8.10,144400,5.715108
2004-08-02,6.54,7.06,6.19,6.97,57300,4.856122
2004-07-01,6.65,6.80,6.25,6.65,38300,4.633173
2004-06-01,6.60,7.10,6.30,6.68,32500,4.654074
2004-05-03,7.00,7.57,6.06,6.54,112300,4.489526
2004-04-01,7.58,8.10,7.15,7.20,183800,4.942597
2004-03-01,7.25,7.60,7.10,7.56,111200,5.189727
2004-02-02,6.15,7.31,5.80,7.14,303100,4.83311
2004-01-02,5.30,6.66,5.25,6.19,196000,4.19005
2003-12-01,4.93,5.35,4.81,5.34,85700,3.614679
2003-11-03,4.96,5.04,4.70,4.93,43600,3.306272
2003-10-01,4.84,5.26,4.73,4.86,43400,3.259328
2003-09-02,4.88,5.24,4.70,4.83,63400,3.239208
2003-08-01,4.93,4.93,4.35,4.83,90700,3.209288
2003-07-01,4.92,5.35,4.91,4.96,21300,3.295666
2003-06-02,5.04,5.10,4.65,4.94,22300,3.282377
