Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,3.18,3.20,3.16,3.19,74800,2.656002
2013-03-01,3.14,3.24,3.08,3.16,52600,2.631024
2013-02-01,3.25,3.26,3.14,3.14,62700,2.597427
2013-01-02,3.12,3.34,3.12,3.26,71200,2.679266
2012-12-03,3.11,3.22,3.07,3.07,74500,2.506759
2012-11-01,3.17,3.24,2.82,3.07,72100,2.482551
2012-10-01,3.24,3.29,3.16,3.16,47500,2.538185
2012-09-04,3.22,3.25,3.15,3.24,62600,2.585575
2012-08-01,3.19,3.24,3.11,3.23,47600,2.56094
2012-07-02,3.14,3.23,3.08,3.15,43500,2.481323
2012-06-01,2.99,3.12,2.95,3.08,37400,2.409554
2012-05-01,3.19,3.21,2.93,3.03,52600,2.353616
2012-04-02,3.19,3.26,3.10,3.21,46100,2.475625
2012-03-01,3.15,3.22,3.06,3.18,64800,2.435679
2012-02-01,3.05,3.20,3.02,3.14,70100,2.388403
2012-01-03,2.95,3.10,2.89,3.07,62600,2.318693
2011-12-01,2.85,2.98,2.84,2.94,50700,2.204169
2011-11-01,2.86,2.92,2.77,2.85,32100,2.101561
2011-10-03,2.74,2.90,2.49,2.90,47300,2.122319
2011-09-01,2.87,2.91,2.69,2.74,40100,1.989395
2011-08-01,2.93,3.01,2.52,2.89,86600,2.082896
2011-07-01,3.03,3.14,2.69,2.90,66400,2.072958
2011-06-01,3.09,3.12,2.91,3.03,58600,2.150922
2011-05-02,3.01,3.12,2.93,3.08,59100,2.171604
2011-04-01,3.06,3.07,2.96,3.02,57600,2.113992
2011-03-01,3.01,3.06,2.90,3.05,38300,2.11949
2011-02-01,3.02,3.09,2.91,2.99,57300,2.062808
2011-01-03,2.94,3.02,2.92,3.01,57200,2.061773
2010-12-01,3.02,3.13,2.76,2.95,81600,2.005183
2010-11-01,3.07,3.12,2.76,3.01,51100,2.000351
2010-10-01,2.95,3.06,2.92,3.03,55400,1.998605
2010-09-01,2.95,2.98,2.85,2.97,52900,1.944159
2010-08-02,2.85,2.98,2.82,2.94,65800,1.910168
2010-07-01,2.72,2.87,2.67,2.85,40900,1.837931
2010-06-01,2.55,2.79,2.52,2.71,45400,1.733666
2010-05-03,2.86,2.89,2.36,2.59,86300,1.643618
2010-04-01,2.77,2.88,2.74,2.88,44100,1.813896
2010-03-01,2.71,2.80,2.64,2.80,63400,1.75047
2010-02-01,2.68,2.70,2.40,2.68,61000,1.662466
2010-01-04,2.86,2.97,2.61,2.63,71000,1.617908
2009-12-01,2.41,2.87,2.40,2.87,99900,1.752068
2009-11-02,2.36,2.45,2.34,2.42,62600,1.460352
2009-10-01,2.49,2.49,2.36,2.38,65200,1.424844
2009-09-01,2.23,2.48,2.23,2.46,34400,1.461317
2009-08-03,2.23,2.40,2.20,2.27,43700,1.337164
2009-07-01,2.07,2.24,1.97,2.21,42100,1.290646
2009-06-01,2.01,2.19,1.99,2.06,38000,1.191193
2009-05-01,1.83,2.24,1.83,1.99,56900,1.14011
2009-04-01,1.60,1.88,1.57,1.82,37600,1.032084
