Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,1.69,1.72,1.65,1.72,183200,1.72
2013-03-01,1.55,1.76,1.40,1.70,164600,1.70
2013-02-01,1.41,1.68,1.22,1.61,108000,1.61
2013-01-01,1.00,1.37,0.9507,1.37,128700,1.37
2012-12-03,1.36,1.45,0.93,1.00,238800,1.00
2012-11-01,1.30,1.49,1.11,1.35,48300,1.35
2012-10-01,1.80,1.85,1.21,1.31,46800,1.31
2012-09-03,1.82,1.91,1.44,1.79,116400,1.79
2012-08-01,2.08,2.46,1.70,1.82,128000,1.82
2012-07-02,2.32,2.52,1.97,2.10,95200,2.10
2012-06-01,2.16,2.56,2.01,2.32,87800,2.32
2012-05-01,2.96,3.04,1.95,2.21,160900,2.21
2012-04-02,3.75,3.94,2.60,2.94,205400,2.94
2012-03-01,2.25,4.07,2.25,3.79,631500,3.79
2012-02-01,2.55,2.88,2.16,2.22,254600,2.22
2012-01-02,2.85,3.15,2.01,2.54,271800,2.54
2011-12-01,2.36,2.91,2.04,2.85,201800,2.85
2011-11-01,3.18,3.29,1.75,2.39,821400,2.39
2011-10-03,2.68,3.835,2.38,3.26,970100,3.26
2011-09-01,6.13,6.28,2.68,2.68,1170100,2.68
2011-08-01,11.93,11.97,4.00,5.91,1321200,5.91
2011-07-01,14.88,15.33,11.36,11.75,411300,11.75
2011-06-01,18.47,18.49,12.75,14.95,775500,14.95
2011-05-02,19.15,19.50,12.79,18.49,713900,18.49
2011-04-01,16.50,21.10,16.38,19.30,422900,19.30
2011-03-01,20.85,20.94,14.1401,16.59,438100,16.59
2011-02-01,22.36,23.75,18.00,20.85,444100,20.85
2011-01-03,24.36,28.18,22.02,22.40,516000,22.40
2010-12-01,23.76,24.90,19.65,23.92,556700,23.92
2010-11-01,15.68,23.09,15.44,22.89,318400,22.89
2010-10-01,17.62,19.62,15.74,16.03,298800,16.03
2010-09-01,15.27,18.80,14.85,17.57,219900,17.57
2010-08-02,10.75,15.94,10.54,15.03,146900,15.03
2010-07-21,10.10,10.90,10.10,10.68,1067500,10.68
