Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,43.490002,43.650002,42.799999,43.119999,2350200,42.298882
2013-03-01,41.720001,44.880001,41.650002,43.48,1166600,42.652027
2013-02-01,42.48,43.34,41.619999,41.860001,1866400,41.062878
2013-01-02,39.389999,43.900002,38.610001,42.349998,1560400,41.543545
2012-12-03,37.02,38.959999,36.32,38.639999,1324600,37.904194
2012-11-01,37.220001,38.740002,36.02,37.049999,1344700,36.344471
2012-10-01,39.41,41.110001,36.32,37.220001,1599300,36.511234
2012-09-04,37.849998,41.950001,37.209999,39.389999,1798500,38.639912
2012-08-01,36.709999,39.52,36.439999,37.759998,998800,37.040951
2012-07-02,35.849998,37.50,34.150002,36.52,1386700,35.824566
2012-06-01,33.540001,35.779999,32.290001,35.639999,1603200,34.961319
2012-05-01,37.68,39.139999,33.169998,34.189999,1472100,33.538933
2012-04-02,41.009998,41.990002,36.82,37.849998,1141200,37.129234
2012-03-01,40.779999,43.349998,38.099998,41.240002,1112500,40.454685
2012-02-01,38.639999,42.27,38.610001,40.709999,1792500,39.934776
2012-01-03,35.82,39.68,34.450001,38.139999,1564100,37.413715
2011-12-01,33.57,36.439999,33.139999,34.869999,1349300,34.205982
2011-11-01,33.509998,36.139999,29.98,33.860001,1504800,33.215218
2011-10-03,29.959999,37.369999,27.68,34.849998,1901300,34.186363
2011-09-01,34.619999,35.060001,30.360001,30.370001,1725800,29.791677
2011-08-01,40.169998,40.380001,29.549999,34.57,3099900,33.911697
2011-07-01,44.220001,44.880001,38.68,39.740002,1473000,38.98325
2011-06-01,44.310001,44.48,41.669998,44.259998,1769200,43.417171
2011-05-02,42.490002,44.50,40.560001,44.330002,1719900,43.485844
2011-04-01,42.689999,44.77,39.459999,42.459999,2707000,41.651451
2011-03-01,43.369999,44.32,41.349998,42.549999,1412900,41.739735
2011-02-01,47.799999,48.77,42.119999,43.32,1868500,42.495075
2011-01-03,47.540001,49.57,45.619999,47.689999,1456700,46.781857
2010-12-01,40.00,47.200001,39.509998,47.099998,1282900,46.203091
2010-11-01,43.490002,44.00,39.23,39.459999,1171800,38.708576
2010-10-01,41.00,44.099998,39.720001,43.330002,1647400,42.504887
2010-09-01,37.330002,41.23,36.98,40.82,1461000,40.042679
2010-08-02,36.959999,39.040001,35.830002,36.68,1459400,35.981518
2010-07-01,34.029999,39.66,32.779999,36.360001,2014600,35.66761
2010-06-01,36.709999,38.689999,33.43,33.860001,2298100,33.215218
2010-05-03,41.169998,41.950001,30.00,36.790001,3967600,36.089424
2010-04-01,39.240002,42.939999,38.139999,40.599998,1937300,39.82687
2010-03-01,36.369999,39.799999,35.02,38.959999,2283700,38.218098
2010-02-01,32.040001,36.970001,29.370001,36.43,2712700,35.736279
2010-01-04,27.91,35.00,27.58,31.82,2886600,31.214064
2009-12-10,27.00,30.66,24.83,27.610001,5486500,27.084234
