Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,22.33,22.719999,20.76,21.26,5055400,21.26
2013-03-01,23.959999,25.190001,22.40,22.90,715700,22.90
2013-02-01,23.129999,25.35,22.450001,24.200001,1081800,24.200001
2013-01-02,21.92,23.629999,21.09,22.91,574600,22.91
2012-12-03,20.00,22.09,19.67,21.440001,505700,21.440001
2012-11-01,19.49,21.00,17.799999,19.969999,606300,19.969999
2012-10-01,20.10,20.309999,18.799999,19.379999,562100,19.379999
2012-09-04,20.15,22.66,19.01,19.90,811300,19.90
2012-08-01,18.799999,21.42,18.16,20.129999,667800,20.129999
2012-07-02,18.50,19.85,17.370001,18.780001,718500,18.780001
2012-06-01,17.299999,19.65,16.780001,18.50,1111800,18.50
2012-05-01,18.969999,19.940001,16.40,17.879999,1268000,17.879999
2012-04-02,17.610001,19.27,16.15,18.85,979600,18.85
2012-03-01,20.50,20.93,17.25,17.790001,1646600,17.790001
2012-02-01,16.90,23.110001,16.73,20.32,2086800,20.32
2012-01-03,21.889999,22.77,16.049999,16.65,1467600,16.65
2011-12-01,19.60,23.32,18.83,20.93,1141800,20.93
2011-11-01,16.110001,22.40,15.61,19.639999,1057900,19.639999
2011-10-03,16.129999,19.030001,12.65,16.860001,855300,16.860001
2011-09-01,27.60,28.09,15.60,16.440001,710300,16.440001
2011-08-01,31.10,32.939999,21.50,26.139999,579000,26.139999
2011-07-29,30.00,32.16,30.00,30.50,22770000,30.50
