Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,17.639999,17.639999,17.27,17.459999,120400,15.995196
2013-03-01,16.34,17.68,16.16,17.610001,78300,16.132614
2013-02-01,15.85,16.860001,15.63,16.459999,182200,15.018636
2013-01-02,15.31,16.08,14.60,15.75,268700,14.309095
2012-12-03,14.24,15.44,14.07,15.38,82700,13.911775
2012-11-01,12.91,14.18,12.86,14.12,34500,12.60131
2012-10-01,14.00,14.15,12.74,12.95,30900,11.55715
2012-09-04,14.06,14.61,13.84,13.88,35000,12.387123
2012-08-01,13.80,14.30,12.91,14.01,37500,12.327412
2012-07-02,14.37,15.00,13.57,13.75,35600,12.098637
2012-06-01,12.75,14.50,12.60,14.28,64800,12.564984
2012-05-01,12.95,13.50,12.75,12.98,47900,11.260479
2012-04-02,12.72,13.19,11.51,13.00,47500,11.277829
2012-03-01,12.08,13.67,12.01,12.69,41300,11.008896
2012-02-01,12.42,13.66,11.94,12.06,48000,10.325516
2012-01-03,11.05,12.50,10.75,12.37,23500,10.590931
2011-12-01,10.71,11.59,9.91,10.78,38900,9.229607
2011-11-01,10.89,11.59,9.56,10.71,40700,9.026654
2011-10-03,9.85,11.77,8.82,11.25,55300,9.481779
2011-09-01,10.07,10.94,9.20,9.92,68300,8.360823
2011-08-01,15.65,15.65,9.38,10.06,121700,8.333347
2011-07-01,16.110001,16.51,15.17,15.56,64700,12.889353
2011-06-01,16.35,16.389999,15.36,16.110001,69900,13.344954
2011-05-02,16.16,17.290001,15.50,16.389999,86400,13.426422
2011-04-01,16.299999,16.690001,15.95,16.15,65400,13.229818
2011-03-01,17.66,17.66,15.83,16.25,67700,13.311737
2011-02-01,16.700001,18.040001,16.01,17.469999,215400,14.156163
2011-01-03,17.299999,17.57,16.50,16.540001,22500,13.402574
2010-12-01,16.65,17.610001,16.379999,17.25,28900,13.977895
2010-11-01,18.559999,18.719999,16.110001,16.43,55300,13.179152
2010-10-01,18.75,19.459999,17.33,18.440001,35600,14.791453
2010-09-01,16.459999,18.92,16.459999,18.610001,32100,14.788713
2010-08-02,15.37,17.290001,14.92,16.27,23100,12.929197
2010-07-01,17.93,17.93,14.25,15.17,52700,12.055066
2010-06-01,17.85,18.59,17.450001,17.870001,48100,14.200662
2010-05-03,19.83,20.58,17.469999,18.00,29600,14.303967
2010-04-16,20.25,20.700001,19.459999,19.85,302700,15.774097
