Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,22.23,22.309999,22.049999,22.15,1912200,19.443914
2013-03-01,22.059999,23.48,21.690001,22.200001,859200,19.487806
2013-02-01,21.65,22.379999,21.379999,22.15,603300,19.138329
2013-01-02,19.83,21.90,19.75,21.52,1135200,18.593988
2012-12-03,20.110001,20.24,19.18,19.50,813700,16.848642
2012-11-01,20.049999,20.280001,18.40,20.02,325900,16.950243
2012-10-01,19.50,20.23,19.309999,20.01,367900,16.941776
2012-09-04,19.17,20.10,18.91,19.48,722000,16.493042
2012-08-01,18.50,19.299999,17.93,19.209999,198500,15.970101
2012-07-02,17.290001,18.530001,17.219999,18.35,195200,15.255148
2012-06-01,16.559999,17.41,16.16,17.299999,212200,14.382236
2012-05-01,17.01,17.389999,16.299999,16.799999,175200,13.681865
2012-04-02,16.40,17.15,16.25,16.99,205200,13.8366
2012-03-01,16.76,17.24,16.190001,16.379999,211200,13.339818
2012-02-01,17.07,17.379999,16.66,16.68,202500,13.309057
2012-01-03,15.96,17.200001,15.64,16.959999,122200,13.53247
2011-12-01,14.82,16.42,14.59,15.71,166200,12.535089
2011-11-01,14.07,15.47,13.19,14.80,297100,11.562824
2011-10-03,12.86,15.08,11.92,14.67,307100,11.461259
2011-09-01,15.46,15.68,12.92,12.92,233600,10.094032
2011-08-01,17.75,17.75,14.77,15.43,292800,11.762728
2011-07-01,18.030001,18.559999,17.40,17.610001,180100,13.424604
2011-06-01,18.40,18.43,17.76,18.07,197000,13.775275
2011-05-02,18.83,18.83,17.889999,18.450001,272000,13.817801
2011-04-01,18.360001,18.809999,18.10,18.68,940000,13.990054
2011-03-01,21.25,21.450001,18.77,18.83,100400,14.102394
2011-02-01,20.309999,21.25,20.07,21.25,59900,15.666868
2011-01-03,20.08,20.76,19.60,20.200001,76100,14.892741
2010-12-01,19.58,20.450001,19.440001,20.02,59900,14.760034
2010-11-01,18.959999,20.459999,18.58,19.290001,32100,13.971823
2010-10-01,18.620001,19.120001,18.15,18.959999,40100,13.732801
2010-09-01,17.91,18.85,17.540001,18.48,49600,13.385136
2010-08-02,18.07,18.50,16.549999,17.719999,43100,12.659519
2010-07-01,16.92,18.200001,16.50,17.860001,55700,12.759539
2010-06-01,18.09,18.459999,16.76,16.90,92100,12.073695
2010-05-03,19.01,19.629999,17.280001,18.190001,161700,12.843263
2010-04-01,20.02,20.35,18.83,19.01,66600,13.422234
2010-03-01,20.030001,20.34,18.76,20.00,85400,14.121235
2010-02-01,19.90,20.34,19.030001,19.940001,104300,13.966745
2010-01-04,20.540001,21.00,19.60,19.90,59700,13.938727
2009-12-01,18.85,20.99,18.60,20.370001,207700,14.267934
2009-11-02,19.50,19.60,18.440001,18.83,87900,13.144221
2009-10-01,19.50,20.00,19.299999,19.450001,163800,13.577011
2009-09-24,19.50,19.66,19.25,19.549999,1484100,13.646814
