Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,41.40,41.40,40.5801,40.68,374000,40.68
2013-03-01,43.39,44.98,40.03,41.32,681700,41.32
2013-02-01,48.57,48.57,42.965,44.30,361400,44.30
2013-01-01,40.29,48.76,40.29,47.74,485300,47.74
2012-12-03,47.81,49.99,39.35,40.29,790700,40.29
2012-11-01,45.00,49.45,42.58,47.61,661800,47.61
2012-10-01,39.05,45.90,38.69,44.80,301200,44.80
2012-09-03,39.58,44.96,38.19,38.77,378300,38.77
2012-08-01,38.43,42.27,36.65,39.58,296100,39.58
2012-07-02,38.93,41.20,34.36,38.12,545000,38.12
2012-06-01,37.00,41.14,35.35,38.86,436100,38.86
2012-05-01,46.01,47.45,38.23,38.24,587700,38.24
2012-04-02,39.56,47.62,37.58,45.77,583300,45.77
2012-03-01,43.27,44.43,38.335,39.70,428800,39.70
2012-02-01,42.47,45.00,41.50,42.91,378400,42.91
2012-01-02,35.99,47.74,35.99,41.74,431500,41.74
2011-12-01,39.47,41.07,34.72,35.99,358200,35.99
2011-11-01,35.07,41.07,34.40,39.72,489100,39.72
2011-10-03,25.81,39.32,22.19,37.18,587600,37.18
2011-09-01,33.04,33.45,25.87,26.24,528600,26.24
2011-08-01,39.18,39.69,25.831,33.12,732500,33.12
2011-07-01,38.57,42.24,35.00,38.14,482300,38.14
2011-06-01,42.24,42.36,35.60,38.65,388300,38.65
2011-05-02,48.50,48.50,38.25,42.32,467800,42.32
2011-04-01,49.01,50.62,43.28,48.30,368900,48.30
2011-03-01,48.57,49.38,42.59,48.55,374800,48.55
2011-02-01,49.43,54.45,46.21,48.45,509800,48.45
2011-01-03,48.36,53.87,45.32,48.43,442900,48.43
2010-12-01,42.67,48.66,41.93,47.74,260200,47.74
2010-11-01,39.73,45.54,38.54,41.42,332200,41.42
2010-10-01,36.90,44.79,35.12,39.69,381300,39.69
2010-09-01,29.01,39.92,28.69,36.64,412300,36.64
2010-08-02,31.75,32.22,27.01,28.15,244900,28.15
2010-07-01,22.61,31.97,21.58,30.78,473900,30.78
2010-06-01,25.02,27.80,22.17,22.65,430600,22.65
2010-05-03,30.95,31.75,23.25,25.66,379800,25.66
2010-04-01,31.33,33.45,29.13,30.33,381700,30.33
2010-03-01,25.75,33.01,25.75,30.75,371900,30.75
2010-02-01,24.02,26.26,21.56,25.79,284300,25.79
2010-01-04,25.22,29.11,23.66,23.69,251900,23.69
2009-12-01,23.76,26.65,23.24,24.98,207600,24.98
2009-11-02,19.10,25.17,18.09,23.53,418700,23.53
2009-10-01,16.90,23.505,15.70,19.11,415600,19.11
2009-09-01,17.06,19.1601,14.34,17.08,301600,17.08
2009-08-03,17.73,20.10,16.96,17.05,238900,17.05
2009-07-01,14.08,17.72,11.51,17.57,278800,17.57
2009-06-01,18.43,19.20,13.29,14.04,351700,14.04
2009-05-01,16.10,20.40,15.37,17.64,542800,17.64
2009-04-01,10.20,17.29,10.06,15.96,633600,15.96
2009-03-02,7.17,11.85,5.69,10.38,531900,10.38
2009-02-02,7.87,10.54,6.85,7.30,570200,7.30
2009-01-02,15.80,19.26,7.77,8.01,656500,8.01
2008-12-01,16.44,18.10,12.90,15.60,388300,15.60
2008-11-03,18.01,20.61,11.00,16.96,494100,16.96
2008-10-01,21.59,21.85,11.12,17.72,667900,17.72
2008-09-02,38.59,38.59,18.98,22.04,492000,22.04
2008-08-01,36.88,38.12,33.35,37.81,251200,37.81
2008-07-01,33.50,40.50,27.65,36.97,559900,36.97
2008-06-02,44.85,45.12,33.52,33.97,510500,33.97
2008-05-01,42.33,47.43,41.61,44.69,514700,44.69
2008-04-01,52.75,58.00,42.06,43.14,786700,43.14
