Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,11.45,11.48,11.21,11.23,3899800,10.925611
2013-03-01,10.75,11.68,10.58,11.45,2844500,11.139647
2013-02-01,10.36,11.44,9.98,10.94,2679300,10.624413
2013-01-02,9.60,10.35,9.34,10.27,1537600,9.973742
2012-12-03,9.16,9.64,8.90,9.33,1591200,9.060858
2012-11-01,9.58,9.73,8.26,9.10,1718200,8.818569
2012-10-01,10.03,10.06,9.26,9.58,1596800,9.283724
2012-09-04,8.92,10.18,8.84,9.65,2327700,9.351559
2012-08-01,8.30,9.35,7.88,8.90,2160700,8.606501
2012-07-02,7.84,8.49,7.55,8.29,1799900,8.016617
2012-06-01,6.81,7.86,6.30,7.80,1854700,7.542776
2012-05-01,7.28,7.55,6.30,6.86,1597900,6.613913
2012-04-02,7.73,7.99,7.02,7.27,1428700,7.009205
2012-03-01,7.48,8.21,7.32,7.78,1712400,7.50091
2012-02-01,6.80,7.74,6.72,7.42,1538000,7.153824
2012-01-03,6.51,7.09,6.03,6.72,1787900,6.478935
2011-12-01,6.27,6.50,5.68,6.31,1904300,6.083643
2011-11-01,5.93,6.48,5.62,6.32,2242800,6.093284
2011-10-03,5.35,6.79,4.73,6.25,3398400,6.025795
2011-09-01,6.45,6.54,5.33,5.41,3257000,5.215928
2011-08-01,7.49,7.56,5.28,6.43,4759100,6.199338
2011-07-01,7.94,8.15,7.15,7.35,2477600,7.086335
2011-06-01,7.74,7.92,6.97,7.91,3136700,7.626246
2011-05-02,8.12,8.34,7.30,7.74,2662200,7.462345
2011-04-01,7.60,8.13,7.12,8.06,2103500,7.770866
2011-03-01,7.29,7.60,6.68,7.51,2091200,7.240596
2011-02-01,6.39,7.24,6.23,7.24,2350900,6.980281
2011-01-03,6.86,7.22,6.28,6.33,1830800,6.102925
2010-12-01,5.94,7.13,5.91,6.78,1745200,6.536783
2010-11-01,5.46,6.18,5.36,5.85,1840800,5.640144
2010-10-01,5.58,5.65,5.22,5.44,1860100,5.244852
2010-09-01,4.76,5.78,4.76,5.54,2600200,5.341265
2010-08-02,5.53,5.73,4.62,4.73,2676900,4.560322
2010-07-01,4.86,5.58,4.58,5.37,2673700,5.177363
