Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,23.889999,23.99,23.700001,23.799999,4005800,21.782961
2013-03-01,21.48,24.049999,21.27,23.959999,4268400,21.929401
2013-02-01,20.530001,21.530001,20.32,21.43,4315100,19.613817
2013-01-02,19.52,20.610001,19.34,20.440001,2751200,18.523754
2012-12-03,19.73,20.15,18.790001,19.25,2946200,17.445316
2012-11-01,21.66,21.809999,18.950001,19.73,4008100,17.880316
2012-10-01,21.33,21.75,20.870001,21.67,2283600,19.438711
2012-09-04,20.41,21.559999,20.299999,21.299999,3073100,19.106808
2012-08-01,21.08,21.440001,20.139999,20.389999,3394300,18.290508
2012-07-02,20.76,21.27,20.290001,21.059999,2979100,18.70697
2012-06-01,20.01,21.00,19.65,20.67,3448100,18.360544
2012-05-01,20.26,20.459999,19.52,20.23,5104100,17.969706
2012-04-02,19.73,20.24,18.91,20.209999,3717000,17.771889
2012-03-01,19.379999,19.74,18.879999,19.719999,4728800,17.341002
2012-02-01,18.58,19.68,18.469999,19.49,7536600,17.138748
2012-01-03,20.309999,20.35,18.07,18.469999,4572600,16.06698
2011-12-01,19.82,20.459999,18.74,20.09,2969800,17.476213
2011-11-01,20.309999,21.469999,18.59,19.90,4862500,17.310932
2011-10-03,19.60,21.389999,18.700001,20.84,4891000,17.94735
2011-09-01,20.110001,20.450001,18.530001,19.620001,5005200,16.896688
2011-08-01,19.780001,20.139999,17.110001,20.01,5939600,17.232555
2011-07-01,19.440001,20.360001,19.139999,19.58,3595600,16.687714
2011-06-01,19.559999,19.57,18.440001,19.35,5363000,16.491688
2011-05-02,18.68,19.389999,18.360001,19.33,4305600,16.474642
2011-04-01,17.719999,18.620001,17.10,18.60,3806700,15.688226
2011-03-01,15.84,17.76,15.09,17.559999,6324000,14.811034
2011-02-01,16.23,16.35,15.40,15.86,4087500,13.377164
2011-01-03,15.81,16.26,15.48,16.15,3847900,13.455174
2010-12-01,15.78,16.17,15.53,15.72,2885100,13.096926
2010-11-01,16.66,17.00,15.44,15.63,4002500,13.021943
2010-10-01,15.84,16.620001,15.69,16.559999,3864500,13.634593
2010-09-01,14.93,15.98,14.85,15.72,4336300,12.942984
2010-08-02,14.36,15.08,14.19,14.79,3827300,12.177273
2010-07-01,13.11,14.64,12.96,14.23,3720900,11.561202
2010-06-01,13.54,14.15,12.87,13.16,5998800,10.691878
2010-05-03,14.44,14.65,5.67,13.62,5661200,11.065606
2010-04-01,14.37,14.77,14.16,14.36,2992700,11.506382
2010-03-01,13.47,14.52,13.47,14.36,3287700,11.506382
2010-02-01,14.01,14.61,13.36,13.38,5363300,10.721128
2010-01-04,14.59,14.90,13.84,13.95,4196200,11.020251
2009-12-01,13.37,14.87,13.33,14.51,3534800,11.462642
2009-11-02,12.64,13.27,12.37,13.27,3656300,10.483064
2009-10-01,12.38,13.17,12.10,12.60,4038800,9.806255
2009-09-01,12.37,12.80,11.91,12.43,5806400,9.673948
2009-08-03,12.04,12.94,11.95,12.40,3054500,9.650599
2009-07-01,11.02,12.13,10.65,12.05,3980000,9.235884
2009-06-01,10.22,11.40,9.93,11.08,4645400,8.492414
2009-05-01,10.62,11.40,9.76,10.12,3491700,7.756609
2009-04-01,10.30,10.85,9.93,10.64,3703500,8.010087
2009-03-02,10.17,10.80,8.66,10.43,5528200,7.851993
2009-02-02,13.25,14.53,9.86,10.32,6449900,7.769182
2009-01-02,12.76,13.92,12.20,13.38,3999400,9.931279
2008-12-01,12.62,13.26,11.90,12.62,4254300,9.36717
2008-11-03,11.75,12.95,10.94,12.93,4784300,9.597267
2008-10-01,14.45,14.51,8.48,11.52,6178600,8.420625
2008-09-02,15.95,16.15,13.72,14.57,3862800,10.650043
2008-08-01,15.79,16.639999,15.14,15.88,2581200,11.607596
2008-07-01,15.80,16.27,15.04,15.77,2693800,11.396574
2008-06-02,16.84,17.26,15.45,16.049999,3529000,11.598922
2008-05-01,15.88,17.25,15.13,16.940001,4014500,12.242104
2008-04-01,14.20,16.049999,14.20,15.22,2670000,10.870323
2008-03-03,14.62,14.85,13.51,14.27,4760100,10.191821
2008-02-01,15.95,16.469999,14.59,14.68,2282400,10.484648
2008-01-02,17.10,17.35,14.57,15.99,2925500,11.286982
