Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,6.84,6.89,6.76,6.85,144200,5.922919
2013-03-01,6.99,7.18,6.60,6.82,137900,5.896979
2013-02-01,6.64,7.05,6.62,6.96,152900,5.91148
2013-01-02,6.02,6.98,5.95,6.61,446900,5.614208
2012-12-03,8.20,8.94,5.60,6.03,610600,5.121584
2012-11-01,9.19,9.33,8.02,8.46,11800,7.185506
2012-10-01,8.87,9.25,8.75,9.23,9200,7.739697
2012-09-04,9.04,9.23,8.82,8.90,6200,7.46298
2012-08-01,8.92,9.40,8.86,9.02,8000,7.563605
2012-07-02,9.04,9.26,8.41,8.90,12000,7.374803
2012-06-01,9.16,9.44,8.50,8.94,17200,7.407948
2012-05-01,8.41,9.33,8.31,9.21,17500,7.631679
2012-04-02,8.72,9.00,7.93,8.43,17500,6.894736
2012-03-01,8.62,8.95,8.24,8.71,29600,7.123743
2012-02-01,8.61,9.44,8.18,8.56,31600,7.00106
2012-01-03,8.10,8.67,7.50,8.67,14600,7.00249
2011-12-01,7.72,8.39,7.24,8.06,23400,6.509812
2011-11-01,7.43,8.26,7.28,7.80,14200,6.299818
2011-10-03,7.50,7.76,6.59,7.57,15700,6.030715
2011-09-01,8.26,8.38,7.44,7.50,10900,5.974949
2011-08-01,8.73,8.89,7.41,8.27,22600,6.588377
2011-07-01,8.05,9.02,8.05,8.65,39200,6.806032
2011-06-01,8.57,8.60,7.75,8.10,36400,6.373279
2011-05-02,8.48,8.65,8.30,8.55,28500,6.72735
2011-04-01,8.73,9.27,8.38,8.50,30600,6.610151
2011-03-01,8.45,9.02,8.17,8.77,46000,6.82012
2011-02-01,7.54,8.50,7.47,8.50,36600,6.610151
2011-01-03,7.27,7.69,7.25,7.54,14800,5.787144
2010-12-01,7.34,7.50,6.79,7.30,30700,5.602938
2010-11-01,7.05,7.42,6.95,7.28,47800,5.587587
2010-10-01,5.58,7.17,5.42,7.08,79600,5.360748
2010-09-01,5.65,5.85,5.40,5.60,45000,4.240139
2010-08-02,5.95,6.44,5.35,5.62,36700,4.255283
2010-07-01,5.33,5.95,5.10,5.88,31000,4.370754
2010-06-01,5.80,5.90,5.27,5.45,22500,4.051124
2010-05-03,7.60,7.71,5.27,5.80,62700,4.311288
2010-04-01,7.47,7.93,7.38,7.50,27300,5.47948
2010-03-01,6.92,7.66,6.86,7.42,38300,5.421032
2010-02-01,6.73,7.21,6.33,6.85,22900,5.004592
2010-01-04,6.45,7.58,6.45,6.68,43400,4.788441
2009-12-01,6.27,6.67,6.00,6.52,27900,4.673748
2009-11-02,6.00,6.46,5.71,6.23,28400,4.465867
2009-10-01,6.59,6.82,5.64,5.99,29500,4.202618
2009-09-01,5.80,6.81,5.33,6.52,32800,4.574469
2009-08-03,5.65,6.45,5.57,5.74,36900,4.027216
2009-07-01,4.23,6.67,4.04,5.50,88400,3.777658
2009-06-01,4.50,4.94,3.78,4.18,68400,2.87102
2009-05-01,6.03,6.93,4.11,4.45,66600,3.056469
2009-04-01,5.81,6.47,5.62,5.99,39800,3.995358
2009-03-02,6.31,6.93,4.84,5.98,37800,3.988688
2009-02-02,6.12,8.28,5.48,6.35,53400,4.23548
2009-01-02,4.50,6.54,4.45,6.17,52300,3.979029
2008-12-01,5.00,5.29,3.92,4.45,87000,2.869802
2008-11-03,6.85,7.24,3.93,5.21,62900,3.359926
2008-10-01,8.74,9.22,4.67,6.72,65400,4.126424
2008-09-02,11.79,11.79,8.55,8.90,27000,5.465056
2008-08-01,11.69,12.00,11.42,11.50,16200,7.06159
2008-07-01,11.90,12.00,10.78,11.68,19600,7.011187
2008-06-02,12.49,12.54,11.82,11.90,19200,7.143247
2008-05-01,11.92,12.49,11.92,12.45,25300,7.473397
2008-04-01,12.75,13.70,11.80,12.00,32700,7.050372
2008-03-03,11.94,12.89,11.71,12.65,25300,7.432267
2008-02-01,12.49,13.05,11.93,11.94,31200,7.01512
2008-01-02,12.25,12.62,11.62,12.42,27700,7.151309
2007-12-03,11.62,12.57,10.50,12.25,64400,7.053424
2007-11-01,14.42,14.48,11.53,11.66,42200,6.713708
2007-10-01,14.29,14.53,13.82,14.49,27000,8.191978
2007-09-04,14.50,15.49,14.38,14.40,29600,8.141095
2007-08-01,15.85,15.85,13.53,14.45,45800,8.169363
2007-07-02,17.58,17.58,15.55,15.80,50300,8.817743
2007-06-01,17.85,19.27,17.43,17.43,30300,9.727422
2007-05-01,18.200001,18.629999,17.059999,17.85,58200,9.961818
2007-04-02,16.25,18.190001,16.07,18.190001,65600,10.062175
2007-03-01,14.60,16.450001,14.25,16.370001,63400,9.055405
2007-02-02,15.00,15.40,14.14,14.50,286300,8.020975
