Date,Open,High,Low,Close,Volume,Adj Close
2012-09-03,37.34,37.34,37.34,37.34,000,37.34
2012-08-01,37.34,37.34,37.34,37.34,000,37.04
2012-07-02,37.34,37.34,37.34,37.34,000,37.04
2012-06-01,37.34,37.34,37.34,37.34,000,37.04
2012-05-01,37.34,37.34,37.34,37.34,000,37.04
2012-04-02,37.34,37.34,37.34,37.34,000,36.74
2012-03-01,37.34,37.34,37.34,37.34,000,36.74
2012-02-01,37.34,37.34,37.34,37.34,000,36.52
2012-01-02,37.34,37.34,37.34,37.34,000,36.52
2011-12-01,37.34,37.34,37.34,37.34,000,36.52
2010-11-17,37.34,37.34,37.34,37.34,000,36.30
2010-10-27,33.98,33.98,33.98,33.98,000,32.38
2010-09-20,31.49,31.49,31.49,31.49,000,30.00
2010-08-09,29.80,29.80,29.80,29.80,000,28.28
2010-07-05,27.13,27.13,27.13,27.13,400,25.75
2010-05-07,31.96,31.96,31.96,31.96,000,30.21
2008-09-08,19.35,19.35,19.35,19.35,1000,18.29
2008-08-18,22.50,22.50,22.50,22.50,000,21.27
2008-03-03,19.67,19.67,19.67,19.67,200,18.59
2008-02-04,22.83,22.83,22.83,22.83,400,21.58
2007-12-14,23.75,23.75,23.75,23.75,000,22.45
