Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,15.65,15.65,15.27,15.37,118200,14.867267
2013-03-01,15.33,16.360001,15.20,15.70,40400,15.186473
2013-02-01,16.209999,16.65,15.30,15.49,88400,14.983342
2013-01-02,15.75,16.25,15.64,16.110001,57900,15.583063
2012-12-03,14.86,15.61,14.45,15.59,56200,15.080071
2012-11-01,14.34,15.07,13.70,14.77,61700,14.286893
2012-10-01,14.40,15.07,13.81,14.37,95500,13.899976
2012-09-04,13.90,15.00,13.85,14.30,102900,13.832266
2012-08-01,13.46,14.02,12.80,13.90,55400,13.445349
2012-07-02,14.18,14.77,12.95,13.40,62200,12.961703
2012-06-01,12.76,14.31,12.01,14.12,134700,13.658153
2012-05-01,14.21,14.50,12.57,12.83,66700,12.410347
2012-04-02,13.00,14.42,12.88,14.22,87600,13.754883
2012-03-01,13.94,14.43,12.66,12.95,109600,12.526423
2012-02-01,13.69,14.10,13.42,13.84,57500,13.387312
2012-01-03,13.18,14.26,12.54,13.63,62900,13.18418
2011-12-01,13.34,13.73,11.88,12.92,84200,12.497403
2011-11-01,11.61,13.89,11.50,13.32,211100,12.884319
2011-10-03,10.18,12.98,9.37,12.19,80300,11.791281
2011-09-01,12.25,12.25,9.47,10.32,113900,9.982446
2011-08-01,13.79,13.84,10.11,12.19,150400,11.791281
2011-07-01,13.94,14.78,12.88,13.48,100400,13.039086
2011-06-01,14.49,14.50,12.07,14.00,230500,13.542078
2011-05-02,14.95,14.95,12.42,14.34,102200,13.870957
2011-04-01,20.799999,21.08,14.33,15.11,62900,14.615771
2011-03-01,24.50,25.00,18.610001,20.799999,51900,20.119658
2011-02-01,1.54,35.029999,1.49,23.90,77900,23.118261
2011-01-03,1.56,2.65,1.46,1.55,34400,29.986031
2010-12-01,1.43,1.60,1.35,1.53,9400,29.599115
2010-11-01,1.51,1.57,1.15,1.42,9000,27.471073
2010-10-01,1.40,1.59,1.38,1.52,5500,29.405655
2010-09-01,1.50,1.74,1.36,1.43,7000,27.664532
2010-08-02,1.67,1.96,1.30,1.57,6900,30.372948
2010-07-01,1.51,1.85,1.40,1.66,15500,32.114071
2010-06-01,2.38,2.44,1.50,1.50,27200,29.01874
2010-05-03,2.16,2.87,2.00,2.41,44200,46.623444
2010-04-01,1.79,3.88,1.66,2.18,109400,42.173901
2010-03-01,1.31,2.28,1.21,1.68,54600,32.500988
2010-02-01,1.51,1.53,1.04,1.30,27700,25.149574
2010-01-04,1.44,2.15,1.28,1.62,47900,31.34024
2009-12-01,0.85,1.55,0.79,1.31,53000,25.343033
2009-11-02,1.37,1.38,0.79,0.81,61700,15.67012
2009-10-01,2.50,2.70,1.28,1.41,61800,27.277617
2009-09-01,2.74,3.13,2.15,2.52,69100,48.751484
2009-08-03,2.14,3.67,2.12,2.78,74600,53.781395
2009-07-01,3.86,3.92,1.75,2.17,80900,41.980446
2009-06-01,6.11,6.96,3.67,3.75,22200,72.546844
2009-05-01,5.90,9.98,5.50,5.98,21600,115.688042
2009-04-01,5.48,7.45,4.86,5.86,18700,113.366539
2009-03-02,3.95,7.54,3.50,5.60,17200,108.336624
2009-02-02,6.59,9.39,3.67,3.97,18600,76.802933
2009-01-02,10.06,10.22,5.50,6.73,17100,130.197418
2008-12-01,12.30,13.19,9.27,10.04,20400,194.232101
2008-11-03,15.42,17.280001,8.900001,12.80,16600,247.626572
2008-10-01,16.710001,19.450001,10.26,15.60,19800,299.258789
