Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,68.739998,69.610001,68.559998,69.519997,1448200,64.324379
2013-03-01,69.07,70.599998,68.129997,68.68,587800,63.547161
2013-02-01,71.00,71.989998,67.629997,69.139999,705500,63.394299
2013-01-02,69.190002,71.239998,68.029999,69.389999,485400,63.623524
2012-12-03,65.989998,68.449997,65.349998,68.209999,498800,62.541584
2012-11-01,65.440002,68.00,63.029999,65.699997,629400,59.738914
2012-10-01,64.620003,66.010002,62.080002,65.629997,554700,59.675266
2012-09-04,69.519997,70.18,63.98,64.489998,882800,58.638699
2012-08-01,71.580002,71.989998,66.019997,69.43,977900,62.585251
2012-07-02,67.919998,71.779999,67.599998,71.309998,539300,64.279907
2012-06-01,63.889999,67.889999,62.889999,67.669998,649600,60.99876
2012-05-01,67.610001,69.00,63.540001,65.110001,682800,58.194809
2012-04-02,65.75,68.830002,63.040001,67.669998,605600,60.482914
2012-03-01,62.009998,66.019997,61.75,65.75,652000,58.766834
2012-02-01,64.779999,65.949997,61.25,62.00,667500,54.932419
2012-01-03,63.150002,64.849998,59.299999,64.50,1156200,57.147438
2011-12-01,57.549999,62.939999,55.93,62.240002,611100,55.145061
2011-11-01,58.919998,61.639999,54.110001,57.73,822100,50.707996
2011-10-03,54.880001,61.959999,51.720001,60.639999,824700,53.264038
2011-09-01,66.790001,68.370003,54.029999,55.259998,1100100,48.538433
2011-08-01,67.68,68.260002,55.790001,66.82,917300,58.185024
2011-07-01,63.849998,69.480003,63.259998,67.07,591500,58.402718
2011-06-01,63.950001,65.75,61.900002,63.619999,828900,55.398552
2011-05-02,63.200001,64.279999,60.799999,64.279999,598100,55.542763
2011-04-01,57.040001,63.700001,56.02,62.75,560900,54.22073
2011-03-01,59.459999,59.459999,53.990002,56.82,599900,49.096764
2011-02-01,55.84,59.66,54.939999,59.169998,807200,50.676025
2011-01-03,54.360001,55.889999,53.09,55.43,608000,47.472912
2010-12-01,51.669998,54.380001,50.32,53.98,525300,46.231064
2010-11-01,49.900002,52.98,48.68,51.07,665200,43.354374
2010-10-01,48.279999,51.970001,47.259998,49.59,702000,42.097973
2010-09-01,46.490002,50.060001,46.349998,47.970001,852300,40.722721
2010-08-02,46.400002,47.869999,42.740002,45.759998,691700,38.481583
2010-07-01,41.040001,47.110001,38.91,45.52,889800,38.279758
2010-06-01,45.419998,48.689999,40.77,40.849998,950400,34.352551
2010-05-03,48.939999,51.759998,42.27,45.639999,1177800,37.988674
2010-04-01,41.939999,50.369999,41.34,48.43,1064500,40.310944
2010-03-01,40.25,44.259998,39.560001,41.630001,809400,34.650932
2010-02-01,39.07,40.380001,36.080002,40.049999,992400,32.984001
2010-01-04,42.669998,43.18,38.529999,38.77,1155700,31.929832
2009-12-01,39.110001,45.00,37.150002,42.369999,904200,34.894688
2009-11-02,36.639999,40.52,35.459999,38.75,851400,31.552259
2009-10-01,40.029999,40.200001,35.099998,36.25,1019100,29.516628
2009-09-01,36.439999,42.990002,33.709999,40.299999,1155600,32.81435
2009-08-03,29.76,37.290001,29.15,36.700001,1148200,29.553854
2009-07-01,27.67,29.879999,24.50,29.51,1177800,23.763876
2009-06-01,30.549999,32.00,26.76,27.60,1428200,22.225786
2009-05-01,27.780001,32.029999,25.98,30.02,3243900,23.783537
2009-04-01,21.00,29.15,20.809999,27.129999,2150800,21.493914
2009-03-02,18.360001,24.860001,16.379999,21.58,2383900,17.096891
2009-02-02,25.860001,26.99,18.18,18.790001,1954900,14.45357
2009-01-02,31.459999,31.68,24.620001,26.360001,1481100,20.276535
2008-12-01,26.030001,33.509998,22.24,31.34,1796700,24.107231
2008-11-03,33.880001,35.330002,16.860001,26.469999,1397600,19.725714
2008-10-01,45.119999,46.689999,25.790001,33.709999,1357000,25.121037
2008-09-02,49.709999,55.279999,42.470001,45.860001,1133100,34.175343
2008-08-01,48.799999,52.720001,46.650002,48.810001,686500,35.840488
2008-07-01,43.709999,52.060001,40.84,49.18,1014100,36.112171
2008-06-02,49.299999,50.740002,43.41,44.259998,793500,32.499485
2008-05-01,52.93,53.950001,48.470001,49.259998,712900,35.637192
2008-04-01,51.00,55.540001,50.400002,52.91,705700,38.27779
2008-03-03,46.880001,55.189999,46.57,50.200001,1263800,36.317238
2008-02-01,48.25,50.43,44.610001,47.490002,1086400,33.902664
2008-01-02,46.650002,51.27,39.619999,49.259998,1040100,35.166248
2007-12-03,52.610001,53.00,44.759998,48.150002,844300,34.373833
2007-11-01,61.00,62.32,46.73,52.610001,1261100,36.995636
2007-10-01,63.799999,67.32,57.07,62.349998,482500,43.844856
2007-09-04,61.509998,65.18,58.279999,64.25,529500,45.180946
2007-08-01,54.66,65.43,53.549999,61.490002,716500,42.769653
2007-07-02,66.489998,69.400002,54.830002,54.959999,594900,38.22768
2007-06-01,75.199997,75.610001,65.919998,66.970001,617200,46.581295
2007-05-01,69.400002,77.970001,67.18,74.650002,833800,51.39262
2007-04-02,70.199997,72.519997,69.419998,69.650002,485300,47.950378
2007-03-01,71.650002,75.029999,68.029999,70.309998,606700,48.404755
2007-02-01,78.599998,79.849998,70.879997,71.980003,582800,49.072132
2007-01-03,73.980003,79.989998,69.379997,78.400002,408800,53.448944
2006-12-01,79.900002,80.230003,70.75,73.849998,386600,50.346992
2006-11-01,80.760002,80.849998,73.379997,79.730003,513400,53.866577
2006-10-02,76.010002,81.349998,75.300003,80.720001,233000,54.535435
2006-09-01,77.75,78.339996,74.610001,76.010002,244300,51.353298
2006-08-01,76.449997,77.760002,73.029999,77.589996,258200,51.962151
2006-07-03,73.849998,76.580002,72.50,76.449997,246800,51.198692
2006-06-01,71.400002,74.169998,69.43,73.550003,419500,49.256561
2006-05-01,68.650002,72.419998,66.620003,71.400002,385100,47.374516
2006-04-03,71.900002,72.139999,65.379997,68.730003,340200,45.602947
2006-03-01,65.900002,73.50,64.139999,72.050003,488800,47.805798
2006-02-01,65.25,67.449997,63.599998,65.849998,331600,43.295387
2006-01-03,57.919998,65.849998,57.400002,65.099998,253100,42.802273
2005-12-01,59.200001,59.50,57.009998,57.919998,218000,38.081532
2005-11-01,56.299999,60.18,54.849998,59.00,302600,38.374466
2005-10-03,55.790001,57.150002,52.490002,56.349998,323500,36.650864
2005-09-01,52.349998,56.389999,52.200001,55.75,420600,36.260616
2005-08-01,55.25,56.189999,49.560001,52.299999,284700,33.627136
2005-07-01,53.650002,55.939999,53.130001,55.279999,352000,35.543175
2005-06-01,51.75,56.560001,51.700001,53.75,302000,34.559437
2005-05-02,50.900002,52.25,49.279999,51.610001,307200,32.795933
2005-04-01,47.439999,51.00,46.200001,51.00,264700,32.408302
2005-03-01,46.00,49.779999,45.540001,47.029999,407200,29.885538
2005-02-01,45.650002,47.330002,45.279999,46.400002,352800,29.220852
2005-01-03,50.950001,51.049999,45.060001,45.310001,332600,28.534414
2004-12-01,49.029999,51.00,48.34,51.00,241300,32.117744
2004-11-01,45.450001,49.130001,43.900002,49.029999,289900,30.491531
2004-10-01,46.200001,47.50,44.099998,45.400002,347100,28.234053
2004-09-01,47.130001,47.959999,44.59,46.200001,227800,28.731569
2004-08-02,45.00,47.349998,44.360001,47.080002,144900,28.86842
2004-07-01,45.349998,47.25,43.75,45.00,132500,27.593008
2004-06-01,46.689999,46.700001,44.57,45.799999,183900,28.083549
2004-05-03,42.32,46.720001,41.759998,46.709999,236500,28.243828
2004-04-01,45.00,45.00,39.549999,42.32,224300,25.589355
2004-03-01,43.799999,45.619999,43.349998,44.950001,147100,27.179623
2004-02-02,43.450001,44.599998,42.959999,43.700001,139600,26.045286
2004-01-02,44.50,44.860001,40.849998,43.50,164600,25.926086
2003-12-01,42.099998,44.299999,42.049999,44.299999,156200,26.402887
2003-11-03,39.700001,42.50,39.599998,42.040001,134800,24.692919
2003-10-01,38.43,40.669998,38.299999,39.599998,130800,23.259741
2003-09-02,38.25,39.049999,37.799999,38.43,119400,22.572523
2003-08-01,37.310001,38.200001,37.00,38.099998,111900,22.010353
2003-07-01,34.849998,37.540001,34.50,37.310001,159500,21.553972
2003-06-02,34.75,36.220001,34.259998,34.950001,160400,20.190601
2003-05-01,34.950001,36.099998,33.099998,34.740002,211800,19.704336
2003-04-01,32.400002,35.349998,32.400002,34.950001,168700,19.823446
2003-03-03,31.90,33.619999,30.879999,32.400002,137000,18.377102
2003-02-03,31.50,32.080002,30.52,31.90,128300,17.750025
2003-01-02,33.099998,33.990002,30.700001,31.50,154900,17.527454
2002-12-02,34.00,34.700001,32.25,33.00,212300,18.362095
2002-11-01,31.200001,34.099998,31.15,33.990002,147100,18.562922
2002-10-01,33.099998,33.16,28.950001,31.34,195400,17.115679
2002-09-03,35.700001,35.950001,32.419998,33.150002,138600,18.104174
2002-08-01,36.27,36.360001,33.27,35.849998,144100,19.212521
2002-07-01,37.029999,37.66,29.35,37.00,209900,19.828823
2002-06-03,38.450001,39.349998,36.790001,37.029999,182300,19.8449
2002-05-01,39.799999,39.799999,36.52,38.400002,135600,20.238264
2002-04-01,39.099998,41.66,37.799999,39.799999,171000,20.976116
2002-03-01,36.169998,39.529999,35.91,39.119999,130300,20.617729
2002-02-01,34.950001,36.48,34.900002,36.00,116900,18.664448
2002-01-02,36.650002,37.209999,34.299999,34.860001,156400,18.073406
2001-12-03,36.200001,37.549999,36.00,36.700001,198000,19.027369
2001-11-01,34.950001,36.77,34.549999,36.23,128100,18.478226
2001-10-01,37.00,37.299999,33.970001,34.799999,232300,17.74889
2001-09-04,37.700001,37.939999,35.599998,37.099998,198300,18.921947
2001-08-01,37.459999,39.50,36.950001,37.849998,109000,18.980511
2001-07-02,36.599998,37.599998,36.099998,37.450001,128100,18.779926
2001-06-01,34.400002,36.75,34.130001,36.700001,112300,18.403826
2001-05-01,33.400002,34.849998,32.959999,34.400002,139000,16.96279
2001-04-02,33.200001,33.790001,32.549999,33.299999,141600,16.420374
