Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,91.00,91.00,87.279999,87.980003,811400,84.764122
2013-03-01,90.809998,97.860001,88.559998,91.07,371500,87.741173
2013-02-01,81.059998,93.43,81.059998,90.800003,493800,87.481049
2013-01-02,80.440002,83.459999,73.269997,80.110001,334000,77.181793
2012-12-03,77.290001,82.589996,75.660004,78.339996,206900,75.211311
2012-11-01,73.830002,79.75,70.589996,76.57,243000,73.512001
2012-10-01,63.799999,74.480003,60.330002,73.949997,358700,70.996635
2012-09-04,70.25,78.110001,61.810001,62.919998,398900,60.186474
2012-08-01,65.830002,73.50,63.00,70.379997,252300,67.32238
2012-07-02,77.169998,87.449997,63.110001,64.18,479200,61.391735
2012-06-01,79.589996,85.300003,71.559998,76.730003,463000,73.102577
2012-05-01,84.50,87.389999,79.540001,81.360001,368400,77.513687
2012-04-02,103.669998,104.839996,82.160004,84.089996,726700,80.114624
2012-03-01,91.470001,110.660004,86.339996,105.449997,754800,100.187073
2012-02-01,99.00,105.599998,85.68,91.650002,1218100,87.075829
2012-01-03,127.309998,135.00,95.540001,97.25,1032100,92.396332
2011-12-01,141.490005,147.009995,120.580002,123.330002,438900,116.899185
2011-11-01,126.669998,162.360001,125.099998,142.320007,539100,134.898987
2011-10-03,101.199997,151.380005,90.410004,135.850006,870600,128.766357
2011-09-01,159.949997,161.369995,101.279999,102.529999,654400,97.021988
2011-08-01,159.149994,163.270004,119.379997,160.149994,556100,151.546585
2011-07-01,163.699997,183.339996,154.690002,156.070007,450200,147.685776
2011-06-01,150.080002,164.979996,137.149994,162.949997,458100,153.982086
2011-05-02,161.850006,163.479996,144.080002,150.270004,494600,141.999924
2011-04-01,141.770004,169.339996,125.25,160.940002,594600,152.082703
2011-03-01,124.010002,141.779999,112.220001,141.119995,368500,133.164902
2011-02-01,115.919998,124.790001,113.279999,123.970001,248300,116.981674
2011-01-03,104.540001,116.959999,97.730003,115.160004,244200,108.668312
2010-12-01,98.940002,105.00,95.32,103.540001,241300,97.526047
2010-11-01,84.389999,97.660004,83.199997,97.150002,179700,91.507202
2010-10-01,81.82,87.620003,76.349998,83.769997,296200,78.904358
2010-09-01,76.459999,84.089996,76.120003,81.00,224900,76.11792
2010-08-02,81.949997,82.629997,70.00,75.730003,324300,71.165558
2010-07-01,72.720001,83.769997,70.040001,80.199997,398300,75.366135
2010-06-01,63.919998,77.940002,62.650002,72.190002,440400,67.668945
2010-05-03,73.419998,74.150002,59.27,64.699997,529800,60.648018
2010-04-01,62.810001,78.980003,62.810001,73.25,481200,68.66256
2010-03-01,61.50,67.849998,60.82,62.34,390600,58.297802
2010-02-01,66.419998,70.519997,58.700001,61.029999,386400,57.072742
2010-01-04,69.459999,73.07,65.730003,65.919998,235800,61.645668
2009-12-01,60.25,71.260002,57.119999,68.169998,266100,63.583351
2009-11-02,59.07,65.00,56.959999,59.32,436100,55.3288
2009-10-01,51.130001,62.189999,48.240002,58.389999,388300,54.461376
2009-09-01,43.139999,52.57,41.470001,51.549999,363200,47.912682
2009-08-03,42.41,44.98,40.009998,43.049999,287900,40.012432
2009-07-01,34.459999,42.200001,31.52,41.689999,438000,38.748394
2009-06-01,38.50,40.220001,32.490002,34.200001,385500,31.646095
2009-05-01,30.719999,40.27,29.43,37.82,869700,34.99577
2009-04-01,28.27,38.119999,27.450001,30.709999,865600,28.416712
2009-03-02,34.139999,35.52,26.33,28.440001,933500,26.189632
2009-02-02,35.259998,40.50,32.900002,34.759998,699100,32.009548
2009-01-02,35.689999,39.400002,32.790001,35.950001,423200,33.105392
2008-12-01,47.009998,47.009998,31.120001,35.529999,711500,32.572056
2008-11-03,42.77,47.900002,35.299999,47.900002,535200,43.912231
2008-10-01,51.110001,51.349998,30.379999,43.27,696800,39.66769
2008-09-02,59.009998,60.990002,46.080002,51.610001,633000,47.079006
2008-08-01,54.23,62.57,50.00,60.099998,452200,54.823643
2008-07-01,57.709999,58.169998,49.52,54.720001,489900,49.915974
2008-06-02,47.209999,59.970001,47.049999,58.349998,463000,53.05175
2008-05-01,47.25,51.169998,44.84,47.689999,227200,43.359692
2008-04-01,40.110001,49.900002,39.509998,47.529999,321300,43.214218
2008-03-03,37.00,40.299999,34.860001,40.099998,316500,36.354576
2008-02-01,34.25,39.779999,33.400002,36.939999,371300,33.489727
2008-01-02,37.110001,38.560001,31.52,34.349998,359300,31.141638
