Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,49.32,49.419998,47.610001,48.310001,1274800,46.809967
2013-03-01,46.779999,49.740002,45.32,49.290001,446500,47.759541
2013-02-01,52.52,52.799999,46.189999,47.23,384900,45.7635
2013-01-02,52.950001,54.540001,49.889999,52.330002,472300,50.526714
2012-12-03,48.82,52.330002,47.380001,51.630001,450500,49.850834
2012-11-01,48.849998,51.110001,44.060001,48.459999,519100,46.79007
2012-10-01,52.709999,54.43,48.459999,48.610001,422900,46.934902
2012-09-04,47.060001,56.48,46.380001,52.32,560900,50.349102
2012-08-01,47.919998,51.970001,46.23,47.259998,286900,45.47971
2012-07-02,47.799999,49.73,43.490002,47.860001,441700,45.889732
2012-06-01,44.060001,49.360001,42.18,47.84,604900,45.870556
2012-05-01,55.43,56.900002,44.060001,45.060001,572700,43.205002
2012-04-02,52.200001,57.439999,49.950001,55.66,594200,53.368626
2012-03-01,51.560001,53.490002,48.77,52.23,475300,49.920254
2012-02-01,53.169998,57.18,50.470001,51.299999,418100,49.03138
2012-01-03,53.310001,58.00,51.549999,52.48,323500,50.159199
2011-12-01,54.139999,55.549999,47.189999,51.48,378000,49.043671
2011-11-01,53.400002,59.040001,46.549999,54.139999,528300,51.577785
2011-10-03,44.470001,60.00,39.32,56.720001,592200,54.035686
2011-09-01,50.919998,54.689999,44.34,44.889999,533600,42.601833
2011-08-01,58.509998,58.639999,42.799999,50.470001,558200,47.897408
2011-07-01,57.740002,59.990002,53.290001,57.439999,578600,54.29063
2011-06-01,52.240002,59.040001,47.50,57.68,650900,54.517475
2011-05-02,51.259998,53.700001,48.900002,52.57,481800,49.687649
2011-04-01,42.84,51.869999,40.00,51.259998,542800,48.449474
2011-03-01,41.880001,43.459999,36.59,42.709999,395900,40.224686
2011-02-01,41.720001,45.41,39.529999,41.580002,576200,39.160446
2011-01-03,40.779999,44.939999,38.790001,41.150002,584200,38.755466
2010-12-01,37.369999,42.189999,37.25,40.240002,293700,37.736496
2010-11-01,36.080002,38.970001,34.150002,36.470001,327900,34.201046
2010-10-01,34.27,38.75,33.849998,35.66,451900,33.441437
2010-09-01,31.559999,35.619999,31.49,33.709999,366500,31.459583
2010-08-02,35.900002,36.77,30.17,31.01,437800,28.939831
2010-07-01,32.77,38.860001,31.200001,34.950001,532400,32.426682
2010-06-01,38.25,40.900002,32.720001,32.830002,762900,30.459742
2010-05-03,39.48,43.02,33.02,38.91,813900,36.100777
2010-04-01,37.34,43.240002,36.240002,39.27,616700,36.434788
2010-03-01,29.889999,38.82,29.790001,36.599998,598500,33.804283
2010-02-01,26.98,31.60,25.700001,29.870001,528500,27.588362
2010-01-04,27.549999,33.040001,26.60,26.799999,701500,24.752865
2009-12-01,23.52,28.35,22.559999,26.950001,487400,24.728008
2009-11-02,21.15,25.299999,20.120001,23.18,514800,21.268839
2009-10-01,23.18,24.959999,20.65,21.030001,688800,19.296104
2009-09-01,21.209999,26.299999,19.940001,23.389999,630900,21.29283
2009-08-03,19.08,22.00,17.860001,21.309999,670900,19.399324
2009-07-01,21.07,22.17,16.290001,18.690001,799900,16.87146
2009-06-01,22.959999,25.25,18.690001,20.809999,652000,18.785183
2009-05-01,20.59,23.290001,18.50,22.48,706900,20.292692
2009-04-01,13.68,21.370001,13.52,20.67,736500,18.496319
2009-03-02,13.28,16.25,12.02,14.12,881600,12.635125
2009-02-02,16.209999,18.879999,13.11,13.70,664200,12.259293
2009-01-02,20.719999,24.219999,16.309999,16.50,756100,14.764841
2008-12-01,16.280001,20.870001,14.21,20.540001,671200,18.191694
2008-11-03,18.09,20.299999,11.72,16.66,751300,14.755287
2008-10-01,25.219999,25.58,16.34,18.10,1171400,16.030655
2008-09-02,38.610001,38.740002,24.120001,25.65,1034200,22.512505
2008-08-01,38.540001,40.139999,35.290001,38.810001,914400,34.062782
2008-07-01,43.099998,43.119999,35.619999,38.700001,792800,33.808537
2008-06-02,54.959999,55.900002,41.689999,43.650002,1049600,38.132885
2008-05-01,51.27,61.75,50.880001,55.200001,978700,48.22303
2008-04-01,57.169998,63.07,45.200001,51.279999,982100,44.644283
2008-03-03,63.470001,64.949997,55.150002,55.970001,694000,48.72739
2008-02-01,61.880001,68.610001,57.759998,62.830002,504200,54.699699
2008-01-02,74.730003,75.379997,50.77,61.529999,878600,53.437325
2007-12-03,76.68,79.660004,68.800003,75.169998,456800,65.28334
2007-11-01,143.00,145.610001,65.849998,75.449997,806300,65.526512
2007-10-01,129.75,150.320007,123.629997,144.910004,1049200,62.925426
2007-09-04,115.839996,133.009995,110.629997,130.009995,988400,56.331528
2007-08-01,117.699997,120.239998,99.529999,116.839996,1391300,50.625149
