Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,28.959999,29.23,28.200001,28.23,23400,23.463451
2013-03-01,28.15,29.620001,26.07,29.24,20100,24.302916
2013-02-01,30.60,31.35,26.91,28.43,19900,23.520222
2013-01-02,27.049999,31.92,27.01,30.49,25600,25.086262
2012-12-03,26.48,27.440001,23.60,26.92,40300,22.035461
2012-11-01,27.75,28.43,24.370001,26.52,27200,21.532118
2012-10-01,31.59,32.43,26.84,27.73,33600,22.359066
2012-09-04,35.00,35.00,30.17,31.41,24000,25.3263
2012-08-01,39.23,39.970001,35.18,35.279999,15300,28.31834
2012-07-02,34.77,39.25,34.540001,39.00,10800,31.151119
2012-06-01,35.709999,36.82,31.780001,34.990002,18100,27.788588
2012-05-01,41.119999,41.650002,35.799999,36.099998,14700,28.495655
2012-04-02,41.860001,42.259998,36.150002,40.810001,22900,32.04866
2012-03-01,47.400002,48.209999,40.709999,42.189999,17200,32.949345
2012-02-01,46.200001,49.200001,43.150002,47.48,14700,36.895176
2012-01-03,49.029999,50.00,42.689999,46.400002,18800,35.894718
2011-12-01,46.950001,51.00,46.919998,48.869999,9200,37.588676
2011-11-01,46.02,48.470001,46.02,46.93,10000,35.953148
2011-10-03,44.990002,47.25,40.00,46.779999,11000,35.647766
2011-09-01,45.689999,46.990002,43.34,44.580002,11700,33.798046
2011-08-01,44.790001,46.200001,37.830002,46.060001,23700,34.719452
2011-07-01,44.73,48.450001,42.00,43.360001,19800,32.499954
2011-06-01,42.43,44.869999,40.549999,44.720001,16800,33.283993
2011-05-02,45.50,45.50,38.720001,42.41,23100,31.331633
2011-04-01,47.57,47.889999,41.759998,45.630001,16500,33.528397
2011-03-01,47.75,48.50,40.630001,47.23,16700,34.556782
2011-02-01,45.00,48.50,44.549999,47.580002,19700,34.635414
2011-01-03,40.119999,44.990002,40.119999,44.740002,19600,32.419994
2010-12-01,40.16,42.259998,39.490002,39.880001,14700,28.73175
2010-11-01,39.029999,41.830002,37.669998,40.220001,21400,28.808847
2010-10-01,36.00,38.75,35.139999,38.68,23200,27.576752
2010-09-01,35.060001,36.919998,34.52,35.650002,23600,25.24906
2010-08-02,35.150002,36.50,34.50,34.860001,14400,24.525732
2010-07-01,35.00,36.150002,33.110001,34.900002,21100,24.405701
2010-06-01,34.200001,39.400002,33.50,34.75,17400,24.141397
2010-05-03,38.490002,39.48,31.00,33.790001,28200,23.332434
2010-04-01,32.25,38.689999,32.00,38.50,27600,26.390945
2010-03-01,33.700001,34.48,28.209999,32.029999,29100,21.785921
2010-02-01,32.490002,34.16,29.84,33.380001,19500,22.52063
2010-01-04,33.540001,35.00,32.259998,32.549999,14100,21.829233
2009-12-01,34.34,35.98,33.529999,33.720001,16300,22.462023
2009-11-02,32.220001,36.200001,31.27,34.240002,14300,22.690392
2009-10-01,30.450001,36.369999,28.200001,32.02,24100,21.103777
2009-09-01,25.389999,31.450001,23.58,30.82,26700,20.182461
2009-08-03,24.40,27.75,23.75,25.049999,17100,16.29933
2009-07-01,25.75,25.75,22.00,24.360001,14100,15.75188
2009-06-01,26.190001,30.40,23.99,24.90,21700,16.029957
2009-05-01,20.08,26.540001,20.00,26.41,21700,16.913242
2009-04-01,17.799999,20.90,17.280001,20.139999,22800,12.829409
2009-03-02,16.98,21.379999,13.92,18.190001,68200,11.517047
2009-02-02,33.00,35.27,15.72,18.41,47300,11.587222
2009-01-02,28.35,34.279999,27.85,33.18,20200,20.766542
2008-12-01,28.01,30.92,21.52,27.85,31500,17.304955
2008-11-03,45.450001,48.900002,28.50,28.76,42500,17.710917
2008-10-01,45.360001,47.00,26.030001,45.490002,42700,27.660013
2008-09-02,46.310001,53.560001,43.029999,46.049999,32600,27.679626
2008-08-01,50.25,52.639999,45.560001,48.509998,31700,28.848108
2008-07-01,61.389999,64.25,47.25,50.52,44900,29.712599
2008-06-02,52.00,60.59,49.860001,60.18,34200,35.108227
2008-05-01,48.509998,52.82,45.50,52.139999,21000,30.078358
2008-04-01,48.849998,51.77,47.360001,48.959999,13400,28.012951
2008-03-03,47.02,52.099998,46.419998,49.049999,29400,27.882811
2008-02-01,44.150002,48.84,43.639999,47.02,24100,26.554476
2008-01-02,41.25,44.099998,40.349998,44.00,21700,24.669607
2007-12-03,40.009998,43.029999,39.049999,41.25,23300,22.883188
2007-11-01,40.310001,42.50,39.00,40.200001,17100,22.147755
2007-10-01,39.650002,41.400002,39.23,40.299999,12900,22.050854
2007-09-04,41.099998,43.560001,39.419998,39.93,18500,21.692343
2007-08-01,41.07,42.200001,37.830002,41.009998,15900,22.141134
2007-07-02,42.400002,44.650002,39.950001,41.150002,23000,22.060144
2007-06-01,44.099998,44.799999,42.25,42.52,21800,22.633587
2007-05-01,43.669998,45.599998,42.799999,44.189999,14500,23.362116
2007-04-02,42.00,45.43,41.900002,43.34,19900,22.76424
2007-03-01,43.93,44.650002,40.169998,41.970001,20100,21.914682
2007-02-01,47.25,49.990002,43.900002,44.400002,29400,23.03797
2007-01-03,49.00,49.00,43.48,47.25,39600,24.370396
2006-12-01,53.50,53.50,49.970001,50.610001,20500,25.977636
2006-11-01,49.099998,53.75,47.099998,53.75,14700,27.411215
2006-10-02,46.50,50.549999,42.799999,48.900002,18500,24.658842
2006-09-01,48.009998,48.25,42.91,46.349998,23100,23.232239
2006-08-01,48.50,50.939999,45.049999,48.099998,15600,23.911827
2006-07-03,44.990002,51.709999,44.75,50.00,17500,24.685289
2006-06-01,42.400002,45.84,39.419998,44.990002,20800,22.072212
2006-05-01,46.700001,47.43,40.52,42.41,14900,20.669296
2006-04-03,46.580002,49.43,45.169998,46.669998,16200,22.612804
2006-03-01,44.700001,46.580002,40.549999,46.580002,22800,22.427704
2006-02-01,47.700001,48.00,41.549999,44.650002,25700,21.310057
2006-01-03,48.900002,49.68,45.48,47.950001,19800,22.697273
2005-12-01,49.049999,51.799999,45.75,48.900002,20500,22.952475
2005-11-01,51.889999,54.650002,47.50,49.25,24800,22.948112
2005-10-03,54.549999,59.00,46.009998,52.389999,37100,24.273434
2005-09-01,45.77,56.34,44.00,54.299999,22500,24.955187
2005-08-01,42.200001,45.950001,38.549999,45.57,21200,20.804237
2005-07-01,40.799999,44.00,40.720001,42.349998,15000,19.211292
2005-06-01,38.349998,42.349998,38.349998,40.650002,17100,18.345612
2005-05-02,38.389999,39.990002,36.25,38.560001,17000,17.29385
2005-04-01,39.200001,41.00,36.049999,38.540001,26200,17.170389
2005-03-01,45.25,45.25,36.799999,39.099998,35900,17.320124
2005-02-01,41.060001,45.950001,40.200001,45.25,21800,19.924603
2005-01-03,39.68,41.450001,35.259998,41.060001,27200,17.984917
2004-12-01,41.25,41.299999,34.509998,39.880001,34400,17.358004
2004-11-01,36.139999,41.75,35.07,41.25,34600,17.846487
2004-10-01,32.82,41.25,32.82,35.919998,45700,15.447238
2004-09-01,29.950001,33.330002,29.40,33.18,18800,14.177427
2004-08-02,30.85,32.599998,29.700001,29.799999,19900,12.635005
2004-07-01,27.799999,30.85,27.74,30.85,17000,12.994184
2004-06-01,28.940001,30.16,27.200001,27.66,15800,11.571192
2004-05-03,28.75,30.23,26.25,28.709999,20900,11.93409
2004-04-01,28.48,29.700001,27.700001,28.25,15300,11.665659
2004-03-01,26.799999,28.40,25.549999,28.35,17400,11.622582
2004-02-02,26.10,28.00,24.50,26.799999,21500,10.919641
2004-01-02,28.549999,28.85,25.52,26.10,28500,10.570024
2003-12-01,26.85,30.58,26.85,28.60,29200,11.511848
2003-11-03,25.120001,28.00,24.709999,26.85,28100,10.742779
2003-10-01,21.15,25.450001,21.15,25.00,36400,9.937039
2003-09-02,22.40,22.540001,18.860001,21.00,75300,8.273765
2003-08-01,24.10,24.50,21.700001,22.34,15600,8.720992
2003-07-01,23.60,25.40,23.51,24.15,10300,9.362006
2003-06-02,25.50,25.75,21.700001,23.620001,29900,9.097294
2003-05-01,21.00,24.690001,21.00,24.59,15700,9.387017
2003-04-01,18.92,21.299999,18.299999,21.049999,8400,7.970239
2003-03-03,20.34,21.75,17.450001,18.93,15400,7.098455
2003-02-03,19.00,21.10,18.549999,20.59,13500,7.648878
2003-01-02,19.25,21.450001,18.459999,18.85,12400,6.953053
2002-12-02,18.74,20.23,18.52,19.50,8300,7.15144
2002-11-01,17.66,19.00,17.26,18.690001,5500,6.78345
2002-10-01,17.690001,18.10,17.00,17.700001,8300,6.376585
2002-09-03,17.77,18.030001,16.799999,17.629999,6900,6.309915
2002-08-01,15.20,17.99,14.76,17.82,6600,6.330396
2002-07-01,15.70,15.80,14.50,15.31,8400,5.393495
2002-06-03,16.549999,16.60,15.00,15.45,8100,5.393199
2002-05-01,18.40,18.780001,16.219999,16.799999,7600,5.824389
2002-04-01,18.85,19.40,17.75,18.700001,8700,6.452079
2002-03-01,17.99,19.50,17.99,18.93,9900,6.497059
2002-02-01,17.65,18.700001,16.90,17.99,8500,6.149137
2002-01-02,18.700001,19.40,17.360001,17.65,11000,5.993915
2001-12-03,17.99,18.709999,17.00,18.60,8800,6.280212
2001-11-01,18.700001,18.799999,15.05,17.99,11300,6.027874
2001-10-01,16.299999,18.799999,15.20,18.799999,12000,6.245601
2001-09-04,18.530001,20.049999,15.76,16.299999,20800,5.372969
2001-08-01,17.00,20.040001,16.790001,18.530001,12900,6.053295
2001-07-02,15.37,17.450001,15.23,16.959999,15600,5.484712
2001-06-01,20.18,20.18,15.25,15.37,27200,4.903476
2001-05-01,21.75,23.200001,20.049999,20.18,19800,6.364383
2001-04-02,18.10,22.17,17.35,21.860001,24900,6.828711
2001-03-01,16.450001,18.950001,16.450001,17.950001,19800,5.528892
2001-02-01,16.10,17.40,15.90,16.450001,12700,4.992482
2001-01-02,16.1875,16.99,15.50,16.15,16300,4.84384
2000-12-01,15.375,16.875,14.125,16.0625,16000,4.756574
2000-11-01,14.50,16.9375,13.625,15.125,8500,4.431268
2000-10-02,16.125,16.4375,13.375,14.4375,16000,4.179341
2000-09-01,15.50,17.00,14.625,16.0625,15400,4.590646
2000-08-01,13.125,15.50,13.125,15.4375,6900,4.355495
2000-07-03,13.8125,14.875,13.00,13.00,8600,3.620743
2000-06-01,13.875,14.375,13.50,13.8125,7700,3.80674
2000-05-01,12.50,13.9375,11.50,13.9375,8900,3.803286
2000-04-03,11.00,12.75,10.00,12.75,11200,3.442979
2000-03-01,10.875,14.75,9.875,10.0625,21600,2.690464
2000-02-01,11.75,12.00,10.875,10.9375,5300,2.896153
2000-01-03,9.875,11.875,9.50,11.875,6900,3.110141
