Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,67.559998,67.949997,67.209999,67.459999,612600,65.745087
2013-03-01,67.43,70.550003,66.32,67.790001,340700,66.066696
2013-02-01,64.669998,68.870003,64.019997,67.870003,342700,66.144669
2013-01-02,60.099998,64.389999,59.189999,64.150002,377900,62.334454
2012-12-03,56.990002,59.450001,56.16,58.759998,272000,57.096996
2012-11-01,55.669998,57.52,52.810001,56.669998,281800,55.066147
2012-10-01,52.119999,55.939999,49.650002,55.549999,400600,53.777889
2012-09-04,52.419998,55.560001,51.080002,51.919998,384100,50.263687
2012-08-01,50.68,53.209999,47.549999,52.34,282600,50.670292
2012-07-02,53.450001,55.060001,48.77,50.490002,638700,48.688454
2012-06-01,50.599998,53.209999,47.799999,53.02,394300,51.128178
2012-05-01,54.880001,56.669998,50.799999,51.98,405800,50.125286
2012-04-02,49.84,56.599998,48.68,55.060001,432200,52.909378
2012-03-01,48.970001,51.189999,47.169998,49.919998,241900,47.970142
2012-02-01,48.23,50.990002,46.689999,48.799999,302500,46.89389
2012-01-03,45.630001,49.860001,44.970001,47.73,296600,45.692608
2011-12-01,44.349998,45.369999,40.880001,44.299999,269700,42.409019
2011-11-01,40.00,45.330002,39.610001,44.599998,371600,42.696213
2011-10-03,31.68,44.599998,29.879999,41.720001,343900,39.775127
2011-09-01,39.18,39.73,30.809999,31.879999,347600,30.393841
2011-08-01,43.91,44.040001,33.080002,39.209999,557200,37.382137
2011-07-01,49.290001,50.400002,42.650002,43.23,403200,41.013359
2011-06-01,48.599998,49.610001,44.130001,49.23,338800,46.705708
2011-05-02,49.599998,50.599998,46.369999,48.599998,328000,46.108009
2011-04-01,44.91,49.66,42.009998,49.540001,296100,46.83622
2011-03-01,43.220001,44.889999,40.00,44.549999,221900,42.118561
2011-02-01,38.00,45.919998,37.889999,43.009998,506000,40.662609
2011-01-03,40.080002,41.68,37.080002,37.709999,285200,35.511444
2010-12-01,37.23,41.07,37.18,39.740002,266200,37.423096
2010-11-01,35.16,37.57,34.57,36.619999,385500,34.484993
2010-10-01,30.219999,35.279999,29.83,35.07,609000,32.868931
2010-09-01,28.49,30.799999,28.190001,29.950001,394100,28.070272
2010-08-02,34.169998,34.75,27.969999,28.049999,601900,26.28952
2010-07-01,36.349998,39.490002,32.91,33.68,487900,31.386877
2010-06-01,38.66,40.669998,36.009998,36.130001,416400,33.670067
2010-05-03,37.900002,41.150002,36.049999,38.889999,584900,36.242149
2010-04-01,38.34,41.740002,37.709999,37.73,402200,35.020485
2010-03-01,34.43,39.220001,34.189999,38.099998,327700,35.363911
2010-02-01,33.689999,36.73,33.490002,34.299999,407700,31.836803
2010-01-04,34.41,37.00,33.43,33.52,301200,30.970589
2009-12-01,32.380001,35.32,32.18,34.259998,382700,31.654306
2009-11-02,31.030001,34.16,30.559999,32.110001,299600,29.66783
2009-10-01,33.970001,36.650002,30.58,31.040001,485100,28.543409
2009-09-01,32.919998,35.00,31.629999,33.91,453400,31.182571
2009-08-03,31.50,33.849998,31.120001,32.990002,461500,30.336569
2009-07-01,24.25,31.870001,22.23,31.33,736300,28.668686
2009-06-01,23.27,26.290001,22.75,24.040001,494700,21.997932
2009-05-01,22.66,24.34,21.52,22.870001,525800,20.927319
2009-04-01,19.309999,23.309999,18.879999,22.75,627500,20.669155
2009-03-02,19.530001,22.68,17.76,19.629999,547900,17.834528
2009-02-02,18.32,22.120001,18.129999,19.82,548300,18.007149
2009-01-02,20.67,22.01,17.92,18.67,468700,16.836296
2008-12-01,20.629999,21.85,18.719999,20.700001,514000,18.666918
2008-11-03,22.860001,23.15,16.60,21.23,529500,19.144861
2008-10-01,29.469999,30.40,18.01,23.25,741100,20.808401
2008-09-02,32.73,37.189999,29.379999,29.969999,632700,26.822699
2008-08-01,30.799999,33.619999,29.530001,32.389999,373600,28.988562
2008-07-01,28.700001,31.99,24.809999,30.59,766900,27.246414
2008-06-02,33.419998,33.43,28.66,29.00,435300,25.830206
2008-05-01,29.32,33.490002,28.93,33.43,578000,29.775993
2008-04-01,33.700001,35.75,28.790001,28.879999,700800,25.603197
2008-03-03,36.48,37.59,30.799999,33.439999,602100,29.645807
2008-02-01,33.419998,40.470001,32.810001,36.529999,560500,32.385208
2008-01-02,36.959999,37.849998,29.01,33.299999,568700,29.412964
2007-12-03,39.759998,40.720001,36.790001,37.029999,309300,32.707569
2007-11-01,39.060001,40.720001,36.419998,39.810001,413000,35.163067
2007-10-01,48.540001,49.310001,39.00,39.450001,370400,34.716885
2007-09-04,49.240002,50.369999,46.080002,48.599998,273800,42.769089
2007-08-01,45.040001,51.57,44.830002,49.23,484700,43.323502
2007-07-02,46.75,49.939999,44.610001,45.279999,284000,39.728771
2007-06-01,44.209999,47.84,43.18,46.509998,351800,40.807976
2007-05-01,41.18,44.68,41.049999,44.150002,341800,38.737312
