Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,21.58,21.74,21.309999,21.42,432600,21.168365
2013-03-01,18.049999,21.50,17.799999,21.25,227600,21.000362
2013-02-01,14.09,18.41,13.85,18.200001,101600,17.986193
2013-01-02,11.91,14.57,11.90,13.98,57500,13.792303
2012-12-03,11.22,11.99,10.77,11.87,44700,11.710632
2012-11-01,10.71,11.44,10.47,11.11,41400,10.960836
2012-10-01,9.73,10.97,9.26,10.63,44800,10.463511
2012-09-04,9.05,10.40,9.00,9.67,67400,9.518547
2012-08-01,8.06,9.25,7.65,9.04,47100,8.898414
2012-07-02,8.32,8.87,7.72,8.08,52000,7.931108
2012-06-01,7.28,8.59,7.08,8.32,144400,8.166685
2012-05-01,7.50,7.72,6.91,7.32,31100,7.185113
2012-04-02,7.51,7.76,7.15,7.50,33200,7.337483
2012-03-01,5.95,7.59,5.83,7.55,51400,7.3864
2012-02-01,5.80,6.05,5.61,5.99,49100,5.860203
2012-01-03,5.67,6.04,5.40,5.73,17100,5.582363
2011-12-01,5.86,5.94,5.12,5.60,25300,5.455712
2011-11-01,5.88,6.15,5.60,5.83,23500,5.679786
2011-10-03,6.25,6.33,5.41,5.96,21400,5.781538
2011-09-01,5.78,6.14,5.54,5.92,17800,5.742735
2011-08-01,5.69,5.96,5.05,5.75,21800,5.577826
2011-07-01,5.67,6.06,5.23,5.71,20000,5.512846
2011-06-01,5.94,6.01,5.42,5.66,20600,5.464572
2011-05-02,6.42,6.57,5.75,5.93,25700,5.72525
2011-04-01,5.51,6.46,5.41,6.40,25000,6.153986
2011-03-01,5.63,5.98,5.32,5.51,22400,5.298198
2011-02-01,5.17,5.91,5.11,5.70,34800,5.480894
2011-01-03,4.90,5.18,4.62,5.10,23000,4.903957
2010-12-01,4.71,4.99,4.57,4.85,31800,4.663568
2010-11-01,5.26,5.34,4.50,4.70,25200,4.519333
2010-10-01,5.07,5.49,4.90,5.25,28700,5.048192
2010-09-01,4.60,5.07,4.50,5.01,21000,4.817417
2010-08-02,4.70,4.80,4.26,4.50,21100,4.327022
2010-07-01,4.62,4.79,4.00,4.66,25600,4.480871
2010-06-01,4.62,4.94,4.27,4.66,24700,4.480871
2010-05-03,5.00,5.10,4.33,4.67,32800,4.490487
2010-04-01,4.65,5.18,4.56,4.97,25700,4.778955
2010-03-01,4.07,4.65,3.95,4.60,31900,4.423177
2010-02-01,3.86,4.54,3.56,4.04,25600,3.884704
2010-01-04,3.89,4.12,3.70,3.85,19500,3.702007
2009-12-01,3.95,4.11,3.46,3.93,27100,3.778932
2009-11-02,3.05,4.45,3.05,3.99,27900,3.836626
2009-10-01,3.90,4.59,3.70,3.80,28300,3.653929
2009-09-01,4.02,4.18,3.83,3.90,24100,3.750085
2009-08-03,3.68,4.23,3.55,4.09,22200,3.932782
2009-07-01,3.54,3.79,2.62,3.65,36600,3.509695
2009-06-01,3.64,4.11,2.98,3.57,40900,3.43277
2009-05-01,2.70,3.63,2.66,3.63,88200,3.490464
2009-04-01,1.49,2.77,1.49,2.63,81500,2.528904
2009-03-02,2.45,2.45,1.37,1.53,78100,1.471187
2009-02-02,2.29,2.45,1.10,2.40,87300,2.307745
2009-01-02,2.01,2.59,2.00,2.21,31700,2.125048
2008-12-01,2.30,2.50,1.66,2.01,66300,1.932736
2008-11-03,2.38,2.72,1.85,2.35,61200,2.259667
2008-10-01,3.59,3.67,2.33,2.38,58000,2.288514
2008-09-02,4.35,4.41,3.20,3.50,127300,3.365461
2008-08-01,6.20,6.26,4.34,4.35,68000,4.182787
2008-07-01,6.60,6.80,6.06,6.20,33400,5.961674
2008-06-02,7.22,7.28,6.10,6.60,46400,6.346298
2008-05-01,7.97,8.48,6.95,7.22,41700,6.942465
2008-04-01,7.79,9.25,7.76,8.30,31200,7.980951
2008-03-03,7.90,8.09,6.81,7.75,53900,7.452092
2008-02-01,8.06,8.41,7.00,7.90,76600,7.596326
2008-01-02,8.80,9.45,7.87,8.08,43300,7.769407
2007-12-03,10.79,11.06,8.47,8.80,53500,8.461731
