Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,26.719999,26.719999,26.49,26.58,36600,23.058008
2013-03-01,26.49,26.969999,26.27,26.559999,46600,23.040657
2013-02-01,27.129999,27.309999,26.280001,26.48,69300,22.971258
2013-01-02,26.959999,27.700001,26.780001,27.07,45400,23.079887
2012-12-03,26.66,27.200001,26.18,26.809999,26700,22.858212
2012-11-01,27.18,27.67,26.209999,26.65,26700,22.721796
2012-10-01,27.040001,28.09,26.860001,27.24,38100,22.837048
2012-09-04,27.190001,27.48,26.540001,26.879999,29000,22.535236
2012-08-01,27.67,27.91,27.02,27.16,36800,22.769979
2012-07-02,26.58,27.65,26.26,27.50,61500,22.668257
2012-06-01,26.02,26.559999,25.50,26.469999,66100,21.819227
2012-05-01,26.18,26.59,25.440001,26.02,70600,21.448292
2012-04-02,26.18,26.52,25.60,26.08,70200,21.124474
2012-03-01,26.639999,26.809999,25.65,26.040001,141900,21.092075
2012-02-01,26.459999,27.129999,26.25,26.530001,52900,21.488968
2012-01-03,26.84,26.870001,25.85,26.43,55800,21.043261
2011-12-01,25.469999,26.90,25.469999,26.540001,50400,21.13084
2011-11-01,25.67,25.780001,25.139999,25.469999,54900,20.278919
2011-10-03,25.059999,25.85,24.469999,25.75,55600,20.133377
2011-09-01,25.879999,25.92,24.75,25.09,97100,19.617336
2011-08-01,26.00,26.049999,22.469999,25.799999,98300,20.17247
2011-07-01,25.549999,26.10,25.40,25.950001,323600,19.956169
2011-06-08,25.01,25.68,24.82,25.68,451200,19.748533
