Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,10.71,10.73,10.54,10.59,2258200,10.034806
2013-03-01,9.69,10.84,9.60,10.69,1254000,10.129563
2013-02-01,8.94,9.81,8.78,9.72,734900,9.210418
2013-01-02,8.49,8.99,8.34,8.90,519800,8.390862
2012-12-03,8.27,8.38,7.95,8.35,623900,7.872325
2012-11-01,8.40,8.52,7.67,8.21,540000,7.69857
2012-10-01,7.96,8.57,7.87,8.41,534100,7.886111
2012-09-04,7.97,8.49,7.78,7.94,711700,7.445389
2012-08-01,7.62,8.08,7.46,7.99,408200,7.492274
2012-07-02,7.76,8.09,7.44,7.59,418300,7.075598
2012-06-01,7.12,7.76,6.85,7.75,488300,7.224754
2012-05-01,7.83,8.05,7.09,7.24,457500,6.749318
2012-04-02,7.56,7.90,7.07,7.86,534700,7.284477
2012-03-01,7.39,7.74,7.16,7.58,532300,7.024979
2012-02-01,7.42,7.81,7.16,7.39,530000,6.848891
2012-01-03,6.58,7.47,6.37,7.37,729900,6.790177
2011-12-01,5.93,6.60,5.77,6.41,1432400,5.905703
2011-11-01,6.28,6.85,5.40,5.95,562600,5.439939
2011-10-03,5.81,6.76,5.25,6.56,730700,5.997648
2011-09-01,7.21,7.26,5.73,5.85,750800,5.348512
2011-08-01,8.60,8.71,6.12,7.22,957600,6.601069
2011-07-01,8.58,9.19,8.33,8.51,559900,7.725261
2011-06-01,8.71,8.78,8.06,8.54,681900,7.752494
2011-05-02,9.04,9.10,8.19,8.77,580900,7.961286
2011-04-01,8.43,9.02,8.09,9.00,620400,8.128059
2011-03-01,8.48,8.48,7.71,8.35,531200,7.541033
2011-02-01,8.57,8.79,8.04,8.48,613300,7.658437
2011-01-03,8.42,8.73,8.08,8.52,789100,7.65458
2010-12-01,7.55,8.44,7.40,8.34,586900,7.492863
2010-11-01,7.46,8.04,7.24,7.42,727600,6.666312
2010-10-01,7.21,7.58,6.86,7.41,702900,6.657328
2010-09-01,6.68,7.35,6.61,7.14,658500,6.388782
2010-08-02,6.98,7.37,6.13,6.57,829200,5.878754
2010-07-01,6.76,7.20,6.00,6.85,1377600,6.129294
2010-06-01,7.64,7.85,6.68,6.74,1023700,6.005021
2010-05-03,8.11,8.64,6.62,7.71,1053000,6.869245
2010-04-01,8.33,8.67,7.94,8.06,855700,7.181079
2010-03-01,7.21,8.68,7.17,8.31,816500,7.403817
2010-02-01,7.70,7.72,6.70,7.19,1051000,6.40595
2010-01-04,7.71,8.44,7.52,7.66,1034300,6.824697
2009-12-01,7.28,8.05,7.15,7.63,752500,6.772476
2009-11-02,7.36,7.56,6.81,7.20,893000,6.390803
2009-10-01,8.18,8.58,7.17,7.32,1436200,6.497317
2009-09-01,8.23,9.17,7.42,8.28,3315700,7.320104
2009-08-03,8.79,10.95,7.47,8.29,794100,7.328945
2009-07-01,8.54,8.84,7.30,8.62,601300,7.620688
2009-06-01,9.23,10.79,7.99,8.50,799000,7.378466
2009-05-01,8.35,9.31,7.32,9.00,1029400,7.812493
2009-04-01,6.29,9.81,6.11,8.45,1118000,7.335063
2009-03-02,7.01,8.56,5.85,6.44,1275100,5.424291
2009-02-02,9.59,9.82,6.75,7.11,1136400,5.988619
2009-01-02,13.89,14.10,9.39,9.61,1053000,7.860382
2008-12-01,10.70,15.40,8.95,13.85,1131300,11.328439
2008-11-03,14.94,15.65,8.05,10.78,1313000,8.641022
2008-10-01,25.00,25.50,11.75,14.48,1161700,11.606864
2008-09-02,24.15,29.219999,22.41,25.23,867700,20.223839
2008-08-01,21.90,25.299999,21.129999,24.99,540100,20.03146
2008-07-01,22.92,24.08,19.59,21.969999,552200,17.333298
2008-06-02,26.469999,27.889999,22.76,23.10,527500,18.224815
2008-05-01,25.51,29.00,25.200001,26.469999,380100,20.883587
2008-04-01,25.049999,27.90,24.389999,25.41,359600,19.780096
2008-03-03,24.41,27.00,21.889999,24.709999,561200,19.235189
2008-02-01,26.59,29.280001,22.629999,24.26,608400,18.884893
2008-01-02,22.07,26.60,19.530001,25.65,563300,19.691566
2007-12-03,23.58,25.00,20.77,22.10,600100,16.966223
2007-11-01,28.07,28.530001,22.200001,23.77,780600,17.956125
2007-10-01,29.360001,33.25,27.299999,28.790001,427900,21.748289
2007-09-04,27.440001,30.00,25.57,29.360001,501000,22.178873
2007-08-01,25.950001,28.879999,23.969999,27.469999,650100,20.751144
2007-07-02,29.10,30.719999,25.07,25.709999,435200,19.155472
2007-06-01,32.549999,32.939999,28.190001,29.01,403400,21.614168
2007-05-01,33.57,34.84,30.23,32.380001,358200,24.125019
2007-04-02,33.029999,35.169998,31.639999,33.57,655800,24.734646
2007-03-01,33.580002,35.77,32.200001,32.860001,424200,24.211514
2007-02-01,39.330002,40.75,33.02,34.34,474800,25.301989
2007-01-03,35.41,39.650002,34.119999,39.139999,312600,28.57682
2006-12-01,36.849998,37.389999,34.349998,35.27,284500,25.751263
2006-11-01,35.950001,38.77,33.130001,36.330002,323200,26.52519
2006-10-02,34.099998,37.00,33.799999,35.77,175800,23.523205
2006-09-01,34.549999,34.939999,33.43,34.209999,202400,22.497311
2006-08-01,31.52,34.82,31.07,34.369999,200600,22.60253
2006-07-03,30.98,32.200001,29.639999,31.77,179500,20.657888
2006-06-01,30.209999,31.57,29.540001,30.93,297500,20.111692
2006-05-01,31.549999,31.969999,29.02,30.219999,235600,19.650028
