Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,20.129999,20.219999,19.940001,20.110001,1069000,18.568695
2013-03-01,19.50,20.26,19.32,20.15,540700,18.605629
2013-02-01,19.73,19.77,18.75,19.559999,1111300,17.912514
2013-01-02,18.709999,19.73,18.33,19.719999,1168000,18.059038
2012-12-03,18.93,19.030001,17.870001,18.42,677400,16.868534
2012-11-01,18.139999,18.99,16.959999,18.879999,814700,17.148762
2012-10-01,17.190001,18.290001,16.91,18.18,639000,16.512951
2012-09-04,17.07,17.73,16.90,17.16,535900,15.450236
2012-08-01,17.209999,17.959999,16.91,17.10,494900,15.396215
2012-07-02,17.15,17.459999,16.27,17.18,771700,15.468245
2012-06-01,15.50,17.219999,15.29,17.15,754600,15.441233
2012-05-01,16.059999,16.43,15.59,15.64,736700,13.956551
2012-04-02,16.209999,16.379999,15.50,16.049999,710200,14.322418
2012-03-01,16.33,16.709999,15.93,16.23,696800,14.483044
2012-02-01,14.40,16.85,14.31,16.33,1186800,14.439564
2012-01-03,13.91,14.32,13.31,14.29,887200,12.635723
2011-12-01,14.86,14.97,12.87,13.69,1358200,12.105182
2011-11-01,14.33,14.97,13.61,14.93,1084300,13.127245
2011-10-03,15.08,15.56,13.25,14.66,1647200,12.889847
2011-09-01,16.51,16.51,13.29,15.19,1479600,13.35585
2011-08-01,17.43,17.540001,14.06,16.42,1771100,14.366095
2011-07-01,16.50,17.719999,16.35,17.280001,1020100,15.118522
2011-06-01,16.91,16.99,15.97,16.49,1021700,14.427339
2011-05-02,17.200001,17.23,16.030001,16.969999,1333600,14.778771
2011-04-01,17.120001,17.780001,15.97,17.17,1324300,14.952948
2011-03-01,16.870001,17.25,16.299999,17.08,1105300,14.874568
2011-02-01,16.950001,17.610001,16.35,16.92,1621700,14.670028
2011-01-03,17.309999,17.469999,16.65,16.92,1102500,14.670028
2010-12-01,16.02,17.66,15.69,17.190001,997000,14.904124
2010-11-01,15.88,16.35,15.32,15.72,961400,13.629601
2010-10-01,15.83,16.41,15.22,15.78,778100,13.681622
2010-09-01,14.63,16.059999,14.50,15.75,1179000,13.655611
2010-08-02,15.28,15.43,13.38,14.41,1083900,12.4938
2010-07-01,16.700001,16.950001,14.79,15.07,1743400,13.066035
2010-06-01,15.36,18.870001,14.43,16.59,2818100,13.098868
2010-05-03,17.51,17.690001,14.51,15.43,2031400,12.182974
2010-04-01,16.690001,17.90,16.629999,17.48,1900600,13.801579
2010-03-01,16.959999,17.68,16.33,16.66,1562500,13.154138
2010-02-01,17.540001,18.26,16.280001,16.85,1981800,13.304155
2010-01-04,18.16,19.690001,17.35,17.50,1515500,13.817371
