Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,14.91,14.96,14.67,14.80,4175800,13.709777
2013-03-01,13.81,15.07,13.62,14.96,4515700,13.857991
2013-02-01,14.79,15.55,13.68,13.99,4735800,12.821284
2013-01-02,15.26,15.96,14.55,14.64,3344100,13.416984
2012-12-03,13.89,15.20,13.67,14.94,2569000,13.691921
2012-11-01,17.610001,17.870001,13.21,13.84,4309900,12.683815
2012-10-01,15.86,18.860001,15.76,17.42,3436800,15.823379
2012-09-04,14.91,17.43,14.65,15.85,2836600,14.397277
2012-08-01,15.47,17.25,14.62,14.95,3129100,13.579765
2012-07-02,13.34,15.53,12.66,15.34,3791000,13.801315
2012-06-01,11.22,13.36,10.76,13.29,3644600,11.956942
2012-05-01,14.85,15.24,11.01,11.44,4121800,10.292506
2012-04-02,14.62,14.86,13.15,14.82,3307200,13.17166
2012-03-01,14.24,15.18,13.69,14.68,3908200,13.047232
2012-02-01,14.65,16.629999,13.88,14.23,3984000,12.511095
2012-01-03,14.63,15.32,13.65,14.55,3600900,12.792441
2011-12-01,15.02,15.37,11.57,14.22,4604800,12.502304
2011-11-01,14.41,15.75,14.18,15.00,2835800,13.188084
2011-10-03,15.65,18.25,14.44,14.47,3584400,12.597379
2011-09-01,18.01,18.459999,15.40,15.73,3412100,13.694316
2011-08-01,24.559999,24.65,16.02,18.059999,4940100,15.722781
2011-07-01,26.25,27.60,24.27,24.360001,3093500,21.037632
2011-06-01,35.37001,36.860001,33.860001,36.210003,5060500,22.684315
2011-05-02,35.570011,35.810001,33.070007,35.520012,3503600,22.25206
2011-04-01,34.740013,35.880005,32.800007,35.230003,3250400,21.97641
2011-03-01,36.820011,37.190014,34.000008,34.610001,2813100,21.589653
2011-02-01,34.030003,38.080006,33.790012,36.850006,2899300,22.986963
2011-01-03,34.090012,35.290012,33.260002,33.850006,3447600,21.042774
2010-12-01,32.320007,36.100006,31.720009,33.840012,7212500,21.036562
2010-11-01,26.820009,32.090012,26.070009,31.670008,3455200,19.687584
2010-10-01,26.209999,27.190012,25.870008,26.740011,2227600,16.552013
2010-09-01,25.590012,27.670008,25.120008,26.19001,1984500,16.211565
2010-08-02,27.870008,28.04001,24.050005,25.090012,2541700,15.530667
2010-07-01,23.960001,27.610001,23.530003,27.41,3051600,16.885939
2010-06-01,24.640009,25.66,22.020008,24.009998,4741700,14.791367
2010-05-03,27.480003,27.790012,21.670008,24.809999,4927800,15.284207
2010-04-01,24.250006,27.590012,23.350004,27.44001,2216900,16.820404
2010-03-01,24.140011,24.740009,23.080002,24.140011,2181600,14.797543
2010-02-01,25.869932,27.38994,21.530001,24.080004,3543800,14.699636
2010-01-04,26.119946,27.729933,25.119946,25.639938,3128200,12.924771
2009-12-01,25.219944,26.429941,24.519941,25.819933,2050900,13.015506
2009-11-02,23.389944,26.259945,22.929951,25.019949,2752800,12.612243
2009-10-01,23.52994,24.669937,22.189947,22.959951,2183100,11.528402
2009-09-01,22.249945,26.069946,22.04995,23.749954,2737000,11.92507
2009-08-03,21.009953,22.769953,20.089951,22.339945,2187100,11.217092
2009-07-01,19.56996,20.949953,17.029955,20.469959,2946000,10.229282
2009-06-01,19.309963,19.979952,17.239965,19.409962,3360000,9.699578
2009-05-01,17.09997,21.579958,16.479963,19.029953,4702500,9.509679
2009-04-01,12.769979,18.009953,12.609964,17.159969,3898600,8.527541
2009-03-02,12.729979,14.239969,9.339971,12.939975,4474300,6.430441
2009-02-02,15.829959,16.029972,11.66998,12.989974,4881900,6.39964
2009-01-02,16.989954,19.359962,14.999972,16.029972,5435200,7.897325
2008-12-01,14.20997,16.899956,12.339969,16.839956,3484600,8.296372
2008-11-03,17.929955,18.699959,10.999975,14.659963,2867400,7.222376
2008-10-01,25.209944,25.369942,13.379968,17.729958,4124700,8.670662
2008-09-02,32.189926,32.999924,23.389944,25.159945,4289900,12.304223
2008-08-01,26.029947,32.999924,24.91995,32.269924,4458500,15.781288
2008-07-01,22.429943,24.999949,19.039953,24.279943,3031600,11.837288
2008-06-02,27.169943,27.37994,21.49996,22.599957,2478600,11.018238
2008-05-01,23.129948,27.169943,22.199947,27.109945,2761200,13.217009
2008-04-01,21.56996,24.159946,21.529959,22.99995,2179000,11.213248
2008-03-03,25.389942,26.44994,20.679958,21.429943,2114700,10.447817
2008-02-01,23.729954,28.899929,23.62994,26.789932,3528800,13.060992
2008-01-02,24.619938,24.999949,21.129948,23.429941,3365800,11.422884
2007-12-03,26.769934,27.649935,23.839952,24.499941,2345200,11.944544
2007-11-01,29.099928,29.249943,25.119946,27.029945,3403700,13.178006
2007-10-01,34.909924,35.059925,28.649935,29.329939,4224300,14.299331
2007-09-04,33.629932,34.999924,33.379921,34.939926,1674700,17.034388
2007-08-01,35.369919,35.699913,30.229923,33.549915,2759400,16.356712
2007-07-02,36.199921,39.749908,34.66991,35.589912,3001000,17.351278
2007-06-01,36.849911,36.849911,34.869926,36.189922,2001100,17.643803
2007-05-01,32.77993,36.449917,32.539936,36.189922,4924700,17.643803
2007-04-02,30.369938,32.999924,30.149925,32.77993,1771000,15.981318
2007-03-01,29.459938,31.70993,28.659935,30.429937,1955900,14.835617
2007-02-01,30.349937,30.349937,28.289942,29.459938,3073500,14.36271
2007-01-03,28.499937,30.999929,28.019928,30.28994,7519400,14.767363
2006-12-01,28.589935,28.799931,27.779934,28.479939,1810500,13.884927
2006-11-01,27.669933,28.219942,27.249943,27.769934,2313200,13.538775
2006-10-02,22.579958,28.119944,22.569958,27.789932,5649700,13.548526
2006-09-01,23.299946,24.519941,21.929951,22.709955,2631400,11.071866
2006-08-01,22.259945,23.499941,21.209948,23.279945,2169400,11.349755
2006-07-03,21.599957,22.449944,20.229948,22.249945,2232300,10.847596
2006-06-01,19.659958,21.589956,19.639957,21.449944,2849900,10.457568
2006-05-01,20.269947,21.99995,18.879955,19.659958,3556600,9.584889
2006-04-03,26.699936,28.649935,17.999952,20.269947,6433100,9.88228
2006-03-01,26.149946,27.349941,25.799934,26.699936,2570200,8.391276
2006-02-01,25.199945,26.999947,24.329943,26.249945,2810700,8.249853
2006-01-03,23.469942,25.189945,22.98995,24.599937,2842500,7.731287
2005-12-01,23.999949,24.779951,22.499943,23.469942,4981900,7.376152
2005-11-01,24.799952,26.239944,23.649939,23.659939,4423400,7.435864
2005-10-03,30.749933,30.749933,23.839952,24.799952,5860500,7.794148
2005-09-01,31.249924,31.76993,30.109926,30.669935,1635300,9.63897
2005-08-01,30.999929,31.899929,30.699932,31.199923,1837900,9.805536
2005-07-01,32.399921,33.049927,30.459936,30.969927,3171900,9.733253
2005-06-01,25.499939,33.899925,25.309944,32.199924,6528500,10.119817
2005-05-02,26.149946,27.549938,25.019949,25.579939,2782500,8.039283
2005-04-01,28.129944,28.749933,25.439939,25.949947,3935300,8.15557
2005-03-01,30.099928,30.749933,27.099947,28.049929,5351200,8.815554
2005-02-01,27.499937,31.639933,26.269943,31.059927,4307900,9.761539
2005-01-03,25.179945,29.249943,23.509941,27.38994,5658200,8.608132
2004-12-01,21.479959,25.509939,19.929953,24.89995,3481800,7.825576
2004-11-01,20.589958,22.589956,19.989952,21.349945,2496400,6.709877
2004-10-01,20.279947,21.129948,19.209949,20.579958,2310700,6.467885
2004-09-01,18.59996,21.06995,18.209967,20.279947,2579200,6.373598
2004-08-02,18.019953,19.769957,16.129969,18.51996,2958400,5.820468
2004-07-01,19.649958,19.749956,17.08997,17.469963,2635600,5.490474
2004-06-01,21.799955,22.109949,19.419962,19.649958,3030700,6.175604
2004-05-03,22.019951,22.969952,19.639957,21.91995,2772500,6.889019
2004-04-01,22.949951,23.469942,21.549959,21.829954,2561800,6.860735
2004-03-01,25.649937,26.559938,20.739956,22.879951,2976000,7.190729
2004-02-02,25.949947,27.699936,23.53994,25.47994,2778200,8.007855
2004-01-02,23.439941,27.579937,22.879951,25.579939,3451700,8.039283
2003-12-01,20.899954,23.449942,20.189949,23.389944,2424500,7.35101
2003-11-03,20.49996,21.349945,19.059952,20.719957,3550300,6.511884
2003-10-01,18.299965,22.039949,17.499962,20.199949,4661900,6.348456
2003-09-02,20.43996,21.229948,17.469963,18.099953,2929700,5.688467
2003-08-01,21.399944,21.959951,18.049953,20.14995,3383100,6.332742
2003-07-01,20.759954,23.019951,19.889956,21.299946,3050200,6.694164
2003-06-02,21.249947,24.009949,20.049952,20.759954,4603900,6.524455
2003-05-01,22.249945,22.749954,18.719959,19.359962,4975100,6.084464
2003-04-01,19.199949,22.519941,19.109951,22.419943,3502500,7.046157
2003-03-03,17.949953,20.299946,16.149969,18.989954,3765700,5.968177
2003-02-03,17.56996,17.879957,15.419966,17.789957,4494700,5.591042
2003-01-02,16.139969,19.819956,16.139969,17.409964,4160400,5.471617
2002-12-02,16.999954,17.489964,15.099971,16.739958,3284300,5.261047
2002-11-01,9.399986,18.349964,9.309971,16.909956,7095800,5.314474
2002-10-01,9.089975,10.699981,6.379989,9.559984,4679700,3.004519
2002-09-03,9.299972,11.889977,7.999978,9.059976,5549200,2.847376
2002-08-01,7.999978,11.099974,4.669985,9.529984,8234400,2.995091
2002-07-01,9.869978,10.34997,5.249992,8.299989,6506600,2.608527
2002-06-03,18.749956,18.949953,7.589985,9.459985,9858000,2.973091
2002-05-01,23.749954,27.169943,17.779957,18.619959,5464400,5.851895
2002-04-01,33.889927,33.899925,21.799955,23.499941,3946200,7.38558
2002-03-01,36.499916,39.359917,32.749931,33.999924,2357000,10.685523
2002-02-01,42.39991,42.469913,31.409937,35.899925,3779400,11.282657
2002-01-02,47.999897,48.249893,41.199902,42.299896,2547800,13.294044
2001-12-03,43.249901,48.499893,42.599907,47.44989,2727200,14.912588
2001-11-01,34.499916,42.499908,33.299923,42.039902,3592600,13.212334
2001-10-01,40.939903,45.799904,32.499935,34.24992,5094500,10.764091
2001-09-04,47.099895,47.099895,37.57991,40.939903,883300,12.866625
2001-08-01,56.279873,56.279873,45.779903,46.69989,874400,14.676877
2001-07-02,58.699863,61.999859,53.299873,56.269875,844700,17.68454
2001-06-01,56.499866,59.749863,54.969875,58.499866,776800,18.385384
2001-05-01,68.49984,69.149841,54.899879,56.849876,1837300,17.866823
2001-04-02,69.799835,70.999832,63.109852,68.74984,1185300,21.606752
2001-03-01,78.749832,87.0998,68.599838,70.35984,1495900,22.112745
2001-02-01,87.649811,88.249794,75.899834,77.599815,1392100,20.716364
2001-01-02,82.999809,91.499794,77.749832,87.509796,1395800,23.361973
2000-12-01,77.249825,85.187317,76.374832,84.937302,726800,22.675209
2000-11-01,74.249825,81.624825,71.374832,76.249825,857900,20.355963
2000-10-02,67.249847,77.249825,66.124863,74.499832,1009000,19.888781
2000-09-01,67.999847,70.43734,62.312351,66.749855,722400,17.819815
2000-08-01,65.124863,70.999832,62.999859,67.249847,582800,17.953293
2000-07-03,68.74984,72.624825,63.062355,65.812363,657200,17.569536
2000-06-01,64.499863,72.624825,62.812359,67.921722,863500,18.13266
2000-05-01,67.687347,67.687347,58.374874,62.624851,1037800,16.718586
2000-04-03,60.499866,68.87484,57.56237,67.687347,975100,18.070091
2000-03-01,64.499863,66.374855,54.999874,60.749863,1164700,16.218031
2000-02-01,76.374832,80.749809,63.999851,64.187363,967400,17.135719
2000-01-03,75.374832,86.874794,69.999847,76.374832,1244900,20.389336
