Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,54.75,54.970001,54.330002,54.529999,10901600,52.748863
2013-03-01,51.07,56.07,50.880001,54.990002,6770600,53.19384
2013-02-01,51.630001,52.77,50.209999,51.119999,5881700,49.450245
2013-01-02,49.02,52.73,49.00,51.200001,6313100,49.527634
2012-12-03,46.529999,49.799999,45.810001,48.349998,6760500,46.568779
2012-11-01,46.470001,47.779999,44.330002,46.509998,7728900,44.796562
2012-10-01,48.509998,49.23,45.59,46.400002,6228700,44.69062
2012-09-04,45.50,48.459999,45.43,48.419998,6053800,46.473248
2012-08-01,45.549999,46.00,43.650002,45.549999,7385300,43.718636
2012-07-02,46.889999,48.689999,44.34,45.25,8893100,43.430698
2012-06-01,45.400002,46.93,43.299999,46.73,7280400,44.700798
2012-05-01,44.599998,46.220001,44.34,44.939999,8841600,42.988525
2012-04-02,44.200001,45.240002,43.080002,44.619999,8132000,42.682423
2012-03-01,45.07,45.880001,43.93,44.799999,6672800,42.694393
2012-02-01,41.98,45.360001,41.93,45.099998,8589400,42.980289
2012-01-03,41.299999,43.169998,41.009998,41.75,7641000,39.787743
2011-12-01,38.66,41.349998,36.439999,40.779999,9993000,38.716354
2011-11-01,35.419998,39.400002,35.09,38.84,11345800,36.874531
2011-10-03,33.509998,37.50,32.279999,36.330002,10858200,34.491547
2011-09-01,35.849998,37.459999,33.439999,33.59,12211800,31.776794
2011-08-01,36.779999,37.16,31.299999,35.91,12161700,33.971558
2011-07-01,37.650002,38.82,35.970001,36.349998,8170500,34.387806
2011-06-01,38.639999,38.990002,36.110001,37.580002,8576900,35.431694
2011-05-02,36.41,39.50,35.73,38.689999,9283400,36.478237
2011-04-01,34.25,36.91,34.209999,36.220001,8645100,34.149441
2011-03-01,33.209999,34.32,32.50,34.32,10093300,32.244343
2011-02-01,34.189999,35.299999,32.080002,33.060001,14813600,31.060549
2011-01-03,34.939999,35.950001,33.619999,34.200001,9603900,32.131599
2010-12-01,31.440001,35.459999,31.40,34.77,8216200,32.550926
2010-11-01,30.299999,31.690001,29.450001,31.00,10827400,29.021532
2010-10-01,31.67,32.50,30.120001,30.129999,10174500,28.207056
2010-09-01,26.860001,31.75,26.860001,31.469999,7831800,29.376671
2010-08-02,31.02,31.25,26.84,26.98,9546300,25.185337
2010-07-01,29.190001,32.09,28.299999,30.690001,12025300,28.648556
2010-06-01,34.400002,35.310001,29.219999,29.32,17449400,27.289825
2010-05-03,36.990002,37.43,33.060001,34.630001,12831500,32.232151
2010-04-01,36.119999,37.82,35.540001,36.919998,10920400,34.363586
2010-03-01,33.869999,37.32,33.790001,36.560001,9906200,33.948017
2010-02-01,32.57,34.529999,30.360001,33.75,13133700,31.338774
2010-01-04,32.43,34.41,32.240002,32.369999,12309500,30.057365
2009-12-01,31.190001,32.799999,30.370001,32.209999,13108400,29.831272
2009-11-02,35.549999,36.66,27.379999,31.01,28693600,28.719894
2009-10-01,35.610001,38.27,33.919998,35.299999,10906000,32.693073
2009-09-01,37.43,37.75,34.450001,35.740002,11880100,33.034309
2009-08-03,33.790001,37.59,33.029999,37.52,10480800,34.679554
2009-07-01,31.940001,34.59,30.58,33.48,10111400,30.9454
2009-06-01,29.85,32.450001,29.700001,31.870001,10561900,29.389322
2009-05-01,31.83,34.220001,28.959999,29.799999,12771400,27.480444
2009-04-01,27.25,31.889999,27.08,31.780001,11040700,29.306328
2009-03-02,25.559999,29.74,23.74,27.49,12181700,25.286327
2009-02-02,26.559999,29.610001,25.52,25.74,11860900,23.676611
2009-01-02,28.809999,30.469999,24.16,26.879999,15873800,24.725225
2008-12-01,28.23,29.65,24.83,28.74,10697200,26.359411
2008-11-03,30.639999,32.529999,23.190001,28.93,12160700,26.533672
2008-10-01,33.290001,34.490002,24.25,30.65,16126900,28.111202
2008-09-02,37.07,38.740002,31.02,33.66,12790300,30.796124
2008-08-01,37.169998,39.34,35.389999,36.599998,10562000,33.485981
2008-07-01,39.200001,39.689999,36.450001,36.50,12191000,33.394489
2008-06-02,42.650002,44.290001,39.25,39.57,9002100,36.13879
2008-05-01,40.099998,43.75,39.02,42.790001,9221700,39.079575
2008-04-01,40.799999,41.700001,39.380001,40.369999,7977900,36.869419
2008-03-03,40.259998,41.529999,37.400002,40.509998,10636400,36.94199
2008-02-01,39.00,41.150002,37.880001,40.380001,12621100,36.823441
2008-01-02,39.709999,39.959999,34.91,38.91,22906200,35.482914
2007-12-03,40.16,40.580002,38.389999,39.75,11148600,36.190308
2007-11-01,40.82,42.599998,39.669998,40.09,14628900,36.499859
2007-10-01,37.509998,42.080002,36.43,41.66,11962200,37.92926
2007-09-04,38.080002,39.849998,36.630001,39.630001,9788300,36.026566
2007-08-01,34.849998,39.029999,34.849998,37.82,13740700,34.381142
2007-07-02,36.450001,36.950001,34.799999,35.189999,10196700,31.990278
2007-06-01,38.50,38.900002,35.169998,36.450001,11586600,33.080639
2007-05-01,35.900002,39.439999,35.200001,38.540001,18396300,34.977444
2007-04-02,34.380001,37.200001,34.139999,36.240002,18375100,32.890053
2007-03-01,31.26,34.93,30.450001,34.139999,28317300,30.930916
2007-02-01,33.50,33.580002,30.76,31.42,11499200,28.466591
2007-01-03,30.950001,33.720001,30.459999,33.650002,14061100,30.486977
2006-12-01,28.629999,31.83,28.469999,30.91,12061200,27.96228
2006-11-01,29.52,30.110001,27.09,28.77,23033000,26.026361
2006-10-02,32.009998,32.259998,28.48,31.379999,12989600,28.387459
2006-09-01,33.779999,36.139999,30.60,32.119999,9190800,29.020485
2006-08-01,32.84,35.00,32.41,33.549999,4454700,30.312492
2006-07-03,30.700001,33.540001,29.85,32.720001,5144100,29.562588
2006-06-01,28.25,31.049999,28.200001,30.700001,4812600,27.703041
2006-05-01,29.719999,31.18,27.51,27.90,4581100,25.176378
2006-04-03,29.969999,31.889999,28.75,29.719999,4410000,26.818708
2006-03-01,28.50,30.98,28.139999,29.870001,4300200,26.919014
2006-02-01,27.65,29.40,27.450001,28.33,3959300,25.531157
2006-01-03,26.67,28.50,26.059999,27.76,6048200,25.017469
2005-12-01,27.450001,29.299999,26.389999,26.42,4371800,23.775715
2005-11-01,24.41,28.23,23.889999,27.02,5586900,24.315662
2005-10-03,28.969999,29.10,24.120001,24.41,8222500,21.966888
2005-09-01,29.49,30.35,27.67,29.01,4118100,26.069534
2005-08-01,31.16,31.459999,28.15,29.370001,3799800,26.393045
2005-07-01,29.049999,31.60,28.780001,31.030001,3866800,27.884787
2005-06-01,54.75,58.50,28.43,29.07,4792300,26.092907
2005-05-02,51.580002,55.50,51.580002,54.849998,4722300,24.616373
2005-04-01,52.619999,52.830002,50.029999,51.580002,4497700,23.148817
2005-03-01,50.09,53.779999,49.869999,52.619999,4628000,23.582808
2005-02-01,46.470001,50.240002,46.27,49.830002,4439400,22.332409
2005-01-03,45.400002,47.650002,44.040001,46.349998,4154200,20.772768
2004-12-01,45.360001,46.27,43.830002,45.07,3495200,20.167908
2004-11-01,43.68,47.34,42.790001,45.369999,4397300,20.302153
2004-10-01,42.50,44.439999,41.709999,43.459999,3223800,19.447466
2004-09-01,39.75,43.139999,39.330002,42.130001,3649600,18.822956
2004-08-02,41.880001,42.889999,38.610001,40.00,3203600,17.871307
2004-07-01,42.029999,44.139999,41.099998,41.869999,3526800,18.706791
2004-06-01,41.599998,43.00,41.00,42.02,3633600,18.744968
2004-05-03,38.630001,42.130001,38.630001,41.68,5494000,18.593296
2004-04-01,35.299999,39.799999,34.529999,38.630001,6336400,17.232702
2004-03-01,37.599998,37.900002,33.73,35.299999,3716000,15.71985
2004-02-02,36.049999,38.509998,35.50,37.50,4028300,16.699558
2004-01-02,36.290001,38.380001,34.84,35.720001,4320300,15.906885
2003-12-01,37.470001,37.529999,32.900002,36.119999,4434400,16.055487
2003-11-03,35.25,37.549999,34.189999,37.459999,3760400,16.651123
2003-10-01,31.16,36.209999,29.469999,35.18,4605700,15.637653
2003-09-02,32.549999,32.700001,29.549999,31.059999,4313400,13.783005
2003-08-01,29.98,32.84,29.049999,32.599998,3458900,14.466386
2003-07-01,28.030001,30.42,27.24,29.99,4851800,13.308188
2003-06-02,26.299999,28.700001,26.17,28.030001,4573100,12.412892
2003-05-01,24.15,27.49,23.85,26.10,5614600,11.558206
2003-04-01,23.780001,24.90,22.50,24.209999,5585000,10.721231
2003-03-03,24.90,26.68,22.33,23.85,4815300,10.535961
2003-02-03,23.00,26.07,22.950001,24.90,6225300,10.999808
2003-01-02,25.450001,26.389999,21.84,22.620001,4993600,9.992598
2002-12-02,27.200001,27.799999,23.82,24.969999,4616800,11.005504
2002-11-01,27.780001,28.559999,25.10,26.879999,5002300,11.847334
2002-10-01,25.360001,28.940001,23.030001,27.73,5227000,12.221971
2002-09-03,29.389999,30.08,24.50,25.35,4355400,11.149886
2002-08-01,28.90,31.40,26.440001,29.389999,4113500,12.926829
2002-07-01,30.40,30.74,23.549999,28.60,5381500,12.579358
2002-06-03,32.00,33.84,30.24,30.60,4926500,13.429238
2002-05-01,33.279999,35.650002,31.860001,32.029999,3611700,14.056813
2002-04-01,34.400002,35.700001,31.68,33.48,3910600,14.693167
2002-03-01,27.40,35.549999,27.40,34.330002,5924900,15.04083
2002-02-01,27.00,28.969999,25.58,27.32,4757200,11.969573
2002-01-02,29.85,30.190001,25.799999,27.200001,4559300,11.916998
2001-12-03,26.85,30.48,25.00,29.60,5578800,12.941634
2001-11-01,23.90,27.950001,22.889999,26.950001,9074500,11.783008
2001-10-01,33.299999,34.549999,23.00,23.90,9478100,10.449494
2001-09-04,36.119999,38.810001,30.459999,33.200001,8586200,14.489791
2001-08-01,34.75,38.150002,34.75,36.110001,6003400,15.75983
2001-07-02,38.25,41.040001,35.950001,36.009998,8078600,15.716186
2001-06-01,54.75,56.950001,36.25,38.599998,10266900,16.822136
2001-05-01,59.00,59.75,51.580002,54.900002,5920100,23.925787
2001-04-02,58.450001,60.299999,53.48,58.950001,4374700,25.690804
2001-03-01,61.00,62.400002,52.549999,58.490002,4227100,25.464508
2001-02-01,59.200001,63.75,56.400002,61.00,5064400,26.557274
2001-01-02,59.8125,59.8125,49.50,59.200001,5518800,25.773617
2000-12-01,57.125,60.4375,50.8125,59.9375,4329400,26.067612
2000-11-01,52.625,59.125,49.875,56.875,6477300,24.735689
2000-10-02,46.1875,54.125,43.5625,52.9375,5079600,23.023218
2000-09-01,36.75,46.9375,36.4375,46.3125,4680200,20.116522
2000-08-01,37.5625,39.8125,33.25,37.140621,4834900,16.13258
2000-07-03,39.375,45.00,38.9375,39.50,3074000,17.157412
2000-06-01,43.25,45.8125,35.8125,40.00,4416700,17.350882
2000-05-01,43.50,45.625,39.4375,43.50,3893000,18.869085
2000-04-03,37.5625,46.8125,37.50,43.50,4749600,18.869085
2000-03-01,35.1875,38.00,27.75,37.5625,6556500,16.271839
2000-02-01,34.8125,41.50,34.0625,35.00,6334600,15.16178
2000-01-03,40.00,40.1875,32.625,34.9375,6237700,15.134706
