Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,10.12,10.23,10.03,10.05,141000,8.814672
2013-03-01,10.40,10.49,9.67,10.19,41700,8.937462
2013-02-01,10.68,10.70,10.37,10.39,19300,9.071781
2013-01-02,10.44,10.86,10.44,10.65,29600,9.258554
2012-12-03,11.00,11.05,10.31,10.46,26400,9.054396
2012-11-01,11.09,11.17,10.44,11.01,23100,9.489128
2012-10-01,11.39,11.45,10.86,10.99,15700,9.432245
2012-09-04,10.78,11.35,10.68,11.31,16000,9.664949
2012-08-01,11.10,11.18,10.46,10.76,17700,9.150805
2012-07-02,10.99,11.69,10.88,11.10,34400,9.393929
2012-06-01,10.62,10.95,10.31,10.95,15600,9.223519
2012-05-01,10.43,10.83,10.37,10.59,14900,8.876179
2012-04-02,10.19,10.49,10.11,10.45,15000,8.715491
2012-03-01,10.83,10.89,9.88,10.16,22800,8.42829
2012-02-01,10.70,10.81,10.09,10.75,32700,8.872397
2012-01-03,9.81,10.78,9.59,10.56,35700,8.6707
2011-12-01,9.41,9.85,9.41,9.76,15900,7.970189
2011-11-01,9.34,9.66,9.28,9.43,14900,7.65686
2011-10-03,9.37,9.47,9.06,9.32,18100,7.523453
2011-09-01,9.35,9.58,9.20,9.33,20000,7.48684
2011-08-01,9.17,9.42,8.65,9.30,16900,7.418584
2011-07-01,9.33,9.51,8.91,9.09,20000,7.205646
2011-06-01,9.18,9.42,9.03,9.30,12700,7.32907
2011-05-02,8.87,9.33,8.80,9.15,45800,7.168351
2011-04-01,8.78,8.88,8.64,8.87,19600,6.907449
2011-03-01,8.75,8.90,8.59,8.75,24800,6.771509
2011-02-01,8.53,9.11,8.53,8.72,35400,6.706068
2011-01-03,8.83,8.91,8.05,8.53,29000,6.519636
2010-12-01,9.28,9.28,8.41,8.82,42000,6.699155
2010-11-01,9.92,9.92,8.42,9.21,37200,6.951052
2010-10-01,10.05,10.05,9.71,9.86,22400,7.400157
2010-09-01,10.10,10.34,9.77,9.98,17900,7.448354
2010-08-02,9.88,10.21,9.74,10.11,20900,7.50457
2010-07-01,9.51,9.95,9.48,9.90,17400,7.308068
2010-06-01,9.48,9.72,9.30,9.48,21500,6.958828
2010-05-03,9.75,9.77,9.21,9.54,18200,6.963274
2010-04-01,9.40,9.82,9.38,9.71,15900,7.047114
2010-03-01,9.30,9.51,9.23,9.50,26400,6.85576
2010-02-01,9.37,9.43,9.06,9.33,20400,6.694399
2010-01-04,9.29,9.52,9.26,9.33,14000,6.655982
2009-12-01,9.06,9.35,8.96,9.26,17800,6.568095
2009-11-02,9.08,9.18,8.84,9.08,20900,6.401992
2009-10-01,9.25,9.61,8.45,8.92,27800,6.251531
2009-09-01,8.71,9.25,8.71,9.23,17100,6.42985
2009-08-03,8.72,8.94,8.38,8.78,19400,6.080863
2009-07-01,8.20,8.71,8.11,8.71,9900,5.995759
2009-06-01,8.15,8.43,8.00,8.11,9100,5.546737
2009-05-01,7.79,8.48,7.77,8.18,12300,5.559393
2009-04-01,7.29,7.78,7.21,7.75,12500,5.232786
2009-03-02,7.18,7.31,6.66,7.23,12100,4.848398
2009-02-02,7.28,7.56,6.50,7.21,19400,4.800651
2009-01-02,6.29,7.35,6.29,7.21,17300,4.771847
2008-12-01,6.38,6.44,5.11,6.22,28500,4.091697
2008-11-03,7.44,7.65,5.97,6.35,22800,4.146563
2008-10-01,7.61,7.89,5.10,7.44,29600,4.830331
2008-09-02,9.42,9.44,6.43,7.51,19600,4.840389
2008-08-01,9.42,9.47,9.10,9.40,7100,6.029163
2008-07-01,9.50,9.90,9.08,9.39,15200,5.99254
2008-06-02,9.56,9.58,9.16,9.48,14000,6.019917
2008-05-01,9.47,9.67,9.44,9.49,10700,5.997026
2008-04-01,9.33,9.62,9.19,9.44,13300,5.936666
2008-03-03,9.28,9.66,9.13,9.29,16300,5.813216
2008-02-01,10.16,10.35,9.21,9.32,23400,5.80351
2008-01-02,9.55,10.25,9.52,10.13,17200,6.279501
2007-12-03,9.54,9.60,9.15,9.57,33100,5.904516
2007-11-01,9.91,9.99,9.12,9.56,21100,5.869574
2007-10-01,10.16,10.16,9.75,9.92,14000,6.061328
2007-09-04,9.95,10.33,9.87,10.07,13100,6.12532
2007-08-01,10.15,10.22,9.40,9.95,12300,6.025146
2007-07-02,10.40,10.55,10.10,10.20,9800,6.149229
2007-06-01,10.92,11.07,10.25,10.41,9000,6.24878
2007-05-01,11.19,11.35,10.82,10.91,15600,6.521111
2007-04-02,11.21,11.27,10.95,11.16,14000,6.642194
2007-03-01,11.15,11.64,11.05,11.13,11600,6.596365
2007-02-01,11.05,11.20,10.85,11.07,11000,6.53315
2007-01-03,10.93,11.11,10.72,11.01,14100,6.469646
2006-12-01,10.80,10.94,10.56,10.85,12800,6.348034
2006-11-01,10.91,10.92,10.62,10.73,14300,6.250454
2006-10-02,10.81,11.36,10.54,11.00,14300,6.379952
2006-09-01,10.48,10.94,10.18,10.91,12500,6.300367
2006-08-01,10.70,10.70,10.28,10.58,6700,6.083487
2006-07-03,10.04,10.60,9.96,10.60,10600,6.06859
2006-06-01,10.39,10.46,9.81,9.99,11600,5.692954
2006-05-01,10.67,10.68,10.21,10.35,10400,5.870848
2006-04-03,10.69,10.80,10.39,10.70,10900,6.041269
2006-03-01,10.75,10.84,10.44,10.70,19400,6.012583
2006-02-01,10.52,11.00,10.35,10.81,16600,6.045496
2006-01-03,10.55,10.68,10.36,10.43,15300,5.805311
2005-12-01,10.41,10.61,10.24,10.50,10400,5.815191
2005-11-01,10.39,10.44,10.13,10.40,7200,5.730785
2005-10-03,10.41,10.45,9.92,10.39,7300,5.696621
2005-09-01,10.40,10.58,10.25,10.41,10000,5.679049
2005-08-01,10.50,10.75,10.17,10.40,8800,5.646704
2005-07-01,10.53,10.74,10.26,10.43,8200,5.635898
2005-06-01,10.42,10.60,10.28,10.55,8500,5.673594
2005-05-02,10.33,10.49,10.22,10.45,8800,5.619815
2005-04-01,10.29,10.49,10.14,10.37,8800,5.548963
2005-03-01,10.18,10.29,9.99,10.26,12800,5.462358
2005-02-01,10.27,10.45,10.10,10.19,10800,5.396227
2005-01-03,10.29,10.34,10.03,10.30,13600,5.426022
2004-12-01,10.05,10.26,9.91,10.19,12300,5.338075
2004-11-01,10.11,10.22,9.98,10.01,12500,5.200297
2004-10-01,10.23,10.40,9.98,10.21,12300,5.274616
2004-09-01,10.13,10.24,10.03,10.15,18400,5.214085
2004-08-02,9.80,10.14,9.76,10.07,13000,5.143881
2004-07-01,9.64,9.93,9.58,9.76,10100,4.957083
2004-06-01,9.75,9.80,9.48,9.63,9100,4.862638
2004-05-03,9.75,9.80,9.20,9.69,19700,4.863822
