Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,38.720001,38.720001,37.93,38.41,2319800,28.656685
2013-03-01,38.150002,39.099998,37.009998,39.07,1598200,28.753674
2013-02-01,38.00,39.310001,36.279999,38.349998,3830000,28.223785
2013-01-02,36.419998,38.610001,36.110001,37.889999,806600,27.885248
2012-12-03,34.240002,36.540001,33.860001,35.470001,907000,26.104244
2012-11-01,33.610001,35.73,32.119999,33.900002,950800,24.948799
2012-10-01,33.59,34.23,30.84,33.650002,624100,24.619606
2012-09-04,33.32,35.16,32.599998,33.450001,956600,24.473278
2012-08-01,31.08,33.59,29.700001,33.310001,929800,24.22961
2012-07-02,29.35,31.25,29.10,31.08,831100,22.607512
2012-06-01,25.620001,29.469999,24.74,29.450001,1227800,21.421856
2012-05-01,28.870001,31.360001,25.719999,26.07,1829100,18.813284
2012-04-02,27.219999,31.870001,26.73,28.889999,2691200,20.848324
2012-03-01,25.08,27.639999,24.969999,27.309999,837400,19.708124
2012-02-01,23.57,25.15,23.059999,25.059999,731300,18.084423
2012-01-03,20.68,24.16,20.629999,23.530001,655300,16.980307
2011-12-01,20.940001,22.540001,20.16,20.370001,841800,14.699909
2011-11-01,21.59,22.40,20.139999,21.00,880400,15.154545
2011-10-03,22.59,23.15,21.530001,22.23,667200,16.042168
2011-09-01,22.76,24.059999,21.809999,22.690001,1011200,16.374125
2011-08-01,21.719999,23.190001,18.41,22.690001,1260600,16.374125
2011-07-01,21.719999,23.129999,21.209999,21.459999,607900,15.486501
2011-06-01,22.99,23.10,20.68,21.65,1001800,15.623614
2011-05-02,24.90,26.43,22.50,23.00,1566600,16.597836
2011-04-01,24.540001,25.10,23.629999,24.889999,722600,17.961744
2011-03-01,24.90,24.92,22.690001,24.40,702100,17.608137
2011-02-01,25.00,26.08,23.93,24.84,765100,17.925661
2011-01-03,25.27,25.41,23.83,24.809999,498100,17.904013
2010-12-01,24.35,26.00,24.35,25.059999,608800,18.084423
2010-11-01,25.85,26.889999,23.940001,24.15,796200,17.427727
2010-10-01,24.76,26.690001,24.15,25.67,639200,18.524628
2010-09-01,22.58,25.370001,21.809999,24.68,743700,17.810198
2010-08-02,19.799999,22.440001,19.68,22.309999,945400,16.099899
2010-07-01,19.059999,19.85,18.190001,19.57,736200,14.122592
2010-06-01,19.74,21.370001,19.07,19.08,1014300,13.768987
2010-05-03,20.77,21.15,19.10,19.90,1042200,14.360735
2010-04-01,19.98,21.75,19.32,20.719999,1116500,14.952484
2010-03-01,21.51,21.690001,19.27,19.860001,1222900,14.33187
2010-02-01,18.77,21.58,17.49,21.40,1913500,15.443203
2010-01-04,24.719999,25.17,18.639999,18.709999,1277800,13.501977
2009-12-01,25.219999,25.82,24.18,24.549999,558300,17.716385
2009-11-02,23.959999,26.200001,23.700001,24.99,789100,18.033909
2009-10-01,22.629999,26.25,22.48,23.940001,1474300,17.276182
