Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,11.74,11.80,11.66,11.73,2899800,8.465555
2013-03-01,11.84,12.25,11.58,11.74,3013000,8.472772
2013-02-01,13.03,13.08,11.71,11.86,2876600,8.330363
2013-01-02,12.01,13.06,12.00,13.00,1988900,9.131089
2012-12-03,12.84,13.36,11.71,11.81,3556800,8.295244
2012-11-01,13.46,13.51,11.45,12.79,3488400,8.343393
2012-10-01,14.20,14.27,12.30,13.42,4141700,8.754366
2012-09-04,14.38,15.03,14.00,14.09,3543200,9.191432
2012-08-01,14.46,14.50,13.75,14.38,2492000,9.096922
2012-07-02,13.76,14.50,13.75,14.46,4614800,9.147531
2012-06-01,13.61,14.28,13.41,13.77,2132700,8.71103
2012-05-01,13.73,13.95,13.29,13.68,1192600,8.348729
2012-04-02,13.09,13.74,13.02,13.73,1258700,8.379243
2012-03-01,13.59,13.76,12.82,13.09,2141600,7.988659
2012-02-01,13.58,13.70,13.28,13.57,2329800,7.978685
2012-01-03,13.29,13.95,13.01,13.50,2262900,7.937528
2011-12-01,13.12,13.45,12.69,13.14,1072800,7.725861
2011-11-01,12.40,13.14,12.35,13.13,828900,7.430843
2011-10-03,12.01,12.94,10.52,12.68,1430000,7.176169
2011-09-01,13.29,13.58,11.95,12.09,1912500,6.842262
2011-08-01,12.90,13.78,11.93,13.35,2541200,7.249354
2011-07-01,12.83,13.22,11.98,12.31,2228900,6.68461
2011-06-01,12.80,13.32,12.36,12.81,2294000,6.956121
2011-05-02,12.35,12.89,12.31,12.84,1403700,6.653065
2011-04-01,12.71,12.81,11.89,12.35,2096400,6.399171
2011-03-01,12.46,12.95,12.38,12.68,2065700,6.261461
2011-02-01,13.07,13.17,12.11,12.46,3546800,6.152823
2011-01-03,12.99,13.17,12.61,13.05,738700,6.444169
2010-12-01,13.77,14.07,12.46,12.91,1736600,6.375036
2010-11-01,13.02,13.72,13.02,13.65,512500,6.445895
2010-10-01,13.43,13.59,13.03,13.03,687200,6.153115
2010-09-01,13.59,14.25,12.90,13.35,1967900,6.304227
2010-08-02,13.33,13.75,13.10,13.47,290300,6.091935
2010-07-01,12.75,13.71,12.30,13.20,531000,5.969825
2010-06-01,13.06,14.57,12.31,12.66,704800,5.725605
2010-05-03,13.00,13.17,10.40,13.09,147700,5.668693
2010-04-01,13.48,13.54,12.16,12.94,213400,5.603734
2010-03-01,13.30,13.51,12.99,13.38,104100,5.557162
2010-02-01,13.50,13.51,12.69,13.23,70800,5.494862
2010-01-04,13.58,13.85,13.17,13.48,70100,5.598695
2009-12-01,13.29,14.29,13.08,13.51,97600,5.611156
2009-11-02,13.46,13.90,12.84,13.10,149800,5.228786
2009-10-01,14.10,14.10,12.77,13.35,156700,5.328572
2009-09-01,14.02,14.89,13.64,14.20,298000,5.528144
2009-08-03,13.24,14.44,13.12,14.00,119500,5.450283
2009-07-01,11.92,13.50,11.80,13.25,170900,5.158304
2009-06-16,11.65,12.01,11.52,11.90,190500,4.63274
