Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,36.110001,36.16,35.209999,35.470001,766800,34.239082
2013-03-01,35.830002,37.25,35.349998,36.189999,438100,34.934093
2013-02-01,37.82,38.080002,34.919998,36.029999,528500,34.779648
2013-01-02,33.610001,38.299999,33.580002,37.610001,541800,36.207615
2012-12-03,33.740002,34.25,32.259998,32.84,535200,31.615477
2012-11-01,32.360001,34.419998,31.83,33.580002,625200,32.23996
2012-10-01,34.75,35.52,30.90,32.27,793200,30.982235
2012-09-04,35.349998,36.959999,34.240002,34.709999,707700,33.324863
2012-08-01,34.32,38.18,33.48,35.290001,558400,33.881718
2012-07-02,33.18,35.669998,30.51,34.130001,661100,32.681145
2012-06-01,35.049999,36.41,31.00,33.369999,876500,31.953403
2012-05-01,34.560001,36.82,32.509998,35.77,578100,34.161991
2012-04-02,35.720001,36.09,34.02,34.66,536200,33.101887
2012-03-01,74.110001,74.440002,35.240002,35.73,522300,34.123787
2012-02-01,72.720001,77.779999,72.010002,73.43,589500,35.064507
2012-01-03,69.349998,73.489998,67.25,72.300003,505000,34.453522
2011-12-01,68.230003,70.720001,66.25,68.080002,726800,32.442539
2011-11-01,61.279999,69.620003,60.950001,68.349998,663400,32.499722
2011-10-03,54.259998,66.650002,51.580002,64.050003,602100,30.455118
2011-09-01,58.939999,59.650002,53.810001,54.799999,720200,26.056837
2011-08-01,56.09,60.529999,46.369999,58.98,811600,28.044384
2011-07-01,60.830002,62.880001,54.639999,55.380001,493400,26.252043
2011-06-01,59.41,61.220001,54.619999,60.68,678600,28.764427
2011-05-02,61.380001,63.040001,57.27,59.709999,547100,28.228361
2011-04-01,61.630001,62.900002,56.810001,61.23,412000,28.946953
2011-03-01,56.259998,62.150002,54.900002,61.290001,538300,28.975319
2011-02-01,58.939999,62.00,54.59,56.299999,709000,26.616259
2011-01-03,58.82,60.279999,57.57,58.599998,442200,27.640562
2010-12-01,55.00,59.59,54.900002,58.279999,416200,27.489624
2010-11-01,49.029999,54.970001,48.509998,54.290001,524700,25.547836
2010-10-01,47.43,50.189999,45.970001,48.720001,469700,22.926701
2010-09-01,42.360001,47.919998,41.990002,47.130001,511500,22.178476
2010-08-02,48.07,48.259998,40.860001,41.900002,770800,19.717339
2010-07-01,42.43,48.209999,41.59,47.470001,471000,22.275782
2010-06-01,42.919998,45.459999,40.700001,42.650002,670200,20.013948
2010-05-03,46.369999,47.00,40.509998,43.150002,962400,20.189386
2010-04-01,45.389999,47.380001,44.959999,46.299999,598200,21.663233
2010-03-01,41.209999,46.240002,41.150002,45.119999,779200,21.111124
2010-02-01,38.900002,41.57,37.240002,41.259998,671600,19.250101
2010-01-04,42.720001,43.259998,38.220001,38.240002,651200,17.841105
2009-12-01,42.77,43.720001,41.369999,42.540001,909100,19.847294
2009-11-02,35.75,45.189999,35.240002,42.50,1309400,19.775528
2009-10-01,34.48,39.00,32.599998,35.669998,1230300,16.597485
2009-09-01,37.139999,38.389999,34.259998,34.630001,997700,16.113565
2009-08-03,38.689999,39.82,36.98,37.57,650300,17.481567
2009-07-01,35.00,38.93,31.35,38.009998,730800,17.634121
2009-06-01,34.27,37.900002,32.849998,34.639999,679500,16.070665
2009-05-01,32.57,34.900002,31.00,33.689999,931100,15.629928
2009-04-01,26.209999,34.369999,26.00,32.990002,802500,15.252273
2009-03-02,24.00,28.629999,21.82,26.84,1299000,12.408941
2009-02-02,30.549999,33.16,24.35,24.41,1310900,11.28548
2009-01-02,33.080002,34.669998,29.76,31.120001,1193100,14.332248
2008-12-01,33.299999,36.18,30.00,33.650002,1390800,15.497435
2008-11-03,35.130001,36.290001,23.40,34.220001,2145500,15.703939
2008-10-01,41.41,42.00,28.040001,35.150002,1447300,16.130726
2008-09-02,44.68,49.00,38.93,41.91,1707400,19.232965
2008-08-01,45.68,48.369999,43.310001,43.91,760000,20.150787
2008-07-01,44.25,46.360001,40.950001,45.110001,972900,20.652031
2008-06-02,51.560001,52.00,44.639999,44.639999,1163700,20.436857
2008-05-01,43.560001,52.330002,43.200001,51.48,989700,23.568312
2008-04-01,40.48,44.200001,38.830002,43.540001,693600,19.886877
2008-03-03,42.080002,42.77,39.290001,40.279999,635500,18.397871
2008-02-01,42.049999,44.290001,39.799999,42.16,655100,19.256561
2008-01-02,46.27,46.330002,35.139999,41.880001,1002500,19.077736
2007-12-03,46.23,48.400002,42.669998,46.380001,678100,21.127636
2007-11-01,41.650002,47.00,39.380001,46.779999,635300,21.309849
2007-10-01,41.720001,42.869999,38.50,42.860001,484200,19.475494
2007-09-04,38.34,42.27,38.34,41.759998,851000,18.975655
2007-08-01,36.52,44.59,34.400002,38.18,986400,17.348911
2007-07-02,35.669998,38.400002,35.18,36.389999,670100,16.490765
2007-06-01,36.580002,36.91,34.110001,35.549999,1070900,16.110104
2007-05-01,35.849998,38.27,34.400002,36.529999,776400,16.554207
2007-04-02,36.23,36.41,34.380001,35.919998,341100,16.239048
2007-03-01,35.610001,38.889999,34.470001,36.099998,423700,16.320425
2007-02-01,35.400002,38.700001,34.599998,35.84,470500,16.202883
2007-01-03,34.860001,35.290001,33.599998,35.220001,438100,15.88169
2006-12-01,35.099998,35.75,34.389999,34.709999,533900,15.651715
2006-11-01,37.549999,38.740002,33.630001,35.009998,667900,15.786994
2006-10-02,37.00,38.57,35.900002,37.549999,470000,16.891243
2006-09-01,33.34,38.970001,33.009998,36.900002,959500,16.598852
2006-08-01,32.66,33.990002,31.83,33.380001,286700,15.015438
2006-07-03,33.869999,33.91,31.200001,32.889999,401700,14.754324
2006-06-01,33.200001,33.990002,30.16,33.869999,696000,15.193948
2006-05-01,33.220001,33.599998,30.98,33.209999,534400,14.861987
2006-04-03,33.950001,34.299999,32.869999,33.240002,393600,14.875414
2006-03-01,33.50,34.02,32.080002,33.790001,589800,15.121547
2006-02-01,34.299999,36.00,33.790001,34.66,334900,15.510884
2006-01-03,32.00,34.639999,31.65,34.549999,419400,15.426104
2005-12-01,33.490002,33.900002,31.549999,31.799999,465100,14.198266
2005-11-01,31.10,33.50,29.91,33.439999,723400,14.930503
2005-10-03,30.549999,31.360001,29.620001,31.25,483200,13.916957
2005-09-01,30.780001,31.08,28.60,30.530001,678500,13.596311
2005-08-01,32.580002,32.880001,29.59,30.639999,370700,13.645298
2005-07-01,30.35,32.650002,30.040001,32.580002,332700,14.471492
2005-06-01,32.09,32.439999,29.85,30.33,486700,13.472078
2005-05-02,29.92,32.41,29.60,32.099998,381900,14.231589
2005-04-01,32.259998,32.580002,29.40,29.75,465400,13.189713
2005-03-01,31.700001,32.84,31.440001,32.279999,488200,14.311393
2005-02-01,31.00,32.490002,30.879999,31.889999,468200,14.138486
2005-01-03,32.470001,32.900002,29.469999,31.18,544600,13.797747
2004-12-01,31.00,32.889999,29.049999,32.580002,639800,14.417274
2004-11-01,29.50,34.450001,29.370001,31.00,685500,13.718093
2004-10-01,28.49,30.27,27.75,29.700001,483000,13.118098
2004-09-01,28.549999,29.48,27.60,28.389999,588800,12.539488
2004-08-02,26.67,28.700001,25.110001,28.40,528100,12.543905
2004-07-01,29.299999,29.40,25.82,26.629999,579700,11.737437
2004-06-01,26.18,29.299999,26.18,29.299999,522300,12.914267
2004-05-03,27.440001,27.440001,25.049999,26.280001,598300,11.559742
2004-04-01,26.549999,28.75,26.540001,27.43,659000,12.06559
2004-03-01,57.029999,59.310001,25.889999,26.530001,1058300,11.669708
2004-02-02,54.220001,57.23,50.299999,57.029999,1313200,12.542847
2004-01-02,59.16,59.34,53.150002,54.02,733200,11.855194
2003-12-01,58.66,61.50,58.66,59.16,697800,12.983215
2003-11-03,57.419998,59.98,54.950001,58.529999,688800,12.824617
2003-10-01,53.900002,58.209999,53.759998,57.220001,470500,12.537581
2003-09-02,55.049999,57.900002,52.849998,53.900002,843100,11.81013
2003-08-01,48.740002,54.900002,47.09,54.900002,799800,12.029243
2003-07-01,44.459999,49.18,43.830002,48.75,530600,10.661538
2003-06-02,42.00,45.470001,41.93,44.450001,639500,9.721136
2003-05-01,39.919998,42.150002,39.049999,41.950001,562200,9.174391
2003-04-01,36.48,40.57,36.25,39.919998,670400,8.710959
2003-03-03,35.099998,36.990002,33.400002,36.580002,437900,7.982137
2003-02-03,33.98,35.490002,32.169998,34.849998,528500,7.604632
2003-01-02,36.200001,36.650002,32.400002,33.950001,544700,7.388376
2002-12-02,37.459999,37.799999,34.150002,36.00,489600,7.834508
2002-11-01,31.65,37.77,31.25,37.419998,709000,8.143536
2002-10-01,34.400002,35.779999,29.91,31.57,1027000,6.854278
2002-09-03,37.599998,37.740002,33.299999,34.330002,541600,7.453512
2002-08-01,33.419998,38.119999,31.450001,37.82,635000,8.211239
2002-07-01,35.290001,36.75,30.02,33.52,792500,7.260111
2002-06-03,39.450001,40.150002,35.040001,35.040001,986600,7.589328
2002-05-01,43.150002,43.799999,38.310001,39.52,593600,8.559653
2002-04-01,40.099998,44.990002,39.00,43.150002,479500,9.327817
2002-03-01,36.299999,42.669998,36.299999,40.209999,619300,8.692271
2002-02-01,37.049999,37.25,34.099998,36.150002,806800,7.814614
2002-01-02,38.75,39.09,33.400002,37.009998,752500,7.982187
2001-12-03,36.549999,40.349998,35.900002,38.84,611800,8.376875
2001-11-01,31.43,36.939999,31.10,36.400002,540400,7.850625
