Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,48.880001,49.200001,48.799999,49.009998,9238600,46.006138
2013-03-01,47.560001,50.200001,47.279999,49.16,5453900,46.146946
2013-02-01,47.68,48.220001,46.02,47.900002,6493700,44.964176
2013-01-02,45.950001,48.400002,45.110001,47.450001,6243800,44.14257
2012-12-03,43.43,45.330002,42.25,44.98,6227800,41.844734
2012-11-01,44.580002,45.490002,41.669998,43.139999,6594700,40.132988
2012-10-01,50.18,50.959999,44.50,44.52,6994700,41.00388
2012-09-04,49.509998,52.330002,48.630001,50.27,5817100,46.299755
2012-08-01,49.939999,52.099998,48.68,49.75,4455700,45.820824
2012-07-02,49.48,50.48,46.150002,49.700001,5800000,45.389435
2012-06-01,47.529999,51.470001,46.439999,50.57,4683400,46.183975
2012-05-01,53.349998,53.98,47.709999,48.259998,5282900,44.074326
2012-04-02,52.68,53.98,50.84,53.459999,5467400,48.419743
2012-03-01,50.889999,53.950001,49.900002,52.900002,5271700,47.91254
2012-02-01,51.52,52.310001,49.290001,50.849998,5530600,46.055817
2012-01-03,46.580002,51.759998,45.84,50.889999,7009500,45.722588
2011-12-01,47.50,48.41,43.060001,45.779999,6630100,41.131462
2011-11-01,46.459999,49.919998,43.790001,47.720001,7659400,42.874474
2011-10-03,39.560001,49.48,37.099998,48.07,8591700,42.816849
2011-09-01,48.029999,48.860001,39.939999,39.970001,10641800,35.602032
2011-08-01,53.380001,53.380001,43.599998,48.27,11378000,42.994995
2011-07-01,53.599998,56.200001,51.290001,51.419998,6388700,45.381878
2011-06-01,53.110001,54.490002,48.639999,54.049999,6703300,47.703045
2011-05-02,56.419998,57.00,50.50,53.299999,5854000,47.041115
2011-04-01,55.189999,56.880001,53.169998,56.790001,5086800,49.753616
2011-03-01,54.740002,55.799999,51.099998,54.970001,6211900,48.159115
2011-02-01,50.849998,56.189999,50.740002,54.869999,7434500,48.071507
2011-01-03,50.049999,50.860001,47.220001,50.68,7682100,44.065586
2010-12-01,47.700001,50.169998,47.700001,49.880001,5704100,43.369995
2010-11-01,47.259998,48.580002,45.130001,46.990002,6580400,40.857182
2010-10-01,44.950001,48.00,44.209999,47.279999,7033900,40.75531
2010-09-01,41.27,45.869999,41.119999,44.619999,6199500,38.462395
2010-08-02,41.23,42.66,38.709999,40.77,6797500,35.1437
2010-07-01,34.470001,41.139999,33.73,40.669998,7742700,34.716648
2010-06-01,35.82,39.200001,33.950001,34.59,7801800,29.526651
2010-05-03,40.049999,40.389999,33.66,36.169998,9831300,30.875366
2010-04-01,37.50,41.450001,37.50,39.84,8377300,33.642181
2010-03-01,33.830002,39.040001,33.580002,37.240002,9011500,31.446657
2010-02-01,33.119999,34.25,31.879999,33.720001,7829500,28.474257
2010-01-04,33.98,34.880001,31.93,32.610001,7554600,27.19356
2009-12-01,35.040001,35.619999,31.02,33.669998,6973600,28.077496
2009-11-02,31.889999,35.349998,31.639999,34.580002,6260500,28.836349
2009-10-01,31.93,34.900002,30.059999,31.82,7582000,26.220438
2009-09-01,31.799999,34.59,30.530001,32.139999,7212100,26.484125
2009-08-03,31.360001,33.360001,30.540001,31.93,7111400,26.311081
2009-07-01,25.629999,31.299999,23.91,30.93,8062100,25.170208
2009-06-01,28.940001,30.23,24.040001,25.620001,9951600,20.849039
2009-05-01,27.610001,29.950001,26.40,28.469999,9228100,23.16831
2009-04-01,21.76,29.049999,21.620001,27.90,10941200,22.373299
2009-03-02,17.73,23.74,16.049999,22.33,10289100,17.906658
