Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,16.290001,16.51,16.24,16.51,951800,16.172026
2013-03-01,15.55,17.02,15.30,16.33,500800,15.99571
2013-02-01,14.84,15.69,14.45,15.61,667300,15.290449
2013-01-02,14.24,16.139999,13.85,14.77,864100,14.467646
2012-12-03,14.25,14.51,13.26,14.07,396000,13.781975
2012-11-01,14.29,14.59,12.83,14.22,535000,13.928905
2012-10-01,11.99,15.00,11.80,14.30,618000,14.007267
2012-09-04,12.66,13.55,11.46,11.84,352500,11.597625
2012-08-01,13.07,13.87,12.13,12.60,352700,12.342068
2012-07-02,11.35,13.73,10.85,13.02,297400,12.753469
2012-06-01,12.19,12.80,10.73,11.36,358900,11.127451
2012-05-01,14.29,14.36,11.53,12.34,611700,12.08739
2012-04-02,14.70,15.32,13.27,14.26,591500,13.968086
2012-03-01,13.60,15.92,12.87,14.69,377800,14.389282
2012-02-01,11.77,14.07,11.51,13.49,305800,13.213848
2012-01-03,10.97,12.21,10.32,11.70,557000,11.460491
2011-12-01,11.07,11.98,9.51,10.65,224700,10.431985
2011-11-01,11.62,12.29,9.62,11.11,256800,10.882568
2011-10-03,9.98,13.03,9.14,12.19,307400,11.94046
2011-09-01,15.12,15.40,10.10,10.15,286600,9.942221
2011-08-01,15.70,16.280001,12.44,15.06,278000,14.751709
2011-07-01,16.57,17.799999,15.37,15.57,275400,15.251268
2011-06-01,17.530001,18.209999,14.69,16.620001,250500,16.279776
2011-05-02,17.030001,18.23,15.15,17.66,255400,17.298485
2011-04-01,16.40,18.040001,15.83,17.059999,266700,16.710766
2011-03-01,12.30,16.75,12.16,16.18,379900,15.848782
2011-02-01,10.91,12.71,10.91,12.24,189700,11.989436
2011-01-03,11.70,12.10,10.36,10.79,282900,10.569119
2010-12-01,12.91,14.72,11.03,11.70,343400,11.460491
2010-11-01,12.85,14.17,12.20,12.67,124900,12.410634
2010-10-01,11.76,13.08,11.30,12.78,165100,12.518382
2010-09-01,10.32,12.65,10.17,11.64,226300,11.401719
2010-08-02,12.57,13.00,9.61,10.08,132700,9.873653
2010-07-01,12.29,14.09,11.82,12.32,201500,12.067799
2010-06-01,12.20,14.57,11.89,12.27,343300,12.018823
2010-05-03,11.17,12.72,10.42,12.48,409700,12.224524
2010-04-01,9.68,11.34,9.49,11.02,353000,10.794412
2010-03-01,9.95,10.85,9.35,9.86,175000,9.658157
2010-02-01,9.20,11.00,8.84,9.99,128600,9.785496
2010-01-04,9.65,12.87,9.04,9.16,201700,8.972486
2009-12-01,9.61,10.15,8.52,9.51,96700,9.315322
2009-11-02,8.26,10.37,8.22,9.49,215200,9.295732
2009-10-01,8.35,10.60,7.39,8.17,333600,8.002753
2009-09-01,5.76,9.47,5.74,8.37,500900,8.198659
2009-08-03,5.80,6.25,5.24,5.83,238700,5.710655
2009-07-01,6.01,6.34,4.95,5.78,200200,5.661679
2009-06-01,6.72,7.37,5.66,5.96,353200,5.837994
2009-05-01,4.30,7.02,4.23,6.71,545800,6.57264
2009-04-01,2.74,5.40,2.69,4.20,586300,4.114022
2009-03-02,2.46,3.22,1.69,2.88,330500,2.821044
2009-02-02,3.86,4.12,2.34,2.55,129800,2.497799
2009-01-02,4.59,5.22,3.72,3.92,161100,3.839754
2008-12-01,4.96,5.90,2.62,4.59,317100,4.444948
2008-11-03,9.96,10.75,3.84,5.02,133800,4.861359
2008-10-01,13.50,13.50,6.00,9.74,108900,9.432198
2008-09-02,19.34,19.34,13.16,13.30,83900,12.812333
2008-08-01,20.82,21.110001,17.299999,19.35,73400,18.640499
2008-07-01,29.389999,30.25,18.969999,21.08,64000,20.307066
2008-06-02,29.969999,31.09,26.40,28.790001,57500,27.677973
2008-05-01,29.76,31.68,27.030001,30.00,61100,28.841236
2008-04-01,23.98,29.940001,23.690001,29.639999,56400,28.49514
2008-03-03,26.639999,27.74,22.139999,23.879999,48300,22.912197
2008-02-01,24.85,27.639999,22.799999,26.219999,112500,25.157364
2008-01-02,32.50,34.00,21.780001,24.59,59200,23.593424
2007-12-03,37.459999,40.68,30.950001,32.66,38900,31.336365
2007-11-01,43.23,44.950001,36.50,37.200001,27500,35.586552
2007-10-01,39.299999,44.98,37.259998,43.93,27500,42.024658
2007-09-04,35.740002,39.459999,35.73,39.139999,33100,37.44241
2007-08-01,37.439999,37.790001,32.759998,35.50,40200,33.74028
2007-07-02,38.400002,42.25,37.150002,37.23,63700,35.384521
2007-06-01,42.810001,45.18,38.25,38.34,48700,36.439503
2007-05-01,36.25,42.810001,36.18,42.299999,20400,39.945225
2007-04-02,37.759998,38.639999,35.299999,36.240002,17800,34.22258
2007-03-01,35.119999,38.400002,33.02,37.27,16800,34.962898
2007-02-01,38.509998,40.66,34.540001,35.75,26100,33.536987
2007-01-03,36.18,38.860001,32.439999,38.549999,34300,36.163662
2006-12-01,37.310001,38.959999,34.540001,36.689999,21900,34.4188
2006-11-01,36.540001,38.50,35.52,36.849998,21700,34.323025
2006-10-02,32.259998,37.32,30.58,37.060001,48100,34.518627
2006-09-01,36.139999,37.490002,31.860001,31.92,23900,29.7311
2006-08-01,33.470001,37.990002,31.10,36.060001,31000,33.330578
2006-07-03,30.940001,34.419998,27.08,33.540001,23900,31.00132
2006-06-01,34.310001,34.82,29.110001,31.049999,21800,28.699789
2006-05-01,39.50,40.669998,31.940001,34.630001,46400,31.757568
2006-04-03,40.669998,42.00,39.110001,39.310001,19400,36.049381
2006-03-01,37.849998,41.66,37.310001,40.470001,21900,37.113163
2006-02-01,41.93,43.139999,34.919998,37.849998,47500,34.488831
2006-01-03,37.68,42.810001,36.73,41.849998,27100,38.133621
2005-12-01,35.349998,39.330002,34.650002,36.830002,35400,33.55941
2005-11-01,31.01,36.189999,30.50,35.830002,7200,32.429626
2005-10-03,36.900002,36.900002,30.120001,31.08,14600,28.130413
2005-09-01,34.09,36.75,33.799999,36.630001,23100,33.153702
2005-08-01,30.690001,35.700001,30.049999,33.98,12800,30.534187
2005-07-01,30.50,32.240002,29.83,31.08,9000,27.928268
2005-06-01,30.00,31.58,26.799999,30.780001,19800,27.658691
2005-05-02,25.690001,29.950001,25.52,28.90,16700,25.758478
2005-04-01,31.00,31.35,25.15,25.450001,14500,22.683504
2005-03-01,33.509998,34.50,28.42,30.50,12000,27.184553
2005-02-01,32.290001,34.68,31.10,33.740002,15300,29.922396
2005-01-03,34.610001,35.48,31.90,32.82,10700,29.106489
2004-12-01,38.43,38.77,32.75,35.349998,20800,31.350224
2004-11-01,34.50,39.900002,34.139999,38.299999,14900,33.815609
2004-10-01,34.619999,36.799999,33.50,35.02,11000,30.919653
2004-09-01,32.299999,35.290001,31.40,34.610001,10500,30.557659
2004-08-02,30.690001,32.700001,29.24,31.76,14300,28.041353
2004-07-01,29.65,31.90,28.66,30.200001,12300,26.664007
2004-06-01,32.029999,33.830002,28.299999,29.58,18600,26.1166
2004-05-03,27.540001,33.73,27.040001,33.389999,19200,29.480501
2004-04-01,31.84,33.00,27.60,27.690001,34800,24.447893
2004-03-01,33.810001,34.98,29.35,31.799999,35900,28.076668
2004-02-02,34.959999,35.959999,31.25,33.900002,19000,29.93079
2004-01-02,36.50,41.400002,34.299999,35.060001,38200,30.954971
2003-12-01,40.50,40.50,33.419998,36.630001,19400,32.341145
2003-11-03,31.639999,38.50,30.50,38.119999,20600,33.656685
2003-10-01,27.290001,33.060001,27.290001,31.51,13900,27.820623
2003-09-02,25.030001,27.98,22.02,27.82,15400,24.562672
2003-08-01,23.99,25.48,22.01,23.73,10500,20.951551
2003-07-01,20.51,23.879999,20.190001,23.85,5000,21.057503
2003-06-02,20.25,22.10,20.049999,20.559999,11700,18.152714
2003-05-01,19.59,20.309999,18.799999,20.309999,4900,17.931986
2003-04-01,18.60,19.60,17.200001,19.290001,4100,17.031414
2003-03-03,19.620001,19.77,17.200001,18.51,6400,16.342741
2003-02-03,19.33,19.709999,17.629999,19.65,5100,17.349262
2003-01-02,19.620001,21.16,18.60,19.16,6700,16.916634
2002-12-02,17.049999,20.08,16.559999,19.58,6900,17.287458
2002-11-01,18.639999,19.10,16.07,17.110001,5800,15.106661
2002-10-01,17.68,19.120001,15.76,18.50,6000,16.333912
2002-09-03,17.00,17.85,15.98,17.709999,2700,15.636409
2002-08-01,15.24,17.50,14.55,16.469999,4200,14.541595
2002-07-01,18.00,18.200001,13.85,15.28,9700,13.490928
2002-06-03,18.49,19.51,16.83,18.18,13300,16.051378
