Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,125.93,126.199997,125.470001,125.550003,685400,119.050934
2013-03-01,118.410004,126.459999,118.220001,125.839996,598800,119.325912
2013-02-01,121.550003,121.550003,116.949997,119.709999,516200,113.513237
2013-01-02,118.889999,120.050003,114.519997,119.300003,540800,112.050316
2012-12-03,119.660004,121.389999,115.529999,116.580002,598500,109.495605
2012-11-01,115.949997,120.720001,113.599998,119.57,588100,112.303902
2012-10-01,114.32,116.959999,111.00,114.239998,462200,107.297798
2012-09-04,111.400002,114.379997,106.800003,112.730003,717400,105.879562
2012-08-01,108.790001,111.00,105.699997,109.220001,698700,101.007782
2012-07-02,102.93,108.720001,101.949997,106.900002,682700,98.862221
2012-06-01,93.980003,103.489998,93.050003,103.07,613500,95.320198
2012-05-01,101.900002,104.669998,92.550003,95.339996,668700,88.17141
2012-04-02,97.389999,102.589996,94.830002,101.120003,625800,93.516823
2012-03-01,96.139999,98.300003,94.599998,96.50,538800,89.244194
2012-02-01,90.389999,96.010002,90.010002,95.559998,634700,88.37487
2012-01-03,88.110001,89.650002,84.440002,88.589996,703500,81.032219
2011-12-01,85.620003,87.489998,83.519997,87.419998,479000,79.962036
2011-11-01,81.459999,85.889999,79.449997,85.610001,556400,78.30645
2011-10-03,75.529999,86.00,73.230003,82.879997,694400,75.809349
2011-09-01,80.580002,80.959999,73.269997,75.93,794700,69.452271
2011-08-01,82.309998,82.360001,72.269997,80.260002,1209200,71.886986
2011-07-01,81.599998,84.370003,78.940002,81.239998,514100,72.76474
2011-06-01,85.290001,85.529999,79.610001,81.870003,541700,73.329025
2011-05-02,81.510002,85.279999,80.00,85.089996,482100,76.213097
2011-04-01,76.669998,81.519997,76.449997,81.370003,381700,72.881187
2011-03-01,79.18,79.32,71.25,76.220001,641400,68.268448
2011-02-01,78.120003,80.790001,76.199997,78.260002,787100,69.206146
2011-01-03,74.610001,80.720001,74.010002,76.800003,788800,67.915054
2010-12-01,71.419998,74.970001,71.199997,74.330002,529700,65.730812
2010-11-01,74.230003,76.370003,71.110001,71.660004,573300,63.369701
2010-10-01,70.169998,75.370003,69.019997,74.00,558200,65.438988
2010-09-01,66.980003,70.32,66.800003,69.010002,430200,61.026276
2010-08-02,71.150002,71.739998,64.790001,65.50,541100,56.672184
2010-07-01,63.290001,71.080002,62.66,69.879997,479200,60.461864
2010-06-01,61.799999,66.75,61.00,62.740002,587900,54.284168
2010-05-03,68.25,68.610001,55.900002,61.279999,934000,53.020935
2010-04-01,68.50,71.989998,66.959999,68.139999,562900,58.956375
2010-03-01,65.309998,67.639999,64.839996,67.449997,566000,58.359367
2010-02-01,67.050003,68.190002,62.299999,65.279999,792300,55.69207
2010-01-04,69.989998,70.959999,67.040001,67.190002,822000,57.321545
2009-12-01,68.519997,70.00,66.510002,69.410004,539600,59.215485
2009-11-02,65.790001,69.730003,64.610001,67.610001,555100,57.679855
2009-10-01,61.450001,66.449997,60.00,65.019997,847300,55.470257
2009-09-01,62.139999,64.900002,60.709999,61.490002,782700,52.458725
2009-08-03,62.810001,64.940002,60.220001,62.040001,616700,51.737579
2009-07-01,58.09,62.650002,55.830002,62.380001,761900,52.021122
2009-06-01,55.110001,59.389999,53.459999,57.25,715700,47.743011
2009-05-01,48.41,54.75,48.23,54.560001,757300,45.499718
2009-04-01,44.700001,48.41,44.50,47.849998,917900,39.903984
2009-03-02,46.029999,46.150002,40.93,44.75,1323500,37.318775
2009-02-02,52.299999,56.299999,45.84,46.490002,1442500,38.069584
2009-01-02,56.349998,58.639999,50.029999,54.34,938700,44.497765
2008-12-01,54.830002,59.490002,51.16,56.740002,891400,46.46307
2008-11-03,62.360001,63.990002,49.150002,56.369999,1230100,46.160084
2008-10-01,67.769997,70.550003,51.77,62.189999,1765600,50.925949
2008-09-02,74.980003,77.580002,67.00,68.860001,958000,56.387856
2008-08-01,70.260002,76.970001,69.50,74.400002,495400,59.659012
2008-07-01,71.849998,74.300003,68.660004,70.379997,862700,56.435497
