Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,4.41,4.44,4.41,4.41,293600,3.574195
2013-03-01,4.39,4.46,4.26,4.40,333800,3.56609
2013-02-01,4.34,4.40,4.28,4.40,284200,3.538105
2013-01-02,4.16,4.37,4.14,4.32,337000,3.445761
2012-12-03,4.18,4.23,4.07,4.12,257800,3.286235
2012-11-01,4.30,4.34,3.75,4.18,361600,3.27809
2012-10-01,4.37,4.44,4.25,4.28,276200,3.328936
2012-09-04,4.24,4.38,4.21,4.35,359000,3.356468
2012-08-01,4.42,4.48,4.19,4.26,422500,3.260081
2012-07-02,4.46,4.58,4.27,4.41,296900,3.348447
2012-06-01,4.45,4.48,4.24,4.46,356000,3.356641
2012-05-01,4.66,4.70,4.45,4.46,274300,3.326401
2012-04-02,4.65,4.67,4.56,4.67,248600,3.453382
2012-03-01,4.62,4.66,4.52,4.65,317400,3.409014
2012-02-01,4.57,4.67,4.51,4.62,332400,3.357821
2012-01-03,4.43,4.61,4.43,4.58,255600,3.300176
2011-12-01,4.45,4.53,4.29,4.43,265200,3.192092
2011-11-01,4.52,4.67,4.28,4.45,283900,3.149243
2011-10-03,4.26,4.60,3.96,4.59,342300,3.218411
2011-09-01,4.58,4.66,4.25,4.26,337300,2.957764
2011-08-01,4.73,4.80,4.08,4.60,499900,3.163974
2011-07-01,4.83,4.99,4.52,4.62,404100,3.144804
2011-06-01,5.06,5.14,4.50,4.83,537400,3.259248
2011-05-02,4.75,5.12,4.73,5.05,424100,3.378628
2011-04-01,4.76,4.81,4.62,4.72,353300,3.129849
2011-03-01,4.66,4.83,4.52,4.67,401200,3.068483
2011-02-01,4.54,4.67,4.53,4.66,328700,3.006938
2011-01-03,4.45,4.55,4.40,4.54,309900,2.90224
2010-12-01,4.53,4.59,4.14,4.43,403800,2.831922
2010-11-01,4.63,4.75,4.10,4.52,464300,2.8348
2010-10-01,4.48,4.65,4.47,4.64,310400,2.883716
2010-09-01,4.36,4.54,4.35,4.47,300500,2.752373
2010-08-02,4.39,4.55,4.31,4.35,423300,2.653115
2010-07-01,4.21,4.50,4.17,4.34,355800,2.622
2010-06-01,4.08,4.36,4.00,4.21,303000,2.518027
2010-05-03,4.33,4.37,3.49,4.08,504300,2.414364
2010-04-01,4.37,4.43,4.27,4.33,322600,2.53503
2010-03-01,3.90,4.43,3.88,4.34,320600,2.515826
2010-02-01,3.77,3.92,3.56,3.90,291700,2.240884
2010-01-04,3.77,3.93,3.73,3.76,288500,2.140543
2009-12-01,3.65,3.85,3.57,3.76,254200,2.140543
2009-11-02,3.51,3.60,3.05,3.59,221100,2.005361
2009-10-01,3.53,3.60,3.46,3.47,241000,1.919273
2009-09-01,3.31,3.67,3.24,3.55,286000,1.946881
2009-08-03,3.35,3.51,3.22,3.28,341500,1.782652
2009-07-01,3.05,3.44,2.94,3.33,189300,1.793951
2009-06-01,3.01,3.13,2.95,3.05,199600,1.626786
2009-05-01,2.78,3.04,2.72,2.98,356900,1.57366
2009-04-01,2.45,2.79,2.43,2.77,165500,1.447788
2009-03-02,2.41,2.57,1.98,2.45,209600,1.265229
2009-02-02,2.71,2.78,2.22,2.43,195100,1.236171
2009-01-02,2.28,2.75,2.25,2.72,287200,1.36838
2008-12-01,1.93,2.30,1.66,2.23,324300,1.12187
2008-11-03,2.50,2.50,1.56,1.94,218700,0.946263
2008-10-01,2.89,2.90,1.62,2.49,274000,1.199224
2008-09-02,3.40,3.40,2.56,2.98,328900,1.417642
2008-08-01,3.40,3.42,3.29,3.42,170300,1.612389
2008-07-01,3.55,3.56,3.22,3.41,259600,1.593447
2008-06-02,3.78,3.79,3.55,3.58,172800,1.658945
