Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,24.32,24.41,23.74,23.85,7088400,23.521496
2013-03-01,22.139999,25.559999,21.75,24.299999,5490700,23.965296
2013-02-01,23.860001,24.66,21.35,22.299999,6378400,21.992844
2013-01-02,20.34,24.030001,20.02,23.66,6669500,23.334112
2012-12-03,19.559999,20.299999,18.27,19.780001,5468800,19.507555
2012-11-01,21.10,22.299999,17.709999,19.459999,6806500,19.042103
2012-10-01,20.799999,22.32,19.73,20.959999,5908000,20.470814
2012-09-04,19.00,22.790001,18.92,20.629999,8038400,20.148516
2012-08-01,17.790001,19.219999,16.93,18.99,5791100,18.546791
2012-07-02,18.450001,19.35,17.51,17.629999,8237700,17.182243
2012-06-01,16.209999,18.450001,14.37,18.379999,8656500,17.913195
2012-05-01,16.299999,17.91,15.63,16.60,8865100,16.178404
2012-04-02,15.10,16.690001,13.80,16.35,10490800,15.898881
2012-03-01,14.44,16.450001,13.45,15.17,8409400,14.751438
2012-02-01,13.99,14.79,13.77,14.34,7305000,13.94434
2012-01-03,12.89,14.72,12.74,13.92,9157500,13.500108
2011-12-01,11.90,12.89,11.65,12.61,6666800,12.229623
2011-11-01,10.81,12.07,10.74,11.91,7479100,11.550738
2011-10-03,9.02,12.00,8.03,11.13,7991700,10.757936
2011-09-01,10.55,10.62,8.97,9.04,6844500,8.737803
2011-08-01,12.04,12.12,8.82,10.52,9007400,10.168328
2011-07-01,11.57,12.55,11.16,11.88,5568800,11.437365
2011-06-01,12.17,12.34,10.62,11.52,5843300,11.090777
2011-05-02,12.55,12.56,11.38,12.18,4792500,11.726187
2011-04-01,11.75,12.68,11.09,12.44,5382300,11.937963
2011-03-01,11.93,12.30,11.19,11.65,5267000,11.179845
2011-02-01,12.48,12.89,11.56,11.84,5461800,11.362178
2011-01-03,12.06,13.50,11.93,12.39,6696100,11.852703
2010-12-01,10.18,12.30,10.07,11.93,5967000,11.412651
2010-11-01,10.47,12.26,9.77,10.04,7351800,9.604611
2010-10-01,11.27,11.34,10.05,10.43,5467100,9.94152
2010-09-01,10.46,11.34,10.43,11.12,4782300,10.599204
2010-08-02,11.22,11.38,9.73,10.26,5989300,9.779482
2010-07-01,9.78,11.38,9.41,11.02,8215700,10.466019
2010-06-01,12.10,12.29,9.82,9.83,8828900,9.33584
2010-05-03,14.71,15.20,11.57,12.19,8705300,11.577201
2010-04-01,12.72,15.44,11.75,14.69,8654700,13.913218
2010-03-01,12.37,13.40,12.31,12.60,4877100,11.933734
2010-02-01,11.83,13.53,11.63,12.36,9627100,11.706425
2010-01-04,10.96,12.57,10.87,11.79,7531800,11.133544
2009-12-01,10.40,11.33,9.69,10.87,6773300,10.264769
2009-11-02,11.11,12.54,10.05,10.28,10010400,9.672216
2009-10-01,11.25,13.00,10.46,10.96,9387500,10.312014
2009-09-01,13.31,13.86,11.30,11.41,7437000,10.735408
2009-08-03,11.75,13.90,11.08,13.41,9570800,12.617163
2009-07-01,9.32,11.70,8.26,11.59,8221400,10.871403
2009-06-01,9.31,9.91,9.00,9.36,9124600,8.779665
2009-05-01,12.99,13.61,8.53,9.21,13449500,8.638966
2009-04-01,9.35,13.74,9.29,13.05,10874600,12.190099
2009-03-02,8.21,11.35,6.62,9.70,11838500,9.06084
2009-02-02,5.90,9.81,5.73,8.45,15223000,7.893206
2009-01-02,7.10,8.39,5.72,5.96,7980700,5.541384
2008-12-01,6.65,8.95,5.91,7.07,7417200,6.573421
2008-11-03,7.63,8.10,3.79,6.87,10749500,6.354127
2008-10-01,12.54,13.40,4.33,7.38,14182300,6.825831
2008-09-02,12.91,15.46,10.89,13.02,12591400,12.04232
2008-08-01,11.10,13.02,10.40,12.46,7373000,11.52437
2008-07-01,10.74,13.29,8.93,11.12,9381400,10.215184
2008-06-02,12.60,13.36,10.74,10.85,8948800,9.967154
2008-05-01,15.45,16.940001,12.45,12.71,8321900,11.675809
2008-04-01,15.95,17.950001,14.90,15.49,8330000,14.160124
2008-03-03,13.86,17.49,12.43,15.75,11713100,14.397802
2008-02-01,17.290001,17.780001,13.40,14.03,11605600,12.825471
2008-01-02,13.19,17.799999,9.78,17.26,13563400,15.620801
2007-12-03,11.77,14.90,11.63,13.17,7431900,11.919232
2007-11-01,11.75,13.20,10.15,11.97,8657400,10.833198
2007-10-01,13.12,15.18,11.68,12.69,8641600,11.349064
2007-09-04,14.96,16.639999,12.46,12.81,7841400,11.456384
2007-08-01,16.209999,19.10,14.40,15.11,9620100,13.513346
2007-07-02,19.93,20.75,16.309999,16.32,7750200,14.463838
2007-06-01,23.41,23.57,19.76,19.93,4386400,17.663254
2007-05-01,22.49,24.49,21.75,23.370001,3852400,20.712004
2007-04-02,22.16,23.60,21.00,22.18,6012200,19.527166
2007-03-01,25.040001,25.83,21.790001,22.00,6596700,19.368694
2007-02-01,29.219999,31.129999,25.049999,25.360001,4388200,22.326824
2007-01-03,26.290001,29.379999,25.049999,29.059999,4477600,25.584286
2006-12-01,26.60,27.809999,25.709999,26.49,3310200,23.198362
2006-11-01,23.799999,27.040001,21.51,26.639999,4949600,23.329721
2006-10-02,23.99,25.24,22.77,23.43,3309800,20.518597
