Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,28.530001,28.60,28.34,28.559999,186800,24.717981
2013-03-01,28.709999,29.129999,28.15,28.40,83600,24.579504
2013-02-01,28.50,28.90,28.34,28.799999,63100,24.493364
2013-01-02,27.52,28.60,27.40,28.440001,96100,24.187199
2012-12-03,27.719999,28.209999,27.18,27.309999,90100,23.226173
2012-11-01,27.75,27.99,26.969999,27.690001,78600,23.124023
2012-10-01,27.93,27.93,27.139999,27.690001,63600,23.124023
2012-09-04,27.02,27.799999,26.98,27.15,109000,22.673067
2012-08-01,26.700001,27.139999,26.65,27.059999,124300,22.187851
2012-07-02,26.23,27.33,26.110001,26.57,124300,21.786076
2012-06-01,25.42,26.610001,25.35,26.17,125300,21.458096
2012-05-01,26.299999,26.459999,24.75,25.83,138100,20.775629
2012-04-02,26.91,26.940001,25.809999,26.25,120000,21.113445
2012-03-01,26.43,27.379999,26.16,26.84,115800,21.587996
2012-02-01,25.450001,26.50,25.360001,26.35,103700,20.803381
2012-01-03,23.10,25.49,22.99,25.26,174000,19.942823
2011-12-01,23.92,24.98,22.639999,22.809999,187600,18.008543
2011-11-01,24.299999,25.07,23.08,24.01,170500,18.556999
2011-10-03,24.379999,25.440001,22.549999,24.780001,256200,19.152122
2011-09-01,25.66,25.809999,23.58,24.389999,257700,18.850697
2011-08-01,26.00,26.40,23.139999,25.66,267100,19.424095
2011-07-01,26.23,26.379999,25.18,25.870001,146200,19.583061
2011-06-01,27.17,27.219999,25.57,26.16,118800,19.802584
2011-05-02,27.290001,27.629999,26.950001,27.16,86600,20.164097
2011-04-01,26.90,27.379999,26.60,27.200001,93300,20.193794
2011-03-01,26.52,27.110001,26.360001,26.780001,97300,19.881979
2011-02-01,26.02,26.690001,26.00,26.51,102300,19.313364
2011-01-03,26.17,26.299999,25.360001,26.01,138800,18.949099
2010-12-01,26.379999,26.73,25.75,26.139999,92100,19.043808
2010-11-01,27.16,27.379999,26.049999,26.290001,99200,18.788441
2010-10-01,26.709999,27.370001,26.51,27.08,170000,19.353022
2010-09-01,26.469999,27.68,26.40,26.690001,167800,19.074305
2010-08-02,25.91,26.559999,25.889999,26.360001,121900,18.495018
2010-07-01,24.799999,26.030001,24.50,25.790001,196800,18.095087
2010-06-01,23.799999,25.469999,23.799999,24.799999,152600,17.400471
2010-05-03,25.610001,25.719999,19.00,24.51,399000,16.856041
2010-04-01,25.50,25.85,25.379999,25.58,192600,17.591902
2010-03-01,25.610001,26.66,25.35,25.469999,138600,17.516253
2010-02-01,25.120001,25.790001,24.549999,25.700001,178700,17.339832
2010-01-04,25.10,25.799999,24.959999,25.049999,175700,16.901276
2009-12-01,24.690001,25.58,24.60,25.190001,128200,16.995735
2009-11-02,24.360001,25.00,23.33,24.59,122700,16.264673
2009-10-01,24.559999,25.18,24.15,24.219999,183400,16.019941
2009-09-01,22.620001,25.00,22.23,24.639999,242100,16.297743
2009-08-03,23.049999,23.84,21.610001,22.68,223000,14.696581
2009-07-01,20.75,23.040001,19.92,22.799999,184500,14.77434
2009-06-01,21.32,22.00,19.620001,20.690001,217600,13.407066
2009-05-01,17.040001,21.18,16.77,21.120001,227800,13.35379
2009-04-01,13.95,17.200001,13.75,16.799999,177200,10.622333
2009-03-02,11.48,15.58,7.50,13.90,258100,8.788715
2009-02-02,16.65,16.65,8.68,11.80,223100,7.216917
2009-01-02,18.83,20.969999,12.99,16.73,232300,10.23212
2008-12-01,15.25,18.870001,14.30,18.58,235500,11.363585
2008-11-03,18.68,18.99,12.58,15.74,329300,9.350724
2008-10-01,20.219999,21.629999,12.01,18.35,349300,10.901258
2008-09-02,25.379999,25.58,16.780001,20.17,317500,11.982471
2008-08-01,24.73,25.35,24.40,25.33,194300,14.694362
2008-07-01,24.040001,25.85,18.700001,24.75,357200,14.357894
2008-06-02,25.15,25.27,23.65,23.940001,573800,13.888
2008-05-05,25.200001,25.75,24.90,25.219999,1074400,14.458247
