Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,5.09,5.25,5.05,5.17,114200,4.105795
2013-03-01,4.90,5.30,4.51,5.09,32300,4.042263
2013-02-01,4.67,5.69,4.59,4.95,62900,3.93108
2013-01-02,3.07,5.85,3.07,4.60,96700,3.543599
2012-12-03,3.69,3.70,2.85,2.95,55600,2.272526
2012-11-01,4.20,4.59,2.91,3.62,47700,2.788658
2012-10-01,4.51,4.89,4.07,4.24,26900,3.155221
2012-09-04,5.45,5.50,4.02,4.54,71000,3.378467
2012-08-01,6.82,6.89,5.47,5.47,29900,4.070532
2012-07-02,6.39,7.00,6.22,6.81,27500,4.988852
2012-06-01,6.88,7.14,5.50,6.48,58500,4.747101
2012-05-01,8.94,9.75,6.82,6.95,36300,5.091413
2012-04-02,9.58,9.70,8.50,8.97,25200,6.478667
2012-03-01,10.39,10.52,9.51,9.64,27700,6.962581
2012-02-01,9.90,11.25,9.79,10.49,48700,7.576501
2012-01-03,8.11,10.00,8.00,9.90,41400,7.030632
2011-12-01,9.03,9.90,7.90,7.99,38000,5.674217
2011-11-01,9.25,10.00,8.82,9.07,28200,6.441195
2011-10-03,8.75,9.90,8.03,9.40,29300,6.524682
2011-09-01,9.11,9.46,8.41,8.85,20200,6.142919
2011-08-01,9.33,10.38,7.00,9.00,42300,6.247036
2011-07-01,10.38,10.85,8.38,9.14,39700,6.189007
2011-06-01,11.84,12.00,10.15,10.31,32800,6.981255
2011-05-02,12.49,12.74,11.66,11.92,31500,8.071441
2011-04-01,14.00,14.50,11.51,12.49,46000,8.298266
2011-03-01,16.120001,16.35,13.21,13.87,42900,9.215129
2011-02-01,15.80,18.00,15.51,16.120001,43100,10.710013
2011-01-03,15.50,16.00,15.13,15.67,25200,10.263045
2010-12-01,15.11,15.94,15.10,15.45,22900,10.118957
2010-11-01,15.80,16.35,14.29,15.18,47300,9.942121
2010-10-01,13.53,15.74,13.13,15.73,36300,10.116646
2010-09-01,12.48,13.64,12.03,13.60,37600,8.746751
2010-08-02,12.93,14.98,12.42,12.42,39500,7.987841
2010-07-01,11.27,12.88,11.02,12.83,24900,8.081861
2010-06-01,12.18,12.99,11.01,11.21,33900,7.061392
2010-05-03,13.01,14.15,11.81,12.38,27300,7.798397
2010-04-01,13.77,14.50,13.32,13.74,22600,8.432824
