Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,72.760002,72.970009,71.520004,71.770004,1779600,57.12495
2013-03-01,72.890007,74.620003,71.570007,72.880005,1399100,58.008446
2013-02-01,69.619995,73.989998,69.110008,73.349998,1714100,58.382538
2013-01-02,66.969994,69.720001,65.400002,69.18,1634900,54.79353
2012-12-03,64.080002,65.800003,62.719997,65.709999,1528200,52.045139
2012-11-01,58.310001,64.210007,58.240002,63.589996,1946400,50.366005
2012-10-01,59.530003,60.32,54.900005,58.219997,2524300,45.855282
2012-09-04,57.680004,61.640007,56.730003,59.489994,2046500,46.85556
2012-08-01,54.759998,58.440006,52.589996,57.809998,1469900,45.53236
2012-07-02,53.910004,55.069996,50.269997,54.470001,2263400,42.641739
2012-06-01,54.919998,57.420002,50.880009,53.610008,2218200,41.968494
2012-05-01,62.539997,63.250008,54.870003,56.560001,2071800,44.277893
2012-04-02,62.810001,64.360001,59.040001,62.660004,2306200,48.785843
2012-03-01,64.169998,64.900002,60.650002,62.940006,1902400,49.003849
2012-02-01,64.200005,67.199997,63.550003,64.020004,1200500,49.844715
2012-01-03,59.569996,63.980007,56.810005,63.410007,1958800,49.132969
2011-12-01,54.700005,59.27,54.620003,58.049999,1865200,44.97979
2011-11-01,53.309998,57.239998,50.140003,54.970005,2602000,42.593269
2011-10-03,46.140003,58.889999,43.640007,55.530003,2699300,42.757515
2011-09-01,57.630005,58.400002,45.42001,46.600002,3086000,35.881508
2011-08-01,61.330009,61.640007,49.910004,57.52,2799400,44.289795
2011-07-01,67.910004,70.150009,59.550007,60.470001,2005900,46.291603
2011-06-01,66.729996,68.230003,60.570004,67.800003,1698900,51.902939
2011-05-02,68.419998,68.640007,61.759998,67.230003,1810500,51.466587
2011-04-01,66.550011,69.25,63.310005,68.040001,1636500,51.861797
2011-03-01,64.349998,66.760002,60.430004,65.740005,1779900,50.108681
2011-02-01,64.489998,68.070007,62.900002,64.25,1779500,48.972961
2011-01-03,59.179996,65.00,56.51001,64.099998,2305800,48.647034
2010-12-01,55.940006,59.200005,55.860004,58.450001,1421400,44.359112
2010-11-01,53.25,56.689999,53.050003,54.810005,1838300,41.596634
2010-10-01,52.739998,54.970005,51.389999,53.100002,2501600,40.103207
2010-09-01,45.679996,52.999996,45.480003,52.210003,2025900,39.431042
2010-08-02,48.98,49.709999,43.230003,44.760002,1522400,33.804508
2010-07-01,41.739998,48.84,40.50,47.970005,1951600,36.004185
2010-06-01,44.309994,47.16,41.419998,41.790005,2062600,31.365746
2010-05-03,52.570007,53.560001,42.200005,44.889999,2520400,33.692467
2010-04-01,47.000004,55.50,46.600002,52.220005,1918400,38.96064
2010-03-01,45.519997,47.560001,45.320004,46.75,1589500,34.879543
2010-02-01,43.179993,46.220005,40.50,45.260006,2562100,33.767879
2010-01-04,41.919998,46.479996,41.630005,42.879997,2268200,31.807095
2009-12-01,41.160007,42.750004,40.219997,41.610001,1121200,30.865049
2009-11-02,37.760002,43.099998,37.310005,40.879997,1653700,30.323555
2009-10-01,38.660004,41.519997,36.519997,37.680004,2236200,27.775915
2009-09-01,34.589996,39.790005,33.500004,38.76001,2140800,28.572044
2009-08-03,34.170006,36.270008,32.970005,34.589996,1550500,25.49811
2009-07-01,33.210007,36.77,30.300003,34.010006,2030600,24.887209
2009-06-01,31.990004,36.549999,31.760004,33.09,2342200,24.213985
2009-05-01,30.499996,34.119999,30.110001,31.440004,2050800,23.006582
2009-04-01,26.02,32.739998,25.829996,30.780003,3482600,22.346487
2009-03-02,24.210005,27.750008,21.790005,26.380007,2691900,19.152061
2009-02-02,27.910007,31.680006,24.840004,24.940006,2584100,18.106611
2009-01-02,32.999996,36.150002,28.079996,28.280001,2688900,20.335857
2008-12-01,28.680002,33.25,25.940001,32.919998,2128000,23.672432
2008-11-03,31.170002,33.290005,23.390001,29.830006,2202600,21.450449
2008-10-01,40.50,40.50,25.209999,31.770008,2854400,22.638624
2008-09-02,50.390003,51.299995,37.670002,40.549999,2435400,28.895058
2008-08-01,49.959999,50.499996,47.580006,49.380001,1520700,35.187126
2008-07-01,47.919998,51.990002,44.610004,49.630001,2425300,35.181534
2008-06-02,54.039997,54.220001,47.519997,48.370003,2145300,34.288349
2008-05-01,49.590004,54.570004,49.410004,54.080002,2551500,38.336037
2008-04-01,42.559998,50.220001,42.219994,49.469997,2365400,34.934696
2008-03-03,41.390003,42.970001,39.409996,41.780003,2225300,29.504177
2008-02-01,40.720001,43.77,40.170002,41.509998,1862400,29.313507
2008-01-02,45.830006,46.150005,33.539997,40.289997,2914200,28.320301
2007-12-03,46.290005,47.790001,44.57,46.089996,1084500,32.39719
2007-11-01,45.820004,47.570004,44.34,46.280003,2077700,32.530746
2007-10-01,50.899998,51.580006,45.100006,45.999996,1848700,32.192104
2007-09-04,49.580002,51.830006,46.390007,50.950008,1525800,35.656261
2007-08-01,50.739998,53.200005,46.84,49.400002,2010600,34.571526
2007-07-02,51.400002,54.589996,48.489998,51.00,2338400,35.541031
2007-06-01,50.140003,53.75,48.790009,51.150002,2168500,35.645565
2007-05-01,48.390007,50.579998,47.710003,50.050003,2041800,34.878994
2007-04-02,48.93,50.470005,47.410004,48.119999,1601700,33.40786
2007-03-01,47.299999,49.590004,46.070007,48.809998,1694900,33.886902
2007-02-01,49.790001,50.919998,47.129997,47.790001,1616600,33.178757
2007-01-03,49.149998,50.000004,47.119995,49.600006,1420400,34.306358
2006-12-01,49.420006,50.400005,48.290005,49.020004,849900,33.905193
2006-11-01,47.650005,51.309998,47.100006,50.300003,1268100,34.79052
2006-10-02,47.689995,51.500004,46.830002,47.500004,1899100,32.73143
2006-09-01,48.990002,49.060001,46.230007,47.439995,1103000,32.690075
2006-08-01,46.850002,48.690002,45.359997,48.620003,912600,33.503201
2006-07-03,49.549999,50.230007,45.119999,47.139999,1284700,32.357342
2006-06-01,48.800007,49.459995,44.220009,49.430004,1257200,33.929222
2006-05-01,50.080006,51.920006,47.350006,48.84,1359100,33.524239
2006-04-03,48.899998,50.249996,46.510002,49.750004,1219000,34.029396
2006-03-01,47.839996,49.549999,46.510002,48.560005,971900,33.215427
2006-02-01,46.040005,48.770004,44.510002,47.939999,1265300,32.79134
2006-01-03,40.590004,46.900002,40.299999,45.93,1245100,31.30554
2005-12-01,40.600006,42.030003,39.93,40.490005,836700,27.597679
2005-11-01,38.849998,41.620003,38.430008,40.449993,843900,27.57041
2005-10-03,40.789997,41.819996,37.040001,38.980003,1090600,26.459534
2005-09-01,40.590004,41.630005,39.360001,40.789997,921700,27.688154
2005-08-01,41.400005,42.00,39.27,40.699997,798700,27.62706
2005-07-01,36.839996,42.00,35.750004,41.259998,1496900,27.88747
2005-06-01,37.889996,38.459999,35.680004,36.380001,959300,24.589098
2005-05-02,36.389999,38.199997,36.100006,37.870007,1109500,25.596188
2005-04-01,37.870007,38.859997,34.109997,36.359997,1500400,24.468786
2005-03-01,38.580006,40.650002,37.399998,37.790005,1024900,25.431124
2005-02-01,38.490002,39.119999,37.140007,38.670006,1316200,26.023327
2005-01-03,41.93,42.110004,36.839996,38.299999,1385100,25.665171
2004-12-01,40.299999,42.719997,39.800007,41.940002,810100,28.104372
2004-11-01,39.27,41.830002,38.960003,40.449993,915400,27.105904
2004-10-01,39.070007,40.430004,35.120003,39.27,1505000,26.211905
2004-09-01,38.350006,39.470009,37.070007,38.869999,947300,25.944914
2004-08-02,39.429996,39.720009,36.670006,37.729996,875200,25.183985
