Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,31.860001,31.860001,31.219999,31.370001,9523600,29.403027
2013-03-01,31.50,33.810001,31.08,31.84,7589700,29.843555
2013-02-01,32.25,33.18,30.629999,31.719999,7722400,29.436438
2013-01-02,32.990002,34.830002,32.00,32.200001,10276600,29.881884
2012-12-03,30.290001,32.950001,29.030001,32.330002,7626200,30.002525
2012-11-01,29.41,30.790001,27.450001,30.190001,8013400,27.740135
2012-10-01,29.190001,30.870001,28.01,29.299999,9350500,26.922358
2012-09-04,29.27,32.48,28.450001,28.959999,13640900,26.609947
2012-08-01,28.91,30.540001,28.73,29.309999,7567200,26.642248
2012-07-02,31.559999,31.879999,28.65,28.780001,9354600,26.16049
2012-06-01,30.33,34.099998,29.889999,31.50,12544900,28.632919
2012-05-01,34.029999,34.43,29.27,31.059999,9770400,27.94451
2012-04-02,34.560001,36.080002,31.530001,33.880001,12315200,30.481649
2012-03-01,33.689999,36.00,32.240002,34.639999,7807100,31.165415
2012-02-01,33.75,35.099998,33.009998,33.509998,8073800,29.934389
2012-01-03,29.280001,33.919998,29.27,33.509998,8884600,29.934389
2011-12-01,27.33,29.110001,25.23,28.76,8445600,25.691229
2011-11-01,26.379999,28.73,24.42,27.709999,10097300,24.538692
2011-10-03,22.290001,29.559999,20.610001,27.879999,14283400,24.689238
2011-09-01,28.370001,28.690001,22.459999,22.459999,13496300,19.889536
2011-08-01,35.740002,36.189999,25.42,28.450001,14637200,24.947872
2011-07-01,35.939999,37.299999,33.66,34.869999,9982500,30.577583
2011-06-01,35.990002,36.400002,33.970001,36.00,10125800,31.568485
2011-05-02,41.09,42.23,34.869999,36.130001,9627700,31.456888
2011-04-01,37.75,41.400002,36.080002,40.990002,7755800,35.68829
2011-03-01,37.32,38.48,34.650002,37.75,7941600,32.867355
2011-02-01,35.740002,39.00,34.849998,37.16,8324300,32.222645
2011-01-03,34.490002,36.169998,34.119999,35.48,8058900,30.76586
2010-12-01,31.809999,34.50,31.799999,34.139999,6459100,29.603903
2010-11-01,31.09,32.970001,30.280001,31.18,7180800,26.919228
2010-10-01,27.700001,31.90,27.379999,30.84,9788600,26.625689
2010-09-01,24.84,28.35,24.610001,27.459999,8459300,23.707569
2010-08-02,27.940001,28.50,22.549999,24.370001,13346900,20.926785
2010-07-01,23.60,28.280001,22.42,27.33,10900100,23.468569
2010-06-01,26.459999,27.780001,23.66,23.719999,12037900,20.368622
2010-05-03,31.110001,31.610001,23.40,26.91,18525500,22.971067
2010-04-01,29.889999,32.049999,29.27,30.83,10115400,26.31728
