Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,36.25,36.290001,35.860001,35.950001,876000,34.999931
2013-03-01,36.400002,36.619999,35.220001,36.25,771500,35.292
2013-02-01,35.57,36.73,34.599998,36.470001,850300,35.37624
2013-01-02,34.00,36.259998,33.84,35.689999,769000,34.619629
2012-12-03,33.470001,35.02,33.189999,33.990002,794300,32.970615
2012-11-01,33.049999,33.849998,31.41,33.459999,806500,32.33263
2012-10-01,32.990002,33.32,32.060001,33.07,827000,31.95577
2012-09-04,32.200001,33.790001,31.98,32.990002,824400,31.878468
2012-08-01,29.60,32.580002,28.41,32.240002,842800,31.030487
2012-07-02,29.879999,30.42,28.690001,29.75,883800,28.633902
2012-06-01,28.43,29.950001,28.16,29.719999,1296900,28.605026
2012-05-01,30.83,32.27,28.719999,28.75,1234300,27.671417
2012-04-02,31.469999,32.389999,30.610001,32.00,740000,30.79949
2012-03-01,30.860001,31.90,30.040001,31.58,817300,30.395247
2012-02-01,29.58,30.90,29.42,30.67,1038000,29.519386
2012-01-03,28.91,29.82,28.219999,29.440001,594800,28.335531
2011-12-01,28.190001,29.00,27.290001,28.530001,979000,27.459671
2011-11-01,29.139999,30.74,27.360001,28.24,1174000,27.18055
2011-10-03,27.10,31.059999,25.67,30.02,1040200,28.893772
2011-09-01,27.379999,28.66,25.41,27.120001,1325100,26.102568
2011-08-01,31.77,32.00,25.809999,27.469999,1785900,26.439436
2011-07-01,30.40,31.98,30.290001,31.530001,1795300,30.347122
2011-06-01,30.299999,30.50,28.34,30.389999,1304700,29.249889
2011-05-02,30.73,30.82,29.120001,30.440001,999500,29.298016
2011-04-01,28.889999,31.00,28.77,30.75,1070600,29.596384
2011-03-01,29.85,30.65,27.85,28.85,1273400,27.767666
2011-02-01,29.190001,30.219999,28.639999,29.84,1582300,28.720524
2011-01-03,27.549999,29.90,26.83,29.139999,2043800,28.046785
2010-12-01,26.27,27.60,26.040001,27.469999,1220000,26.439436
2010-11-01,30.68,30.959999,25.75,26.00,2005700,25.024586
2010-10-01,28.58,30.780001,28.57,30.68,1092600,29.529011
2010-09-01,26.41,28.75,26.299999,28.66,1022700,27.584793
2010-08-02,27.540001,28.629999,25.639999,26.23,1109500,25.245956
2010-07-01,26.82,29.26,26.15,27.33,1427800,26.304689
2010-06-01,28.280001,28.50,26.65,26.85,1968900,25.842697
2010-05-03,32.049999,32.189999,28.34,28.50,1710200,27.430796
2010-04-01,30.120001,32.439999,29.969999,31.940001,948400,30.741741
2010-03-01,29.01,30.940001,28.889999,30.110001,705800,28.980396
2010-02-01,28.66,29.68,27.99,29.08,779100,27.989037
2010-01-04,28.98,30.629999,27.75,28.59,1148400,27.51742
2009-12-01,26.74,29.040001,26.58,28.530001,932200,27.459671
2009-11-02,25.15,27.389999,24.10,26.43,1394200,25.438454
2009-10-01,26.950001,27.65,24.76,25.200001,1203200,24.254599
2009-09-01,24.18,27.40,23.57,26.879999,828600,25.871571
2009-08-03,24.24,24.92,23.23,24.32,717600,23.407612
2009-07-01,21.48,24.35,19.879999,23.92,1274200,23.022619
2009-06-01,21.719999,22.549999,20.07,21.450001,1124700,20.645285
2009-05-01,20.799999,22.129999,20.02,21.639999,1331500,20.828154
2009-04-01,18.25,21.309999,18.15,20.93,1677900,20.144793
2009-03-02,16.50,18.799999,15.70,18.52,1377000,17.825205
2009-02-02,16.540001,19.280001,16.540001,16.75,1500200,16.121609
2009-01-02,18.41,21.66,14.61,16.92,2231800,16.285231
2008-12-01,18.190001,19.15,15.62,18.290001,1210800,17.603834
2008-11-03,22.50,24.60,16.190001,18.790001,2498600,18.085077
2008-10-01,27.200001,27.709999,19.389999,22.559999,2523900,21.71364
2008-09-02,30.50,30.889999,24.65,27.379999,2045600,26.352814
2008-08-01,30.51,31.01,29.34,30.190001,1092000,29.057394
2008-07-01,29.200001,31.370001,27.93,30.41,1515300,29.26914
2008-06-02,32.029999,33.470001,29.120001,29.42,966000,28.31628
2008-05-01,31.32,32.630001,30.77,32.310001,843600,31.097862
2008-04-01,28.92,33.040001,27.200001,31.379999,1731000,30.202749
2008-03-03,30.92,31.74,27.18,28.360001,1503900,27.296049
2008-02-01,32.970001,34.049999,30.639999,31.00,1358300,29.837006
2008-01-02,34.52,34.799999,30.34,33.049999,1726800,31.810097
2007-12-03,33.189999,35.299999,32.110001,34.470001,1061700,33.176826
2007-11-01,33.580002,36.189999,30.42,33.09,1685500,31.848598
2007-10-01,37.02,38.029999,32.75,34.400002,1489800,33.109451
2007-09-04,35.060001,37.439999,34.130001,37.189999,1164300,35.794781
2007-08-01,36.32,37.099998,33.68,35.299999,1392900,33.975685
2007-07-02,39.93,40.360001,35.799999,36.189999,1442600,34.832298
2007-06-01,39.009998,40.259998,37.00,39.82,1548900,38.326115
2007-05-01,36.810001,39.150002,34.389999,38.869999,1412200,37.411755
2007-04-02,36.450001,38.689999,35.650002,36.709999,1441000,35.33279
2007-03-01,34.299999,37.84,33.099998,36.48,1170000,35.11142
2007-02-01,34.68,36.040001,33.290001,34.650002,1716800,33.350075
2007-01-03,38.77,39.48,32.50,34.68,3563000,33.378948
2006-12-01,38.700001,39.139999,35.220001,38.75,1512300,37.296257
2006-11-01,39.00,40.240002,36.380001,38.549999,1277700,37.10376
2006-10-02,39.610001,40.740002,38.619999,38.759998,990900,37.305882
2006-09-01,37.93,41.009998,37.799999,39.599998,1243700,38.114368
2006-08-01,36.279999,38.50,34.25,37.950001,837100,36.526272
2006-07-03,36.799999,38.00,32.889999,36.279999,1340400,34.918922
2006-06-01,37.470001,38.09,33.200001,36.599998,1251800,35.226913
2006-05-01,37.00,39.150002,36.549999,37.470001,1460400,36.064278
2006-04-03,36.200001,38.099998,34.119999,37.200001,1002900,35.804409
2006-03-01,33.119999,36.07,32.740002,36.060001,1386600,34.707176
2006-02-01,32.049999,34.200001,31.389999,33.119999,1310000,31.877472
2006-01-03,27.799999,33.00,27.00,32.200001,2403000,30.991987
2005-12-01,26.50,28.190001,25.42,27.50,1618000,26.468311
2005-11-01,26.469999,28.91,25.629999,26.43,1672500,25.438454
2005-10-03,27.66,27.799999,24.299999,26.469999,1266700,25.476952
2005-09-01,29.50,29.76,25.969999,27.73,1260100,26.689682
2005-08-01,29.700001,30.299999,27.60,29.35,1076100,28.248907
