Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,61.470001,61.59,59.529999,60.77,785000,60.77
2013-03-01,57.950001,62.849998,55.43,61.66,591400,61.66
2013-02-01,61.650002,63.400002,58.509998,61.66,469500,61.66
2013-01-02,57.439999,61.73,56.48,61.049999,520500,61.049999
2012-12-03,53.099998,56.200001,52.029999,56.139999,460700,56.139999
2012-11-01,51.900002,53.52,48.740002,52.810001,696000,52.810001
2012-10-01,55.259998,56.52,51.34,51.529999,476700,51.529999
2012-09-04,50.580002,55.98,48.700001,55.110001,664400,55.110001
2012-08-01,46.82,52.189999,44.709999,50.619999,422100,50.619999
2012-07-02,44.66,47.580002,43.110001,46.509998,599800,46.509998
2012-06-01,42.68,45.240002,41.009998,44.540001,752400,44.540001
2012-05-01,48.669998,50.400002,43.18,43.880001,781900,43.880001
2012-04-02,46.799999,49.52,45.91,48.68,774000,48.68
2012-03-01,52.110001,53.130001,45.00,46.389999,899600,46.389999
2012-02-01,51.650002,54.720001,47.240002,52.52,916600,52.52
2012-01-03,51.150002,54.84,49.57,51.23,498500,51.23
2011-12-01,51.77,55.27,48.779999,49.91,643700,49.91
2011-11-01,45.93,52.389999,45.599998,52.07,770000,52.07
2011-10-03,40.09,52.970001,38.369999,48.400002,1058400,48.400002
2011-09-01,42.52,47.119999,38.509998,40.529999,1349700,40.529999
2011-08-01,54.25,54.540001,34.68,42.450001,1964900,42.450001
2011-07-01,53.759998,56.529999,52.07,53.419998,740500,53.419998
2011-06-01,52.259998,54.09,48.41,53.75,1796700,53.75
2011-05-02,52.540001,52.82,45.560001,52.580002,1242600,52.580002
2011-04-01,53.619999,55.880001,49.560001,52.540001,912200,52.540001
2011-03-01,49.779999,54.549999,47.790001,53.619999,1071500,53.619999
2011-02-01,46.169998,51.599998,44.029999,49.279999,897800,49.279999
2011-01-03,43.00,46.169998,40.790001,45.93,656900,45.93
2010-12-01,38.52,43.639999,38.52,42.59,621300,42.59
2010-11-01,34.150002,39.990002,33.889999,37.93,1038800,37.93
2010-10-01,37.25,38.98,30.59,34.220001,1238900,34.220001
2010-09-01,36.009998,39.16,36.00,36.889999,641700,36.889999
2010-08-02,37.59,38.75,34.279999,35.52,636300,35.52
2010-07-01,31.549999,39.02,30.40,37.209999,884400,37.209999
2010-06-01,31.469999,35.709999,31.040001,31.549999,1233700,31.549999
2010-05-03,35.630001,35.900002,28.98,31.83,1022200,31.83
2010-04-01,31.620001,35.540001,31.620001,35.279999,716200,35.279999
2010-03-01,31.15,33.07,30.549999,31.42,824100,31.42
2010-02-01,30.09,32.50,29.32,30.91,690000,30.91
2010-01-04,32.029999,34.00,29.370001,29.58,665400,29.58
2009-12-01,28.50,32.700001,27.42,31.610001,751300,31.610001
2009-11-02,29.469999,31.57,27.790001,28.08,912700,28.08
2009-10-01,31.110001,32.720001,27.870001,29.469999,867900,29.469999
2009-09-01,29.42,32.959999,28.799999,31.07,692400,31.07
2009-08-03,29.50,32.369999,29.41,29.700001,626600,29.700001
2009-07-01,26.299999,29.92,22.870001,29.110001,754200,29.110001
2009-06-01,28.309999,29.780001,24.26,26.10,770700,26.10
2009-05-01,24.629999,28.41,24.190001,28.00,1145500,28.00
2009-04-01,21.700001,28.190001,21.42,24.629999,1593900,24.629999
2009-03-02,20.75,24.290001,18.549999,22.10,995700,22.10
2009-02-02,19.34,22.459999,18.610001,21.01,1260100,21.01
2009-01-02,17.58,20.540001,16.58,19.48,782900,19.48
2008-12-01,16.530001,18.620001,14.42,17.25,693700,17.25
2008-11-03,22.559999,23.940001,11.70,16.709999,891600,16.709999
2008-10-01,30.700001,30.85,17.049999,22.40,1126200,22.40
2008-09-02,40.580002,41.00,29.780001,31.469999,1183700,31.469999
2008-08-01,38.619999,40.73,35.799999,40.560001,886100,40.560001
2008-07-01,39.00,40.48,32.490002,38.099998,1097800,38.099998
2008-06-02,40.00,42.490002,37.509998,39.099998,779800,39.099998
2008-05-01,37.23,42.049999,35.290001,40.32,718100,40.32
2008-04-01,30.620001,39.450001,29.780001,36.57,1031900,36.57
2008-03-03,34.16,34.380001,25.969999,30.75,931600,30.75
2008-02-01,31.889999,37.080002,30.190001,34.07,808900,34.07
2008-01-02,39.299999,41.25,29.040001,31.639999,558400,31.639999
2007-12-03,35.549999,39.93,35.279999,39.049999,497200,39.049999
2007-11-01,38.080002,39.689999,34.330002,35.599998,658900,35.599998
2007-10-01,43.00,43.990002,36.00,38.700001,900400,38.700001
2007-09-04,36.52,43.50,36.52,42.709999,586300,42.709999
2007-08-01,37.00,38.849998,31.00,36.869999,1167800,36.869999
2007-07-02,39.279999,41.830002,35.130001,37.099998,934400,37.099998
2007-06-01,36.00,40.279999,34.419998,39.50,951500,39.50
2007-05-01,31.889999,35.84,30.90,35.599998,895400,35.599998
2007-04-02,30.60,32.84,29.77,31.91,634900,31.91
2007-03-01,25.75,31.25,24.969999,30.459999,756600,30.459999
