Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,17.02,17.110001,16.91,17.09,5527000,15.682915
2013-03-01,16.08,17.16,15.94,16.98,3174200,15.58197
2013-02-01,15.48,16.219999,15.37,16.16,4891700,14.829485
2013-01-02,14.19,15.41,13.94,15.41,5642200,13.991639
2012-12-03,13.57,13.99,13.23,13.87,2117500,12.593384
2012-11-01,14.08,15.93,12.71,13.50,2741600,12.257439
2012-10-01,14.77,15.22,14.16,14.48,2330000,12.984808
2012-09-04,14.46,16.00,14.34,14.70,3287000,13.182092
2012-08-01,14.55,14.85,13.85,14.50,2311400,13.002743
2012-07-02,14.70,14.95,13.86,14.46,3253000,12.811964
2012-06-01,13.45,14.68,13.06,14.64,3039800,12.971449
2012-05-01,14.63,15.17,13.34,13.84,2602600,12.262627
2012-04-02,14.36,15.31,13.58,14.82,3079400,12.978872
2012-03-01,13.95,14.85,13.74,14.34,3037000,12.558504
2012-02-01,13.36,14.14,13.29,13.88,3591500,12.155651
2012-01-03,12.32,13.68,11.90,13.39,3406400,11.582172
2011-12-01,11.54,12.43,11.12,12.05,2082200,10.42309
2011-11-01,11.78,12.39,10.45,11.60,2994200,10.033846
2011-10-03,10.41,12.77,9.29,12.28,3926200,10.469137
2011-09-01,11.92,11.95,10.16,10.50,2729400,8.951624
2011-08-01,14.19,14.33,9.82,11.87,4922900,10.119597
2011-07-01,13.97,14.83,13.68,14.04,2039100,11.78309
2011-06-01,14.97,15.08,13.10,14.01,2955300,11.757913
2011-05-02,15.38,15.63,13.99,15.04,2554100,12.622341
2011-04-01,14.13,15.44,13.49,15.25,2379200,12.650774
2011-03-01,14.10,14.15,13.10,14.01,2609900,11.622122
2011-02-01,13.81,14.13,12.97,14.07,2069500,11.671894
2011-01-03,12.55,14.34,12.40,13.70,3018400,11.224138
2010-12-01,11.32,12.48,10.85,12.46,2721700,10.208231
2010-11-01,12.57,12.98,11.01,11.13,2850400,9.118588
2010-10-01,11.74,12.80,11.50,12.45,2947600,10.056968
2010-09-01,11.43,12.36,11.30,11.59,2282700,9.36227
2010-08-02,12.23,12.60,10.71,11.21,2688300,9.05531
2010-07-01,11.41,12.41,10.19,11.96,5512700,9.516574
2010-06-01,11.72,12.74,10.89,11.35,5084600,9.031198
2010-05-03,13.62,14.35,10.66,11.88,4838800,9.452918
2010-04-01,12.49,14.15,12.29,13.53,3274000,10.638017
2010-03-01,11.15,12.96,10.92,12.40,2659100,9.74955
2010-02-01,11.41,11.83,10.26,11.10,3509100,8.72742
2010-01-04,12.27,13.37,11.25,11.32,3711100,8.75819
2009-12-01,11.33,12.90,11.04,12.17,2631500,9.415828
2009-11-02,11.37,12.00,10.83,11.21,4578300,8.673084
2009-10-01,11.93,12.62,10.93,11.24,4128700,8.570369
2009-09-01,11.49,13.71,10.23,12.01,4609800,9.157485
2009-08-03,9.56,12.76,9.17,11.52,4835700,8.783866
2009-07-01,8.82,9.54,7.45,9.49,3802300,7.121584
2009-06-01,9.61,10.45,7.99,8.77,3944700,6.581275
2009-05-01,9.64,10.55,7.84,9.51,6836500,7.136593
2009-04-01,5.28,10.34,5.16,9.77,10494400,7.20092
2009-03-02,6.88,6.88,4.07,5.50,7109400,4.053741
2009-02-02,9.15,10.63,6.41,6.90,4522400,5.085603
2009-01-02,10.93,12.26,8.00,9.21,4510200,6.605697
2008-12-01,8.20,12.75,5.38,10.96,6121800,7.860851
2008-11-03,14.50,15.14,3.85,8.21,5427300,5.888466
2008-10-01,24.42,24.719999,10.03,14.11,3414400,9.702047
2008-09-02,25.25,27.209999,21.07,24.58,2609600,16.901228
2008-08-01,24.90,27.02,23.360001,25.030001,1513300,17.210649
2008-07-01,22.26,26.299999,20.620001,24.73,2336900,16.693975
2008-06-02,25.200001,25.959999,21.93,22.450001,1507500,15.154864
2008-05-01,24.299999,27.09,24.00,25.68,1487600,17.335274
2008-04-01,23.209999,25.610001,22.42,24.42,1418600,16.175383
2008-03-03,22.969999,24.00,21.01,22.809999,1910400,15.108946
2008-02-01,23.82,24.559999,22.51,22.92,1847800,15.181808
2008-01-02,25.49,26.01,20.50,23.58,2741500,15.297215
2007-12-03,26.299999,28.41,24.25,26.08,1747800,16.919058
2007-11-01,31.870001,32.02,24.35,26.290001,2171800,17.055294
2007-10-01,33.790001,35.400002,31.60,32.150002,1392900,20.506723
2007-09-04,33.939999,34.639999,31.790001,33.810001,2472700,21.565546
2007-08-01,32.700001,34.41,29.73,33.790001,1283700,21.552788
2007-07-02,35.669998,37.049999,32.099998,32.689999,1073500,20.540043
2007-06-01,40.099998,40.310001,35.220001,35.669998,1170700,22.41246
2007-05-01,43.27,43.91,38.360001,40.119999,997700,25.208519
2007-04-02,43.540001,45.400002,42.52,43.110001,564800,26.787655
2007-03-01,43.869999,44.619999,42.080002,43.470001,754100,27.011353
2007-02-01,44.119999,48.419998,43.860001,44.060001,1421600,27.377966
2007-01-03,40.700001,44.279999,40.02,44.119999,629100,27.143269
2006-12-01,43.68,44.049999,40.41,40.900002,744800,25.162279
2006-11-01,40.150002,43.950001,39.110001,43.52,1088400,26.774141
2006-10-02,37.299999,40.23,36.98,40.060001,422200,24.352394
2006-09-01,38.00,38.50,36.529999,37.349998,442500,22.704988
2006-08-01,37.00,38.200001,35.549999,37.98,363300,23.087965
2006-07-03,35.380001,37.490002,34.599998,37.259998,409600,22.356482
2006-06-01,34.040001,35.740002,33.419998,35.150002,528500,21.090456
2006-05-01,35.389999,36.389999,32.880001,33.939999,513000,20.364439
2006-04-03,37.900002,37.900002,34.509998,35.400002,574400,20.964149
2006-03-01,35.169998,38.549999,34.939999,37.950001,563400,22.474279
2006-02-01,36.279999,36.849998,33.720001,35.099998,857000,20.786486
2006-01-03,33.32,36.50,33.310001,36.279999,651000,21.195118
2005-12-01,34.150002,35.09,33.220001,33.400002,610500,19.512596
2005-11-01,33.700001,34.77,32.700001,34.00,607200,19.863121
2005-10-03,33.880001,34.290001,31.219999,34.099998,899200,19.647364
2005-09-01,32.549999,34.060001,32.060001,33.880001,686400,19.520609
2005-08-01,34.00,34.299999,30.77,32.740002,779900,18.863777
2005-07-01,31.799999,34.080002,31.65,33.959999,654900,19.274288
2005-06-01,31.049999,32.25,30.870001,31.66,588300,17.968904
2005-05-02,30.85,32.200001,30.059999,30.870001,600800,17.520535
2005-04-01,30.049999,30.809999,29.280001,30.60,680700,17.113497
2005-03-01,31.67,33.139999,29.440001,29.85,582800,16.694048
2005-02-01,31.139999,32.950001,30.889999,31.68,600400,17.717503
2005-01-03,34.119999,34.369999,30.66,31.10,660900,17.146473
2004-12-01,34.599998,35.700001,32.779999,34.139999,568900,18.822527
2004-11-01,34.099998,36.00,33.549999,34.549999,401500,19.048574
2004-10-01,33.200001,34.50,32.959999,34.099998,340600,18.546339
2004-09-01,33.950001,34.700001,32.66,33.200001,357500,18.056849
2004-08-02,30.860001,34.00,30.459999,34.00,435800,18.491951
2004-07-01,31.82,33.439999,30.67,30.76,382000,16.485682
2004-06-01,32.360001,32.560001,30.58,31.809999,472000,17.048424
2004-05-03,29.200001,32.529999,27.469999,32.360001,682300,17.343193
2004-04-01,34.650002,35.16,28.639999,29.16,770800,15.384061
2004-03-01,32.450001,34.73,32.330002,34.720001,369700,18.317373
2004-02-02,32.900002,34.139999,31.66,32.400002,522700,17.093403
2004-01-02,30.780001,32.93,30.440001,32.869999,394000,17.107155
2003-12-01,30.799999,31.76,30.450001,31.00,351800,16.133917
